New York City - Greater (Inflation-Adjusted $),New York JFK -  NY (Inflation-Adjusted $),New York LaGuardia -  NY (Inflation-Adjusted $),Albany -  NY (Inflation-Adjusted $),Buffalo -  NY (Inflation-Adjusted $),Rochester -  NY (Inflation-Adjusted $),Long Beach -  CA (Inflation-Adjusted $),Los Angeles -  CA (Inflation-Adjusted $),San Francisco -  CA (Inflation-Adjusted $),Sacramento -  CA (Inflation-Adjusted $),San Diego -  CA (Inflation-Adjusted $),San Jose -  CA (Inflation-Adjusted $),Ft  Lauderdale -  FL (Inflation-Adjusted $),Miami -  FL (Inflation-Adjusted $),Tampa -  FL (Inflation-Adjusted $),Harrisburg -  PA (Inflation-Adjusted $)_y,Philadelphia -  PA (Inflation-Adjusted $)_y,Pittsburgh -  PA (Inflation-Adjusted $)_y,Birmingham -  AL (Inflation-Adjusted $),Huntsville -  AL (Inflation-Adjusted $),Little Rock -  AR (Inflation-Adjusted $),Denver -  CO (Inflation-Adjusted $),Phoenix -  AZ (Inflation-Adjusted $),Tucson -  AZ (Inflation-Adjusted $),Atlanta -  GA (Inflation-Adjusted $),Hartford -  CT (Inflation-Adjusted $),Savannah -  GA (Inflation-Adjusted $),Chicago O'Hare -  IL (Inflation-Adjusted $),Des Moines -  IA (Inflation-Adjusted $),Indianapolis -  IN (Inflation-Adjusted $),Lexington -  KY (Inflation-Adjusted $)_y,Louisville -  KY (Inflation-Adjusted $)_y,Wichita -  KS (Inflation-Adjusted $)_y,Baltimore -  MD (Inflation-Adjusted $),New Orleans -  LA (Inflation-Adjusted $),Portland -  ME (Inflation-Adjusted $),Detroit -  MI (Inflation-Adjusted $)_y,Flint -  MI (Inflation-Adjusted $)_y,Minneapolis/St  Paul -  MN (Inflation-Adjusted $)_y,Detroit -  MI (Inflation-Adjusted $),Flint -  MI (Inflation-Adjusted $),Minneapolis/St  Paul -  MN (Inflation-Adjusted $),Las Vegas -  NV (Inflation-Adjusted $),Omaha -  NE (Inflation-Adjusted $),Reno -  NV (Inflation-Adjusted $),Atlantic City -  NJ (Inflation-Adjusted $),Manchester -  NH (Inflation-Adjusted $),Newark-Liberty -  NJ (Inflation-Adjusted $),Albuquerque -  NM (Inflation-Adjusted $),Greensboro/High Point -  NC (Inflation-Adjusted $),Raleigh/Durham -  NC (Inflation-Adjusted $),Oklahoma City -  OK (Inflation-Adjusted $),Portland -  OR (Inflation-Adjusted $),Tulsa -  OK (Inflation-Adjusted $),Charleston -  SC (Inflation-Adjusted $),Greenville/Spartanburg -  SC (Inflation-Adjusted $),Providence -  RI (Inflation-Adjusted $),Dallas-Fort Worth -  TX (Inflation-Adjusted $)_y,Houston Bush -  TX (Inflation-Adjusted $)_y,San Antonio -  TX (Inflation-Adjusted $)_y,Norfolk/Virginia Beach -  VA (Inflation-Adjusted $),Richmond -  VA (Inflation-Adjusted $),Salt Lake City -  UT (Inflation-Adjusted $),Bellingham -  WA (Inflation-Adjusted $),Madison -  WI (Inflation-Adjusted $),Milwaukee -  WI (Inflation-Adjusted $)
423.21,409.29,378.53,430.01,322.99,388.36,247.91,412.12,403.23,342.81,359.12,314.63,297.6,409.96,336.03,441.08,401.21,357.63,421.78,0.0,406.92,345.72,353.49,380.88,423.23,443.75,517.98,414.14,461.48,355.65,0.0,406.07,405.74,330.04,369.59,394.28,414.84,0.0,451.28,414.84,0.0,451.28,299.07,386.76,342.32,223.46,384.85,503.22,364.05,450.67,348.84,418.49,397.25,411.7,527.71,520.49,384.12,481.19,495.41,375.13,418.19,388.36,403.21,256.13,434.58,298.06
433.93,422.24,381.1,447.35,330.52,409.87,285.78,443.88,451.78,373.55,387.16,349.75,295.47,395.76,346.23,452.24,411.73,373.22,420.81,0.0,429.77,348.31,368.76,405.08,404.79,456.08,498.29,421.72,469.64,375.07,0.0,417.57,408.71,342.58,378.15,418.59,429.07,0.0,465.28,429.07,0.0,465.28,312.24,392.53,363.9,210.85,407.61,532.55,382.56,475.36,372.28,438.35,416.76,427.63,546.56,520.81,402.4,485.69,513.98,388.38,436.67,409.87,409.26,266.91,459.66,311.74
435.59,425.05,374.62,454.55,332.76,401.94,281.6,449.9,449.03,381.25,388.37,358.73,289.4,388.21,337.03,449.51,408.69,365.03,419.0,0.0,433.8,353.15,366.44,396.54,387.96,447.38,486.72,427.42,465.24,371.15,0.0,414.58,410.13,337.69,359.08,432.67,421.1,0.0,463.32,421.1,0.0,463.32,303.88,391.22,361.64,181.57,386.76,554.38,395.95,429.2,362.18,448.14,423.86,437.85,533.12,490.48,384.78,476.93,519.48,385.64,423.89,401.94,416.28,254.01,469.12,310.71
440.2,427.97,385.49,440.91,326.23,401.38,276.13,437.13,444.51,372.09,387.99,348.27,288.08,390.89,328.09,461.19,406.26,355.81,405.34,0.0,417.36,353.13,361.24,403.43,375.5,427.38,490.22,421.34,457.18,363.3,0.0,407.11,406.92,335.64,354.99,404.18,410.83,0.0,445.25,410.83,0.0,445.25,302.25,390.7,347.13,183.69,369.76,543.25,379.59,409.19,360.48,433.08,418.37,424.78,528.46,483.45,371.67,465.51,501.56,384.74,424.69,401.38,407.07,266.01,489.49,305.7
456.46,446.43,406.59,467.29,361.14,440.38,251.91,441.04,450.08,369.43,388.65,349.13,313.97,434.35,356.66,464.67,426.44,376.46,445.76,0.0,455.47,368.08,374.1,403.08,419.74,424.9,535.13,453.17,480.65,387.38,0.0,432.89,440.63,354.35,379.02,421.65,423.52,0.0,481.43,423.52,0.0,481.43,319.37,406.69,357.3,200.2,384.33,547.37,391.91,432.96,378.98,453.84,411.66,457.95,535.42,473.93,385.38,502.31,555.26,403.41,448.23,440.38,436.53,286.38,499.9,327.13
458.51,454.43,406.13,484.03,371.29,464.42,282.31,457.08,476.23,407.82,409.58,385.82,305.03,404.9,354.8,515.23,445.13,388.61,456.1,0.0,464.47,363.88,374.09,415.1,430.33,447.12,531.47,437.58,490.31,420.98,0.0,447.21,446.24,382.81,393.6,440.59,440.97,0.0,464.87,440.97,0.0,464.87,325.82,405.74,391.78,235.01,397.6,537.41,403.48,447.04,394.57,461.32,433.73,474.61,490.37,431.67,396.34,474.9,541.35,408.21,459.23,464.42,430.78,305.94,503.68,353.94
442.86,441.58,388.42,474.25,357.12,446.02,273.81,446.28,456.9,396.59,401.99,379.91,292.58,393.53,348.34,506.11,437.3,384.38,443.38,0.0,451.3,359.84,361.04,401.21,410.81,431.31,530.26,423.05,466.31,407.58,0.0,440.23,430.53,358.01,373.29,428.99,432.67,0.0,463.78,432.67,0.0,463.78,306.09,386.3,382.15,188.79,379.01,532.62,393.89,436.32,382.57,457.28,424.56,473.55,461.84,426.91,371.03,463.73,534.81,397.82,450.21,446.02,417.6,288.97,504.54,325.0
459.24,452.57,412.66,460.33,365.65,456.08,261.91,465.15,478.26,393.52,405.09,375.47,307.49,400.58,358.58,504.67,436.68,391.19,443.62,0.0,433.73,375.43,370.33,437.13,431.83,444.2,551.64,427.14,482.05,423.24,0.0,444.62,460.21,367.72,391.93,414.85,441.54,0.0,485.16,441.54,0.0,485.16,304.82,424.41,386.41,215.3,389.24,540.96,398.75,458.29,395.98,456.32,423.48,471.06,469.27,434.31,380.51,480.72,564.08,413.91,449.78,456.08,424.86,308.99,535.91,347.48
454.84,444.24,413.95,467.92,385.15,462.37,236.36,425.43,426.07,371.08,379.17,347.34,319.14,435.46,376.96,484.5,457.69,405.18,446.25,0.0,431.24,361.87,368.35,390.03,442.32,448.68,549.8,427.45,489.35,435.97,0.0,452.28,468.4,372.36,405.49,447.0,456.46,0.0,512.42,456.46,0.0,512.42,302.22,426.63,363.31,176.53,399.51,530.77,387.17,444.67,404.85,456.24,403.05,482.26,477.72,443.15,394.12,506.76,568.86,414.23,460.26,462.37,448.83,296.34,513.8,352.93
460.68,456.32,411.62,485.72,370.02,477.05,274.2,470.39,479.02,411.58,420.46,395.63,310.68,416.07,370.83,527.24,464.17,425.12,455.25,0.0,440.63,367.02,385.0,429.97,412.53,474.99,562.4,441.42,477.96,439.58,0.0,468.21,454.79,377.36,416.82,468.2,466.55,0.0,505.15,466.55,0.0,505.15,316.39,434.09,388.72,186.64,433.34,540.52,415.33,484.29,418.46,480.6,428.03,497.5,513.77,451.49,425.91,506.19,582.4,432.04,482.37,477.05,460.14,295.01,532.22,368.78
