;Total(DOM);Total(INTL);TOTAL;U.S. Gulf Coast Kerosene-Type Jet Fuel Spot Price FOB in U.S. Dollars per Gallon;YEAR;MONTH;ABRV;MONTH YEAR
January 2000;623794;51459;675253.0;0.78165;2000;January ;Jan 2000;2000-01-01
February 2000;605936;49157;655093.0;0.78095;2000;February ;Feb 2000;2000-02-01
March 2000;667027;54263;721290.0;0.7685000000000002;2000;March ;Mar 2000;2000-03-01
April 2000;635767;52826;688593.0;0.7195;2000;April ;Apr 2000;2000-04-01
May 2000;672835;55358;728193.0;0.7634090909090911;2000;May ;May 2000;2000-05-01
June 2000;660912;56447;717359.0;0.785904761904762;2000;June ;Jun 2000;2000-06-01
July 2000;686087;61538;747625.0;0.7967500000000001;2000;July ;Jul 2000;2000-07-01
August 2000;693389;59636;753025.0;0.908608695652174;2000;August ;Aug 2000;2000-08-01
September 2000;658714;54114;712828.0;1.0176315789473684;2000;September ;Sep 2000;2000-09-01
October 2000;693367;54140;747507.0;0.9813043478260868;2000;October ;Oct 2000;2000-10-01
November 2000;657910;53683;711593.0;1.029190476190476;2000;November ;Nov 2000;2000-11-01
December 2000;646848;56696;703544.0;0.8573157894736843;2000;December ;Dec 2000;2000-12-01
January 2001;678384;58766;737150.0;0.8680454545454545;2001;January ;Jan 2001;2001-01-01
February 2001;614581;53910;668491.0;0.8114210526315789;2001;February ;Feb 2001;2001-02-01
March 2001;683429;60196;743625.0;0.7474761904761904;2001;March ;Mar 2001;2001-03-01
April 2001;653498;57968;711466.0;0.7717619047619046;2001;April ;Apr 2001;2001-04-01
May 2001;674855;58550;733405.0;0.8185909090909089;2001;May ;May 2001;2001-05-01
June 2001;656502;58795;715297.0;0.7667499999999998;2001;June ;Jun 2001;2001-06-01
July 2001;694307;61716;756023.0;0.7122272727272727;2001;July ;Jul 2001;2001-07-01
August 2001;707693;61835;769528.0;0.766;2001;August ;Aug 2001;2001-08-01
September 2001;527879;45463;573342.0;0.73315;2001;September ;Sep 2001;2001-09-01
October 2001;588541;47896;636437.0;0.618913043478261;2001;October ;Oct 2001;2001-10-01
November 2001;563151;45683;608834.0;0.5411052631578948;2001;November ;Nov 2001;2001-11-01
December 2001;581089;48989;630078.0;0.515;2001;December ;Dec 2001;2001-12-01
January 2002;616951;50285;667236.0;0.5338181818181819;2002;January ;Jan 2002;2002-01-01
February 2002;575447;46476;621923.0;0.5530526315789474;2002;February ;Feb 2002;2002-02-01
March 2002;644344;53272;697616.0;0.6354500000000001;2002;March ;Mar 2002;2002-03-01
April 2002;629919;51596;681515.0;0.6677727272727272;2002;April ;Apr 2002;2002-04-01
May 2002;644665;53619;698284.0;0.6662857142857144;2002;May ;May 2002;2002-05-01
June 2002;649321;54800;704121.0;0.6543809523809523;2002;June ;Jun 2002;2002-06-01
July 2002;684401;57741;742142.0;0.6906190476190476;2002;July ;Jul 2002;2002-07-01
August 2002;692040;56975;749015.0;0.7248571428571431;2002;August ;Aug 2002;2002-08-01
September 2002;637110;50871;687981.0;0.8024285714285714;2002;September ;Sep 2002;2002-09-01
October 2002;824984;58479;883463.0;0.785304347826087;2002;October ;Oct 2002;2002-10-01
November 2002;775709;58474;834183.0;0.7060555555555554;2002;November ;Nov 2002;2002-11-01
December 2002;789620;63996;853616.0;0.811095238095238;2002;December ;Dec 2002;2002-12-01
January 2003;793293;64942;858235.0;0.8867142857142858;2003;January ;Jan 2003;2003-01-01
February 2003;698464;58446;756910.0;1.0554210526315788;2003;February ;Feb 2003;2003-02-01
March 2003;806128;67219;873347.0;0.8858636363636365;2003;March ;Mar 2003;2003-03-01
April 2003;774640;62138;836778.0;0.741142857142857;2003;April ;Apr 2003;2003-04-01
May 2003;799861;61524;861385.0;0.71525;2003;May ;May 2003;2003-05-01
June 2003;812510;64640;877150.0;0.7489999999999999;2003;June ;Jun 2003;2003-06-01
July 2003;847914;70288;918202.0;0.7830000000000001;2003;July ;Jul 2003;2003-07-01
August 2003;849077;70632;919709.0;0.8219;2003;August ;Aug 2003;2003-08-01
September 2003;795755;59295;855050.0;0.7408181818181819;2003;September ;Sep 2003;2003-09-01
October 2003;829580;59741;889321.0;0.8212272727272727;2003;October ;Oct 2003;2003-10-01
November 2003;776009;60175;836184.0;0.8305789473684212;2003;November ;Nov 2003;2003-11-01
December 2003;806701;64680;871381.0;0.8790000000000001;2003;December ;Dec 2003;2003-12-01
January 2004;795360;66090;861450.0;0.9984210526315791;2004;January ;Jan 2004;2004-01-01
February 2004;769947;63472;833419.0;0.9371499999999999;2004;February ;Feb 2004;2004-02-01
March 2004;844241;68956;913197.0;0.9413478260869567;2004;March ;Mar 2004;2004-03-01
April 2004;828140;67597;895737.0;0.9774499999999999;2004;April ;Apr 2004;2004-04-01
May 2004;844989;68879;913868.0;1.090857142857143;2004;May ;May 2004;2004-05-01
June 2004;851512;71222;922734.0;1.0343809523809524;2004;June ;Jun 2004;2004-06-01
July 2004;888249;78017;966266.0;1.146;2004;July ;Jul 2004;2004-07-01
August 2004;901772;75406;977178.0;1.2280869565217394;2004;August ;Aug 2004;2004-08-01
September 2004;833464;62402;895866.0;1.3747619047619049;2004;September ;Sep 2004;2004-09-01
October 2004;872598;64099;936697.0;1.512904761904762;2004;October ;Oct 2004;2004-10-01
November 2004;828575;63784;892359.0;1.3411000000000004;2004;November ;Nov 2004;2004-11-01
December 2004;843323;70050;913373.0;1.2230500000000002;2004;December ;Dec 2004;2004-12-01
January 2005;815089;72832;887921.0;1.3328095238095237;2005;January ;Jan 2005;2005-01-01
February 2005;768557;66100;834657.0;1.3438947368421053;2005;February ;Feb 2005;2005-02-01
March 2005;876180;77094;953274.0;1.5735454545454544;2005;March ;Mar 2005;2005-03-01
April 2005;848404;73160;921564.0;1.5645499999999994;2005;April ;Apr 2005;2005-04-01
May 2005;883909;74671;958580.0;1.4774545454545454;2005;May ;May 2005;2005-05-01
June 2005;876897;76663;953560.0;1.6585454545454545;2005;June ;Jun 2005;2005-06-01
July 2005;902616;82838;985454.0;1.6648;2005;July ;Jul 2005;2005-07-01
August 2005;906554;79528;986082.0;1.9057391304347826;2005;August ;Aug 2005;2005-08-01
September 2005;828225;67567;895792.0;2.22285;2005;September ;Sep 2005;2005-09-01
October 2005;842507;66390;908897.0;2.3721363636363635;2005;October ;Oct 2005;2005-10-01
November 2005;808501;64582;873083.0;1.6897000000000002;2005;November ;Nov 2005;2005-11-01
December 2005;808705;71079;879784.0;1.7312499999999997;2005;December ;Dec 2005;2005-12-01
January 2006;792581;72600;865181.0;1.8166666666666669;2006;January ;Jan 2006;2006-01-01
February 2006;722845;66646;789491.0;1.754421052631579;2006;February ;Feb 2006;2006-02-01
March 2006;832669;77157;909826.0;1.8764545454545454;2006;March ;Mar 2006;2006-03-01
April 2006;802489;74737;877226.0;2.0781;2006;April ;Apr 2006;2006-04-01
May 2006;833390;74743;908133.0;2.065909090909091;2006;May ;May 2006;2006-05-01
June 2006;831234;77918;909152.0;2.0818095238095244;2006;June ;Jun 2006;2006-06-01
