Total Dom. Cargo Flights,Total Intl. Cargo Flights,Total Cargo Flights,Total Dom. Cargo Freight Ton Miles,Total Intl. Cargo Freight Ton Miles,Total Cargo Freight Ton Miles,Total Dom. Cargo Revenue Ton Miles,Total Intl. Cargo Revenue Ton Miles,Total Cargo Revenue Ton Miles,U.S. Gulf Coast Kerosene-Type Jet Fuel Spot Price FOB in U.S. Dollars per Gallon
954,10423,11377.0,171973,985514,1157487.0,35485,570688,606173.0,0.78165
985,10639,11624.0,188255,1071394,1259649.0,34089,606567,640656.0,0.78095
1060,11598,12658.0,221512,1260874,1482386.0,44465,736502,780967.0,0.7685000000000002
1143,10558,11701.0,213114,1160212,1373326.0,45204,665856,711060.0,0.7195
1095,12209,13304.0,221958,1192193,1414151.0,46600,700698,747298.0,0.7634090909090911
1104,11702,12806.0,226884,1223717,1450601.0,53700,714641,768341.0,0.785904761904762
1159,11701,12860.0,211102,1250703,1461805.0,50201,732133,782334.0,0.7967500000000001
1293,12577,13870.0,206281,1245413,1451694.0,44937,751478,796415.0,0.908608695652174
1350,12888,14238.0,203384,1377155,1580539.0,45430,864727,910157.0,1.0176315789473684
1407,12798,14205.0,233874,1427706,1661580.0,58838,871196,930034.0,0.9813043478260868
1561,12228,13789.0,215431,1367362,1582793.0,56722,849530,906252.0,1.029190476190476
1945,11775,13720.0,182829,1267245,1450074.0,55532,782119,837651.0,0.8573157894736843
10324,11594,21918.0,381291,1098142,1479433.0,243952,666944,910896.0,0.8680454545454545
9579,11169,20748.0,365369,1172795,1538164.0,230205,710289,940494.0,0.8114210526315789
11582,12258,23840.0,439223,1360400,1799623.0,285128,838186,1123314.0,0.7474761904761904
10484,11447,21931.0,382706,1186359,1569065.0,245335,719862,965197.0,0.7717619047619046
11298,12525,23823.0,425694,1219213,1644907.0,270138,735288,1005426.0,0.8185909090909089
11169,12723,23892.0,422445,1237206,1659651.0,277777,770355,1048132.0,0.7667499999999998
11143,12259,23402.0,386846,1159192,1546038.0,251205,711293,962498.0,0.7122272727272727
12827,12691,25518.0,433550,1165748,1599298.0,285229,725402,1010631.0,0.766
8539,10720,19259.0,321462,1065535,1386997.0,216431,693197,909628.0,0.73315
11246,12535,23781.0,411263,1224852,1636115.0,284590,802638,1087228.0,0.618913043478261
11093,12110,23203.0,391892,1187268,1579160.0,276965,788867,1065832.0,0.5411052631578948
11611,11617,23228.0,400389,1140593,1540982.0,288804,778381,1067185.0,0.515
12635,12059,24694.0,356541,1025566,1382107.0,241421,691778,933199.0,0.5338181818181819
12821,11171,23992.0,344906,1058935,1403841.0,226677,694495,921172.0,0.5530526315789474
15532,12709,28241.0,427582,1318538,1746120.0,287747,875193,1162940.0,0.6354500000000001
14437,12624,27061.0,411501,1228739,1640240.0,269393,803667,1073060.0,0.6677727272727272
16370,13013,29383.0,443898,1245406,1689304.0,288275,803629,1091904.0,0.6662857142857144
16772,12534,29306.0,450538,1302234,1752772.0,295278,843519,1138797.0,0.6543809523809523
17393,13509,30902.0,471033,1321966,1792999.0,320044,875241,1195285.0,0.6906190476190476
18535,13164,31699.0,483623,1268618,1752241.0,333586,847380,1180966.0,0.7248571428571431
15518,12186,27704.0,453595,1314653,1768248.0,307416,877842,1185258.0,0.8024285714285714
54005,16455,70460.0,1351321,1817302,3168623.0,1180012,1303880,2483892.0,0.785304347826087
49180,14837,64017.0,1189182,1702716,2891898.0,1041790,1225639,2267429.0,0.7060555555555554
53352,14015,67367.0,1125068,1452830,2577898.0,1020016,1048413,2068429.0,0.811095238095238
48270,14490,62760.0,1034053,1357400,2391453.0,902191,986711,1888902.0,0.8867142857142858
44724,14035,58759.0,949185,1335921,2285106.0,814507,927177,1741684.0,1.0554210526315788
48119,15169,63288.0,1093421,1646020,2739441.0,938982,1205308,2144290.0,0.8858636363636365
49749,15201,64950.0,1069394,1470779,2540173.0,925093,1110718,2035811.0,0.741142857142857
48857,15219,64076.0,1082420,1446808,2529228.0,932897,1108145,2041042.0,0.71525
47570,14388,61958.0,1060839,1431373,2492212.0,913330,1085168,1998498.0,0.7489999999999999
50278,15513,65791.0,1098786,1492448,2591234.0,955160,1146422,2101582.0,0.7830000000000001
51276,15258,66534.0,1127987,1482693,2610680.0,981473,1161491,2142964.0,0.8219
48146,14972,63118.0,1103337,1466533,2569870.0,960131,1117808,2077939.0,0.7408181818181819
53567,15967,69534.0,1268945,1620519,2889464.0,1113099,1243599,2356698.0,0.8212272727272727
44591,15260,59851.0,1144313,1670888,2815201.0,999059,1291053,2290112.0,0.8305789473684212
52260,15215,67475.0,1194002,1532094,2726096.0,1071585,1192530,2264115.0,0.8790000000000001
46244,14667,60911.0,1055586,1369209,2424795.0,928599,1038030,1966629.0,0.9984210526315791
43901,14903,58804.0,1068959,1575842,2644801.0,930558,1187190,2117748.0,0.9371499999999999
48150,16877,65027.0,1233416,1855697,3089113.0,1069861,1412806,2482667.0,0.9413478260869567
47713,15972,63685.0,1174939,1724614,2899553.0,1021921,1323976,2345897.0,0.9774499999999999
45957,15722,61679.0,1147202,1749239,2896441.0,986120,1321923,2308043.0,1.090857142857143
48216,16236,64452.0,1167677,1735025,2902702.0,1006309,1311064,2317373.0,1.0343809523809524
48277,16333,64610.0,1189313,1821138,3010451.0,1035449,1385765,2421214.0,1.146
48514,16366,64880.0,1180754,1762023,2942777.0,1026185,1329835,2356020.0,1.2280869565217394
48361,16927,65288.0,1232472,1838684,3071156.0,1083177,1396116,2479293.0,1.3747619047619049
49200,17532,66732.0,1303525,2017180,3320705.0,1138136,1526767,2664903.0,1.512904761904762
45924,17780,63704.0,1211041,2013414,3224455.0,1057490,1565173,2622663.0,1.3411000000000004
54292,17333,71625.0,1286801,1915919,3202720.0,1166945,1491157,2658102.0,1.2230500000000002
49457,16016,65473.0,1107684,1704045,2811729.0,980769,1330854,2311623.0,1.3328095238095237
49245,15017,64262.0,1090181,1590985,2681166.0,956346,1180733,2137079.0,1.3438947368421053
57776,17306,75082.0,1315722,1942787,3258509.0,1160622,1510749,2671371.0,1.5735454545454544
