International Cargo - Passenger Enplanements  (January 2000 - April 2020)
Unit: (000)

Period,Total
"January 2000","0"
"February 2000","0"
"March 2000","0"
"April 2000","0"
"May 2000","0"
"June 2000","0"
"July 2000","0"
"August 2000","0"
"September 2000","0"
"October 2000","0"
"November 2000","0"
"December 2000","0"
"January 2001","5"
"February 2001","0"
"March 2001","0"
"April 2001","0"
"May 2001","0"
"June 2001","0"
"July 2001","0"
"August 2001","0"
"September 2001","0"
"October 2001","0"
"November 2001","0"
"December 2001","4"
"January 2002","0"
"February 2002","3"
"March 2002","0"
"April 2002","0"
"May 2002","0"
"June 2002","0"
"July 2002","51"
"August 2002","0"
"September 2002","0"
"October 2002","0"
"November 2002","0"
"December 2002","0"
"January 2003","0"
"February 2003","0"
"March 2003","0"
"April 2003","1"
"May 2003","0"
"June 2003","0"
"July 2003","0"
"August 2003","0"
"September 2003","0"
"October 2003","0"
"November 2003","0"
"December 2003","0"
"January 2004","0"
"February 2004","0"
"March 2004","0"
"April 2004","0"
"May 2004","0"
"June 2004","0"
"July 2004","0"
"August 2004","0"
"September 2004","0"
"October 2004","0"
"November 2004","0"
"December 2004","0"
"January 2005","0"
"February 2005","0"
"March 2005","0"
"April 2005","0"
"May 2005","0"
"June 2005","0"
"July 2005","0"
"August 2005","0"
"September 2005","0"
"October 2005","0"
"November 2005","0"
"December 2005","0"
"January 2006","0"
"February 2006","0"
"March 2006","0"
"April 2006","0"
"May 2006","0"
"June 2006","3"
"July 2006","0"
"August 2006","0"
"September 2006","0"
"October 2006","0"
"November 2006","1"
"December 2006","0"
"January 2007","0"
"February 2007","0"
"March 2007","0"
"April 2007","0"
"May 2007","0"
"June 2007","0"
"July 2007","0"
"August 2007","0"
"September 2007","0"
"October 2007","0"
"November 2007","0"
"December 2007","0"
"January 2008","0"
"February 2008","0"
"March 2008","0"
"April 2008","0"
"May 2008","0"
"June 2008","0"
"July 2008","0"
"August 2008","0"
"September 2008","0"
"October 2008","0"
"November 2008","0"
"December 2008","0"
"January 2009","0"
"February 2009","0"
"March 2009","0"
"April 2009","0"
"May 2009","0"
"June 2009","0"
"July 2009","0"
"August 2009","0"
"September 2009","0"
"October 2009","0"
"November 2009","0"
"December 2009","0"
"January 2010","0"
"February 2010","0"
"March 2010","0"
"April 2010","0"
"May 2010","0"
"June 2010","0"
"July 2010","0"
"August 2010","0"
"September 2010","0"
"October 2010","0"
"November 2010","0"
"December 2010","0"
"January 2011","0"
"February 2011","0"
"March 2011","0"
"April 2011","0"
"May 2011","0"
"June 2011","0"
"July 2011","0"
"August 2011","0"
"September 2011","0"
"October 2011","0"
"November 2011","0"
"December 2011","0"
"January 2012","0"
"February 2012","0"
"March 2012","0"
"April 2012","0"
"May 2012","8"
"June 2012","0"
"July 2012","0"
"August 2012","0"
"September 2012","0"
"October 2012","0"
"November 2012","0"
"December 2012","0"
"January 2013","0"
"February 2013","0"
"March 2013","0"
"April 2013","0"
"May 2013","0"
"June 2013","0"
"July 2013","0"
"August 2013","0"
"September 2013","0"
"October 2013","0"
"November 2013","0"
"December 2013","0"
"January 2014","0"
"February 2014","0"
"March 2014","0"
"April 2014","0"
"May 2014","0"
"June 2014","0"
"July 2014","0"
"August 2014","0"
"September 2014","0"
"October 2014","0"
"November 2014","0"
"December 2014","0"
"January 2015","0"
"February 2015","0"
"March 2015","0"
"April 2015","0"
"May 2015","0"
"June 2015","0"
"July 2015","0"
"August 2015","0"
"September 2015","0"
"October 2015","0"
"November 2015","0"
"December 2015","0"
"January 2016","0"
"February 2016","0"
"March 2016","0"
"April 2016","0"
"May 2016","0"
"June 2016","0"
"July 2016","0"
"August 2016","0"
"September 2016","0"
"October 2016","0"
"November 2016","0"
"December 2016","0"
"January 2017","0"
"February 2017","0"
"March 2017","0"
"April 2017","0"
"May 2017","0"
"June 2017","0"
"July 2017","0"
"August 2017","0"
"September 2017","0"
"October 2017","0"
"November 2017","0"
"December 2017","0"
"January 2018","0"
"February 2018","0"
"March 2018","0"
"April 2018","0"
"May 2018","0"
"June 2018","0"
"July 2018","0"
"August 2018","0"
"September 2018","0"
"October 2018","0"
"November 2018","0"
"December 2018","2"
"January 2019","0"
"February 2019","0"
"March 2019","0"
"April 2019","0"
"May 2019","0"
"June 2019","0"
"July 2019","0"
"August 2019","0"
"September 2019","0"
"October 2019","0"
"November 2019","0"
"December 2019","0"
"January 2020","0"
"February 2020","0"
"March 2020","0"
"April 2020","0"


SOURCE: Bureau of Transportation Statistics, T-100 Market and Segment
