International Passenger - Freight Ton Miles  (January 2000 - April 2020)
Unit: (000)

Period,Total
"January 2000","419356"
"February 2000","469782"
"March 2000","529229"
"April 2000","497904"
"May 2000","500130"
"June 2000","512480"
"July 2000","521669"
"August 2000","497316"
"September 2000","516310"
"October 2000","559898"
"November 2000","521647"
"December 2000","491040"
"January 2001","434154"
"February 2001","465327"
"March 2001","525271"
"April 2001","469250"
"May 2001","486748"
"June 2001","469924"
"July 2001","450705"
"August 2001","443436"
"September 2001","380564"
"October 2001","429564"
"November 2001","404263"
"December 2001","371035"
"January 2002","338671"
"February 2002","369522"
"March 2002","448609"
"April 2002","429198"
"May 2002","445440"
"June 2002","462512"
"July 2002","450047"
"August 2002","426529"
"September 2002","441904"
"October 2002","520510"
"November 2002","484405"
"December 2002","413608"
"January 2003","377573"
"February 2003","415670"
"March 2003","461122"
"April 2003","372361"
"May 2003","370984"
"June 2003","380119"
"July 2003","380974"
"August 2003","372641"
"September 2003","378212"
"October 2003","418027"
"November 2003","412336"
"December 2003","374060"
"January 2004","355270"
"February 2004","414260"
"March 2004","467534"
"April 2004","430462"
"May 2004","460611"
"June 2004","454683"
"July 2004","461964"
"August 2004","456297"
"September 2004","468080"
"October 2004","519453"
"November 2004","490607"
"December 2004","468481"
"January 2005","418008"
"February 2005","445701"
"March 2005","499305"
"April 2005","458306"
"May 2005","464141"
"June 2005","469853"
"July 2005","476797"
"August 2005","459309"
"September 2005","489226"
"October 2005","529113"
"November 2005","476761"
"December 2005","470813"
"January 2006","420671"
"February 2006","430926"
"March 2006","509113"
"April 2006","469422"
"May 2006","476126"
"June 2006","495131"
"July 2006","491216"
"August 2006","468550"
"September 2006","498798"
"October 2006","530567"
"November 2006","492599"
"December 2006","475797"
"January 2007","396104"
"February 2007","415699"
"March 2007","480794"
"April 2007","447049"
"May 2007","457485"
"June 2007","457458"
"July 2007","450712"
"August 2007","439633"
"September 2007","487971"
"October 2007","501170"
"November 2007","481281"
"December 2007","460757"
"January 2008","410975"
"February 2008","445413"
"March 2008","485009"
"April 2008","480059"
"May 2008","478631"
"June 2008","478257"
"July 2008","473300"
"August 2008","452198"
"September 2008","437311"
"October 2008","460115"
"November 2008","412118"
"December 2008","340087"
"January 2009","305820"
"February 2009","312563"
"March 2009","358147"
"April 2009","344999"
"May 2009","372406"
"June 2009","380567"
"July 2009","401022"
"August 2009","400891"
"September 2009","430143"
"October 2009","481457"
"November 2009","480331"
"December 2009","457244"
"January 2010","421531"
"February 2010","444576"
"March 2010","530190"
"April 2010","472043"
"May 2010","547144"
"June 2010","529262"
"July 2010","527719"
"August 2010","506845"
"September 2010","500268"
"October 2010","559537"
"November 2010","504572"
"December 2010","498939"
"January 2011","461958"
"February 2011","470761"
"March 2011","547256"
"April 2011","501402"
"May 2011","507220"
"June 2011","480086"
"July 2011","497532"
"August 2011","458951"
"September 2011","474803"
"October 2011","510443"
"November 2011","469024"
"December 2011","472388"
"January 2012","426311"
"February 2012","453598"
"March 2012","540149"
"April 2012","483669"
"May 2012","507656"
"June 2012","495251"
"July 2012","488467"
"August 2012","473302"
"September 2012","479502"
"October 2012","478862"
"November 2012","461903"
"December 2012","465104"
"January 2013","406339"
"February 2013","422044"
"March 2013","501509"
"April 2013","454170"
"May 2013","475143"
"June 2013","478461"
"July 2013","458685"
"August 2013","456336"
"September 2013","457702"
"October 2013","517248"
"November 2013","502250"
"December 2013","456982"
"January 2014","425344"
"February 2014","428842"
"March 2014","533499"
"April 2014","481014"
"May 2014","518281"
"June 2014","520186"
"July 2014","546119"
"August 2014","515757"
"September 2014","511210"
"October 2014","555520"
"November 2014","519172"
"December 2014","490259"
"January 2015","448114"
"February 2015","484887"
"March 2015","538539"
"April 2015","490845"
"May 2015","499695"
"June 2015","504106"
"July 2015","504379"
"August 2015","491768"
"September 2015","491333"
"October 2015","536469"
"November 2015","490182"
"December 2015","472812"
"January 2016","430853"
"February 2016","439497"
"March 2016","497075"
"April 2016","496983"
"May 2016","511072"
"June 2016","505188"
"July 2016","515090"
"August 2016","489293"
"September 2016","519872"
"October 2016","587769"
"November 2016","518356"
"December 2016","511985"
"January 2017","475520"
"February 2017","481277"
"March 2017","574848"
"April 2017","561076"
"May 2017","595178"
"June 2017","600455"
"July 2017","616590"
"August 2017","592411"
"September 2017","598799"
"October 2017","656084"
"November 2017","591768"
"December 2017","586194"
"January 2018","521357"
"February 2018","539216"
"March 2018","636217"
"April 2018","617223"
"May 2018","623866"
"June 2018","631540"
"July 2018","640838"
"August 2018","617572"
"September 2018","606543"
"October 2018","659053"
"November 2018","557676"
"December 2018","556211"
"January 2019","508002"
"February 2019","501341"
"March 2019","605269"
"April 2019","543881"
"May 2019","571747"
"June 2019","564478"
"July 2019","567794"
"August 2019","543898"
"September 2019","553709"
"October 2019","584994"
"November 2019","543549"
"December 2019","524269"
"January 2020","483816"
"February 2020","464428"
"March 2020","319769"
"April 2020","79383"


SOURCE: Bureau of Transportation Statistics, T-100 Market and Segment
