Date;U.S. Gulf Coast Kerosene-Type Jet Fuel Spot Price FOB in U.S. Dollars per Gallon
2004-08-22T20:00:00-04:00;1.25
2004-08-05T20:00:00-04:00;1.207
2004-08-01T20:00:00-04:00;1.208
2004-07-28T20:00:00-04:00;1.19
2004-07-14T20:00:00-04:00;1.128
2004-07-05T20:00:00-04:00;1.139
2004-06-27T20:00:00-04:00;1.043
2004-05-25T20:00:00-04:00;1.02
2004-05-12T20:00:00-04:00;1.169
2004-05-05T20:00:00-04:00;1.081
2004-05-03T20:00:00-04:00;1.058
2004-05-02T20:00:00-04:00;1.05
2004-04-25T20:00:00-04:00;1.008
2004-04-21T20:00:00-04:00;0.994
2004-04-20T20:00:00-04:00;0.975
2004-04-19T20:00:00-04:00;0.979
2004-03-29T19:00:00-05:00;0.939
2004-03-28T19:00:00-05:00;0.918
2004-03-24T19:00:00-05:00;0.936
2004-02-23T19:00:00-05:00;0.914
2004-02-16T19:00:00-05:00;0.982
2004-02-12T19:00:00-05:00;0.953
2004-02-03T19:00:00-05:00;0.908
2004-01-28T19:00:00-05:00;0.95
2004-01-27T19:00:00-05:00;0.974
2004-01-22T19:00:00-05:00;1.032
2004-01-15T19:00:00-05:00;0.988
2004-01-13T19:00:00-05:00;0.982
2003-12-23T19:00:00-05:00;0.903
2003-12-21T19:00:00-05:00;0.867
2003-12-11T19:00:00-05:00;0.88
2003-12-04T19:00:00-05:00;0.869
2003-12-02T19:00:00-05:00;0.87
2003-11-30T19:00:00-05:00;0.825
2003-11-17T19:00:00-05:00;0.876
2003-11-05T19:00:00-05:00;0.81
2003-11-04T19:00:00-05:00;0.811
2003-10-23T20:00:00-04:00;0.813
2003-10-08T20:00:00-04:00;0.851
2003-10-02T20:00:00-04:00;0.814
2003-09-30T20:00:00-04:00;0.79
2003-09-24T20:00:00-04:00;0.736
2003-09-17T20:00:00-04:00;0.705
2003-09-15T20:00:00-04:00;0.728
2003-09-11T20:00:00-04:00;0.736
2003-09-10T20:00:00-04:00;0.744
2003-09-07T20:00:00-04:00;0.751
2003-09-03T20:00:00-04:00;0.762
2003-08-21T20:00:00-04:00;0.83
2003-08-19T20:00:00-04:00;0.812
2003-08-18T20:00:00-04:00;0.797
2003-07-14T20:00:00-04:00;0.806
2003-06-15T20:00:00-04:00;0.733
2003-06-12T20:00:00-04:00;0.728
2003-06-01T20:00:00-04:00;0.746
2003-05-18T20:00:00-04:00;0.717
2003-05-15T20:00:00-04:00;0.744
2003-05-13T20:00:00-04:00;0.752
2003-05-05T20:00:00-04:00;0.669
2003-04-29T20:00:00-04:00;0.69
2003-04-23T20:00:00-04:00;0.747
2003-04-15T20:00:00-04:00;0.761
2003-04-14T20:00:00-04:00;0.803
2003-03-31T19:00:00-05:00;0.728
2003-03-30T19:00:00-05:00;0.771
2003-03-25T19:00:00-05:00;0.714
2003-03-20T19:00:00-05:00;0.7
2003-03-11T19:00:00-05:00;1.021
2003-02-09T19:00:00-05:00;1.059
2003-02-06T19:00:00-05:00;1.161
2003-01-28T19:00:00-05:00;0.939
2003-01-26T19:00:00-05:00;0.904
2003-01-15T19:00:00-05:00;0.875
2003-01-09T19:00:00-05:00;0.842
2002-12-25T19:00:00-05:00;0.92
2002-12-05T19:00:00-05:00;0.725
2002-12-04T19:00:00-05:00;0.728
2002-11-19T19:00:00-05:00;0.729
2002-11-12T19:00:00-05:00;0.665
2002-11-11T19:00:00-05:00;0.68
2002-11-10T19:00:00-05:00;0.68
2002-11-06T19:00:00-05:00;0.685
2002-10-29T19:00:00-05:00;0.727
2002-10-27T19:00:00-05:00;0.724
2002-10-16T20:00:00-04:00;0.811
2002-09-25T20:00:00-04:00;0.816
2002-09-08T20:00:00-04:00;0.796
2002-09-02T20:00:00-04:00;0.728
2002-08-07T20:00:00-04:00;0.682
2002-07-24T20:00:00-04:00;0.685
2002-07-18T20:00:00-04:00;0.706
2002-07-17T20:00:00-04:00;0.702
2002-07-01T20:00:00-04:00;0.693
2002-06-30T20:00:00-04:00;0.688
2002-06-19T20:00:00-04:00;0.667
2002-06-13T20:00:00-04:00;0.668
2002-06-10T20:00:00-04:00;0.621
2002-06-03T20:00:00-04:00;0.634
2002-06-02T20:00:00-04:00;0.628
2002-05-16T20:00:00-04:00;0.682
2002-05-14T20:00:00-04:00;0.677
2002-05-07T20:00:00-04:00;0.665
2002-04-22T20:00:00-04:00;0.664
2002-04-16T20:00:00-04:00;0.65
2002-04-15T20:00:00-04:00;0.642
2002-04-14T20:00:00-04:00;0.632
2002-04-01T19:00:00-05:00;0.708
2002-03-25T19:00:00-05:00;0.653
2002-03-04T19:00:00-05:00;0.606
2002-02-21T19:00:00-05:00;0.553
2002-01-29T19:00:00-05:00;0.522
2002-01-21T19:00:00-05:00;0.516
2002-01-09T19:00:00-05:00;0.547
2001-12-26T19:00:00-05:00;0.57
2001-12-20T19:00:00-05:00;0.532
2001-12-16T19:00:00-05:00;0.517
2001-11-18T19:00:00-05:00;0.506
2001-10-29T19:00:00-05:00;0.616
2001-10-28T19:00:00-05:00;0.622
2001-10-10T20:00:00-04:00;0.656
2001-10-09T20:00:00-04:00;0.637
2001-10-07T20:00:00-04:00;0.633
2001-10-04T20:00:00-04:00;0.632
2001-09-25T20:00:00-04:00;0.638
2001-09-09T20:00:00-04:00;0.816
2001-08-26T20:00:00-04:00;0.779
2001-08-16T20:00:00-04:00;0.732
2001-08-15T20:00:00-04:00;0.766
2001-08-05T20:00:00-04:00;0.744
2001-07-24T20:00:00-04:00;0.718
2001-07-23T20:00:00-04:00;0.697
2001-07-15T20:00:00-04:00;0.689
2001-06-28T20:00:00-04:00;0.726
2001-06-27T20:00:00-04:00;0.713
2001-06-18T20:00:00-04:00;0.778
2001-06-11T20:00:00-04:00;0.816
2001-06-07T20:00:00-04:00;0.776
2001-06-06T20:00:00-04:00;0.767
2001-05-16T20:00:00-04:00;0.807
2001-05-03T20:00:00-04:00;0.843
2001-04-30T20:00:00-04:00;0.815
