Domestic Cargo - Total Revenue Ton Miles  (January 2000 - April 2020)
Unit: (000)

Period,Total
"January 2000","35485"
"February 2000","34089"
"March 2000","44465"
"April 2000","45204"
"May 2000","46600"
"June 2000","53700"
"July 2000","50201"
"August 2000","44937"
"September 2000","45430"
"October 2000","58838"
"November 2000","56722"
"December 2000","55532"
"January 2001","243952"
"February 2001","230205"
"March 2001","285128"
"April 2001","245335"
"May 2001","270138"
"June 2001","277777"
"July 2001","251205"
"August 2001","285229"
"September 2001","216431"
"October 2001","284590"
"November 2001","276965"
"December 2001","288804"
"January 2002","241421"
"February 2002","226677"
"March 2002","287747"
"April 2002","269393"
"May 2002","288275"
"June 2002","295278"
"July 2002","320044"
"August 2002","333586"
"September 2002","307416"
"October 2002","1180012"
"November 2002","1041790"
"December 2002","1020016"
"January 2003","902191"
"February 2003","814507"
"March 2003","938982"
"April 2003","925093"
"May 2003","932897"
"June 2003","913330"
"July 2003","955160"
"August 2003","981473"
"September 2003","960131"
"October 2003","1113099"
"November 2003","999059"
"December 2003","1071585"
"January 2004","928599"
"February 2004","930558"
"March 2004","1069861"
"April 2004","1021921"
"May 2004","986120"
"June 2004","1006309"
"July 2004","1035449"
"August 2004","1026185"
"September 2004","1083177"
"October 2004","1138136"
"November 2004","1057490"
"December 2004","1166945"
"January 2005","980769"
"February 2005","956346"
"March 2005","1160622"
"April 2005","1086917"
"May 2005","1033351"
"June 2005","1129251"
"July 2005","1085261"
"August 2005","1139771"
"September 2005","1150077"
"October 2005","1162640"
"November 2005","1165399"
"December 2005","1240774"
"January 2006","998000"
"February 2006","936695"
"March 2006","1225920"
"April 2006","1093288"
"May 2006","1084986"
"June 2006","1164154"
"July 2006","1069343"
"August 2006","1217534"
"September 2006","1158506"
"October 2006","1178847"
"November 2006","1201653"
"December 2006","1262503"
"January 2007","1051522"
"February 2007","987896"
"March 2007","1196213"
"April 2007","1071582"
"May 2007","1151363"
"June 2007","1145434"
"July 2007","1094611"
"August 2007","1206564"
"September 2007","1124488"
"October 2007","1201884"
"November 2007","1172707"
"December 2007","1161797"
"January 2008","1040254"
"February 2008","981626"
"March 2008","1072745"
"April 2008","1108629"
"May 2008","1085990"
"June 2008","1000000"
"July 2008","1033886"
"August 2008","1017900"
"September 2008","979017"
"October 2008","1058994"
"November 2008","909556"
"December 2008","985517"
"January 2009","822321"
"February 2009","764104"
"March 2009","834681"
"April 2009","842085"
"May 2009","842890"
"June 2009","847345"
"July 2009","892271"
"August 2009","871583"
"September 2009","920521"
"October 2009","996794"
"November 2009","929918"
"December 2009","1093373"
"January 2010","844555"
"February 2010","806125"
"March 2010","952527"
"April 2010","954915"
"May 2010","933276"
"June 2010","953012"
"July 2010","951196"
"August 2010","943194"
"September 2010","954998"
"October 2010","993671"
"November 2010","942821"
"December 2010","1088858"
"January 2011","849642"
"February 2011","795634"
"March 2011","1011878"
"April 2011","921462"
"May 2011","883206"
"June 2011","937280"
"July 2011","887231"
"August 2011","924418"
"September 2011","905101"
"October 2011","915548"
"November 2011","922237"
"December 2011","1040528"
"January 2012","802235"
"February 2012","841925"
"March 2012","967537"
"April 2012","860938"
"May 2012","929180"
"June 2012","913143"
"July 2012","867084"
"August 2012","943427"
"September 2012","895087"
"October 2012","934566"
"November 2012","965317"
"December 2012","1022931"
"January 2013","908274"
"February 2013","805270"
"March 2013","925343"
"April 2013","876585"
"May 2013","915869"
"June 2013","885681"
"July 2013","879212"
"August 2013","947625"
"September 2013","861500"
"October 2013","973987"
"November 2013","883448"
"December 2013","1055467"
"January 2014","897674"
"February 2014","784588"
"March 2014","925110"
"April 2014","936403"
"May 2014","935801"
"June 2014","897336"
"July 2014","955582"
"August 2014","942935"
"September 2014","904013"
"October 2014","1008377"
"November 2014","969314"
"December 2014","1129084"
"January 2015","914213"
"February 2015","886243"
"March 2015","979000"
"April 2015","959415"
"May 2015","935096"
"June 2015","935543"
"July 2015","970171"
"August 2015","933872"
"September 2015","974433"
"October 2015","1038083"
"November 2015","969533"
"December 2015","1199947"
"January 2016","928704"
"February 2016","849304"
"March 2016","1035002"
"April 2016","988412"
"May 2016","960066"
"June 2016","1015214"
"July 2016","975301"
"August 2016","1033318"
"September 2016","1047627"
"October 2016","1056974"
"November 2016","1109461"
"December 2016","1258150"
"January 2017","987541"
"February 2017","896801"
"March 2017","1121990"
"April 2017","1033888"
"May 2017","1083690"
"June 2017","1107685"
"July 2017","1062745"
"August 2017","1166453"
"September 2017","1120467"
"October 2017","1196572"
"November 2017","1271538"
"December 2017","1362853"
"January 2018","1120357"
"February 2018","1016036"
"March 2018","1196737"
"April 2018","1126174"
"May 2018","1211317"
"June 2018","1182008"
"July 2018","1162519"
"August 2018","1250726"
"September 2018","1196551"
"October 2018","1277430"
"November 2018","1264666"
"December 2018","1390725"
"January 2019","1184875"
"February 2019","1023788"
"March 2019","1218760"
"April 2019","1203508"
"May 2019","1265407"
"June 2019","1216155"
"July 2019","1235910"
"August 2019","1276356"
"September 2019","1178950"
"October 2019","1309991"
"November 2019","1286538"
"December 2019","1440590"
"January 2020","1204853"
"February 2020","1041593"
"March 2020","1340926"
"April 2020","1387664"


SOURCE: Bureau of Transportation Statistics, T-100 Market and Segment
