International Cargo - Total Revenue Ton Miles  (January 2000 - April 2020)
Unit: (000)

Period,Total
"January 2000","570688"
"February 2000","606567"
"March 2000","736502"
"April 2000","665856"
"May 2000","700698"
"June 2000","714641"
"July 2000","732133"
"August 2000","751478"
"September 2000","864727"
"October 2000","871196"
"November 2000","849530"
"December 2000","782119"
"January 2001","666944"
"February 2001","710289"
"March 2001","838186"
"April 2001","719862"
"May 2001","735288"
"June 2001","770355"
"July 2001","711293"
"August 2001","725402"
"September 2001","693197"
"October 2001","802638"
"November 2001","788867"
"December 2001","778381"
"January 2002","691778"
"February 2002","694495"
"March 2002","875193"
"April 2002","803667"
"May 2002","803629"
"June 2002","843519"
"July 2002","875241"
"August 2002","847380"
"September 2002","877842"
"October 2002","1303880"
"November 2002","1225639"
"December 2002","1048413"
"January 2003","986711"
"February 2003","927177"
"March 2003","1205308"
"April 2003","1110718"
"May 2003","1108145"
"June 2003","1085168"
"July 2003","1146422"
"August 2003","1161491"
"September 2003","1117808"
"October 2003","1243599"
"November 2003","1291053"
"December 2003","1192530"
"January 2004","1038030"
"February 2004","1187190"
"March 2004","1412806"
"April 2004","1323976"
"May 2004","1321923"
"June 2004","1311064"
"July 2004","1385765"
"August 2004","1329835"
"September 2004","1396116"
"October 2004","1526767"
"November 2004","1565173"
"December 2004","1491157"
"January 2005","1330854"
"February 2005","1180733"
"March 2005","1510749"
"April 2005","1531314"
"May 2005","1463489"
"June 2005","1509618"
"July 2005","1448242"
"August 2005","1459619"
"September 2005","1456651"
"October 2005","1582963"
"November 2005","1613271"
"December 2005","1491511"
"January 2006","1282463"
"February 2006","1187783"
"March 2006","1645341"
"April 2006","1484071"
"May 2006","1430097"
"June 2006","1494857"
"July 2006","1448295"
"August 2006","1506462"
"September 2006","1534386"
"October 2006","1594589"
"November 2006","1704119"
"December 2006","1556044"
"January 2007","1398768"
"February 2007","1332622"
"March 2007","1715935"
"April 2007","1551385"
"May 2007","1486133"
"June 2007","1504678"
"July 2007","1521318"
"August 2007","1551874"
"September 2007","1525981"
"October 2007","1662069"
"November 2007","1710648"
"December 2007","1635788"
"January 2008","1434899"
"February 2008","1333994"
"March 2008","1615697"
"April 2008","1639272"
"May 2008","1485633"
"June 2008","1441701"
"July 2008","1412964"
"August 2008","1398608"
"September 2008","1389831"
"October 2008","1444268"
"November 2008","1307364"
"December 2008","1140441"
"January 2009","983327"
"February 2009","982041"
"March 2009","1159393"
"April 2009","1143670"
"May 2009","1064352"
"June 2009","1244755"
"July 2009","1175114"
"August 2009","1191687"
"September 2009","1246136"
"October 2009","1402924"
"November 2009","1481891"
"December 2009","1399339"
"January 2010","1205344"
"February 2010","1173209"
"March 2010","1410923"
"April 2010","1406386"
"May 2010","1480596"
"June 2010","1444777"
"July 2010","1439431"
"August 2010","1459979"
"September 2010","1481335"
"October 2010","1598949"
"November 2010","1636357"
"December 2010","1545736"
"January 2011","1420726"
"February 2011","1263416"
"March 2011","1696165"
"April 2011","1605871"
"May 2011","1541151"
"June 2011","1514242"
"July 2011","1531523"
"August 2011","1539066"
"September 2011","1490756"
"October 2011","1601428"
"November 2011","1604275"
"December 2011","1582238"
"January 2012","1298795"
"February 2012","1372366"
"March 2012","1638343"
"April 2012","1497332"
"May 2012","1532609"
"June 2012","1528681"
"July 2012","1495126"
"August 2012","1449360"
"September 2012","1447103"
"October 2012","1441752"
"November 2012","1517305"
"December 2012","1418344"
"January 2013","1367751"
"February 2013","1201532"
"March 2013","1461286"
"April 2013","1454863"
"May 2013","1309950"
"June 2013","1355627"
"July 2013","1376792"
"August 2013","1336976"
"September 2013","1317384"
"October 2013","1436532"
"November 2013","1464470"
"December 2013","1383259"
"January 2014","1249833"
"February 2014","1074823"
"March 2014","1422988"
"April 2014","1354270"
"May 2014","1411528"
"June 2014","1363930"
"July 2014","1426179"
"August 2014","1352112"
"September 2014","1329739"
"October 2014","1471495"
"November 2014","1501621"
"December 2014","1444416"
"January 2015","1325976"
"February 2015","1229134"
"March 2015","1456369"
"April 2015","1439583"
"May 2015","1379646"
"June 2015","1352806"
"July 2015","1366367"
"August 2015","1306008"
"September 2015","1385945"
"October 2015","1469877"
"November 2015","1489240"
"December 2015","1427477"
"January 2016","1314884"
"February 2016","1136798"
"March 2016","1413902"
"April 2016","1415480"
"May 2016","1357986"
"June 2016","1370221"
"July 2016","1378488"
"August 2016","1403473"
"September 2016","1415621"
"October 2016","1544984"
"November 2016","1600414"
"December 2016","1498562"
"January 2017","1367467"
"February 2017","1182830"
"March 2017","1560947"
"April 2017","1484091"
"May 2017","1539291"
"June 2017","1551699"
"July 2017","1594785"
"August 2017","1591349"
"September 2017","1622652"
"October 2017","1690627"
"November 2017","1801027"
"December 2017","1656214"
"January 2018","1591145"
"February 2018","1370346"
"March 2018","1740288"
"April 2018","1634846"
"May 2018","1738190"
"June 2018","1713402"
"July 2018","1681991"
"August 2018","1630910"
"September 2018","1735114"
"October 2018","1834163"
"November 2018","1814537"
"December 2018","1710001"
"January 2019","1643523"
"February 2019","1340404"
"March 2019","1789581"
"April 2019","1710438"
"May 2019","1745784"
"June 2019","1656249"
"July 2019","1696662"
"August 2019","1691324"
"September 2019","1643105"
"October 2019","1770684"
"November 2019","1852418"
"December 2019","1527672"
"January 2020","1567917"
"February 2020","1303777"
"March 2020","1825586"
"April 2020","1943323"


SOURCE: Bureau of Transportation Statistics, T-100 Market and Segment
