International Cargo - Departures Performed (Flights)  (January 2000 - April 2020)
Unit: (000)

Period,Total
"January 2000","10423"
"February 2000","10639"
"March 2000","11598"
"April 2000","10558"
"May 2000","12209"
"June 2000","11702"
"July 2000","11701"
"August 2000","12577"
"September 2000","12888"
"October 2000","12798"
"November 2000","12228"
"December 2000","11775"
"January 2001","11594"
"February 2001","11169"
"March 2001","12258"
"April 2001","11447"
"May 2001","12525"
"June 2001","12723"
"July 2001","12259"
"August 2001","12691"
"September 2001","10720"
"October 2001","12535"
"November 2001","12110"
"December 2001","11617"
"January 2002","12059"
"February 2002","11171"
"March 2002","12709"
"April 2002","12624"
"May 2002","13013"
"June 2002","12534"
"July 2002","13509"
"August 2002","13164"
"September 2002","12186"
"October 2002","16455"
"November 2002","14837"
"December 2002","14015"
"January 2003","14490"
"February 2003","14035"
"March 2003","15169"
"April 2003","15201"
"May 2003","15219"
"June 2003","14388"
"July 2003","15513"
"August 2003","15258"
"September 2003","14972"
"October 2003","15967"
"November 2003","15260"
"December 2003","15215"
"January 2004","14667"
"February 2004","14903"
"March 2004","16877"
"April 2004","15972"
"May 2004","15722"
"June 2004","16236"
"July 2004","16333"
"August 2004","16366"
"September 2004","16927"
"October 2004","17532"
"November 2004","17780"
"December 2004","17333"
"January 2005","16016"
"February 2005","15017"
"March 2005","17306"
"April 2005","17002"
"May 2005","16806"
"June 2005","17841"
"July 2005","16933"
"August 2005","17505"
"September 2005","17456"
"October 2005","17364"
"November 2005","18043"
"December 2005","17510"
"January 2006","16837"
"February 2006","15061"
"March 2006","18803"
"April 2006","16822"
"May 2006","17608"
"June 2006","18288"
"July 2006","17518"
"August 2006","18893"
"September 2006","18257"
"October 2006","18578"
"November 2006","18894"
"December 2006","17220"
"January 2007","17394"
"February 2007","16042"
"March 2007","18891"
"April 2007","17237"
"May 2007","17959"
"June 2007","17455"
"July 2007","17488"
"August 2007","18161"
"September 2007","16903"
"October 2007","18431"
"November 2007","18368"
"December 2007","17161"
"January 2008","17370"
"February 2008","16629"
"March 2008","17566"
"April 2008","18586"
"May 2008","17663"
"June 2008","16578"
"July 2008","17238"
"August 2008","16581"
"September 2008","16664"
"October 2008","17450"
"November 2008","15894"
"December 2008","15481"
"January 2009","14744"
"February 2009","14302"
"March 2009","15849"
"April 2009","15270"
"May 2009","14677"
"June 2009","16239"
"July 2009","15708"
"August 2009","15243"
"September 2009","15707"
"October 2009","16473"
"November 2009","16490"
"December 2009","16481"
"January 2010","14896"
"February 2010","14627"
"March 2010","16761"
"April 2010","15712"
"May 2010","16414"
"June 2010","16910"
"July 2010","16605"
"August 2010","16102"
"September 2010","16168"
"October 2010","16694"
"November 2010","16951"
"December 2010","16506"
"January 2011","15662"
"February 2011","14821"
"March 2011","17632"
"April 2011","16232"
"May 2011","16306"
"June 2011","16562"
"July 2011","16520"
"August 2011","17308"
"September 2011","16746"
"October 2011","16807"
"November 2011","16949"
"December 2011","16786"
"January 2012","15407"
"February 2012","15833"
"March 2012","17691"
"April 2012","16540"
"May 2012","17346"
"June 2012","16023"
"July 2012","16378"
"August 2012","16119"
"September 2012","15634"
"October 2012","16551"
"November 2012","16391"
"December 2012","14917"
"January 2013","15936"
"February 2013","14464"
"March 2013","15592"
"April 2013","15914"
"May 2013","15763"
"June 2013","15177"
"July 2013","15807"
"August 2013","15588"
"September 2013","14719"
"October 2013","16116"
"November 2013","15707"
"December 2013","15101"
"January 2014","14884"
"February 2014","13652"
"March 2014","15406"
"April 2014","15052"
"May 2014","15383"
"June 2014","15189"
"July 2014","16121"
"August 2014","15384"
"September 2014","14471"
"October 2014","16168"
"November 2014","15403"
"December 2014","15450"
"January 2015","14783"
"February 2015","13963"
"March 2015","15957"
"April 2015","15448"
"May 2015","15069"
"June 2015","15227"
"July 2015","15720"
"August 2015","14405"
"September 2015","15122"
"October 2015","15503"
"November 2015","15125"
"December 2015","15013"
"January 2016","14392"
"February 2016","13660"
"March 2016","14994"
"April 2016","14871"
"May 2016","14721"
"June 2016","15033"
"July 2016","14756"
"August 2016","15216"
"September 2016","14894"
"October 2016","15194"
"November 2016","15521"
"December 2016","14954"
"January 2017","14575"
"February 2017","13294"
"March 2017","15799"
"April 2017","14301"
"May 2017","15490"
"June 2017","15505"
"July 2017","15059"
"August 2017","15797"
"September 2017","14424"
"October 2017","15591"
"November 2017","16175"
"December 2017","14763"
"January 2018","15518"
"February 2018","14236"
"March 2018","16060"
"April 2018","15301"
"May 2018","16378"
"June 2018","15615"
"July 2018","15620"
"August 2018","15868"
"September 2018","15192"
"October 2018","16750"
"November 2018","16182"
"December 2018","15028"
"January 2019","15975"
"February 2019","13908"
"March 2019","15918"
"April 2019","15758"
"May 2019","16241"
"June 2019","15186"
"July 2019","16228"
"August 2019","15897"
"September 2019","15121"
"October 2019","16590"
"November 2019","15749"
"December 2019","14118"
"January 2020","15027"
"February 2020","13646"
"March 2020","15662"
"April 2020","15785"


SOURCE: Bureau of Transportation Statistics, T-100 Market and Segment
