Average Domestic Air Fares  

Year,Quarter,U.S. Average (Current $),U.S. Average (Inflation-Adjusted $),Birmingham -  AL (Current $),Birmingham -  AL (Inflation-Adjusted $),Huntsville -  AL (Current $),Huntsville -  AL (Inflation-Adjusted $),Little Rock -  AR (Current $),Little Rock -  AR (Inflation-Adjusted $)
"1995","1","296.90","508.23","302.04","517.03","558.67","611.01","226.16","387.14"
"1995","2","296.80","503.61","284.75","483.16","601.49","624.34","222.99","378.37"
"1995","3","287.51","485.72","264.79","447.34","529.78","541.01","222.85","376.49"
"1995","4","287.78","483.85","263.42","442.91","0.00","0.00","219.04","368.29"
"1996","1","283.97","473.14","273.02","454.89","0.00","0.00","214.89","358.04"
"1996","2","275.78","454.99","241.35","398.18","0.00","0.00","205.17","338.49"
"1996","3","269.49","442.26","231.89","380.56","0.00","0.00","198.11","325.11"
"1996","4","278.33","453.50","231.35","376.96","0.00","0.00","202.90","330.59"
"1997","1","283.40","458.68","253.57","410.39","0.00","0.00","215.83","349.32"
"1997","2","289.44","466.59","253.36","408.44","0.00","0.00","208.80","336.60"
"1997","3","282.27","453.25","252.62","405.63","0.00","0.00","207.26","332.81"
"1997","4","293.51","469.45","266.79","426.71","0.00","0.00","211.07","337.59"
"1998","1","304.74","486.11","284.64","454.05","0.00","0.00","221.61","353.51"
"1998","2","300.97","477.54","270.15","428.63","0.00","0.00","217.14","344.53"
"1998","3","315.25","498.25","306.58","484.55","0.00","0.00","276.13","436.43"
"1998","4","316.18","498.00","305.63","481.38","0.00","0.00","280.70","442.11"
"1999","1","331.74","520.50","320.71","503.19","0.00","0.00","286.32","449.23"
"1999","2","329.34","511.75","304.36","472.94","0.00","0.00","285.39","443.47"
"1999","3","317.22","489.88","301.17","465.09","0.00","0.00","282.96","436.97"
"1999","4","317.93","487.96","293.38","450.28","0.00","0.00","280.30","430.20"
"2000","1","340.23","517.05","314.39","477.79","0.00","0.00","292.49","444.51"
"2000","2","339.16","510.04","315.01","473.71","0.00","0.00","302.27","454.56"
"2000","3","336.66","502.28","312.42","466.11","0.00","0.00","300.19","447.86"
"2000","4","340.08","504.65","306.43","454.72","0.00","0.00","297.60","441.62"
