Average Domestic Air Fares  

Year,Quarter,U.S. Average (Current $),U.S. Average (Inflation-Adjusted $),Baltimore -  MD (Current $),Baltimore -  MD (Inflation-Adjusted $),New Orleans -  LA (Current $),New Orleans -  LA (Inflation-Adjusted $),Portland -  ME (Current $),Portland -  ME (Inflation-Adjusted $)
"1995","1","296.90","508.23","283.46","485.23","201.57","345.04","403.83","691.27"
"1995","2","296.80","503.61","277.21","470.37","214.23","363.51","419.54","711.88"
"1995","3","287.51","485.72","272.09","459.67","206.96","349.64","442.57","747.68"
"1995","4","287.78","483.85","280.95","472.38","220.47","370.69","415.21","698.10"
"1996","1","283.97","473.14","286.74","477.75","205.21","341.91","366.26","610.25"
"1996","2","275.78","454.99","265.09","437.36","187.63","309.56","399.48","659.07"
"1996","3","269.49","442.26","251.50","412.73","185.54","304.48","433.45","711.34"
"1996","4","278.33","453.50","249.07","405.82","183.34","298.73","425.04","692.55"
"1997","1","283.40","458.68","252.31","408.35","189.15","306.13","414.72","671.22"
"1997","2","289.44","466.59","252.91","407.72","193.21","311.47","402.86","649.44"
"1997","3","282.27","453.25","245.27","393.83","193.69","311.01","422.68","678.71"
"1997","4","293.51","469.45","248.51","397.47","194.86","311.67","416.50","666.17"
"1998","1","304.74","486.11","261.80","417.60","191.35","305.23","417.13","665.39"
"1998","2","300.97","477.54","246.01","390.33","195.93","310.87","419.35","665.36"
"1998","3","315.25","498.25","277.25","438.19","250.46","395.86","434.03","685.99"
"1998","4","316.18","498.00","277.55","437.16","258.06","406.46","399.21","628.78"
"1999","1","331.74","520.50","286.69","449.81","272.40","427.39","408.67","641.20"
"1999","2","329.34","511.75","280.15","435.32","263.98","410.19","414.14","643.53"
"1999","3","317.22","489.88","273.77","422.78","258.02","398.46","457.15","705.97"
"1999","4","317.93","487.96","267.76","410.96","261.35","401.12","420.77","645.79"
"2000","1","340.23","517.05","287.02","436.19","278.67","423.50","439.65","668.15"
"2000","2","339.16","510.04","283.80","426.78","270.95","407.45","449.76","676.36"
"2000","3","336.66","502.28","279.27","416.66","260.41","388.51","476.09","710.30"
"2000","4","340.08","504.65","277.37","411.60","270.70","401.71","437.47","649.18"
"2001","1","347.69","511.05","283.38","416.53","273.67","402.25","456.95","671.66"
"2001","2","328.67","478.11","270.77","393.89","265.29","385.91","426.16","619.92"
"2001","3","303.02","440.22","249.74","362.82","241.98","351.54","431.64","627.07"
"2001","4","299.81","436.78","249.98","364.19","241.41","351.70","393.85","573.78"
"2002","1","320.02","464.57","264.33","383.72","270.13","392.14","403.84","586.25"
"2002","2","317.93","456.57","268.38","385.42","271.47","389.86","396.63","569.60"
"2002","3","303.30","433.71","251.99","360.34","255.99","366.07","435.02","622.07"
"2002","4","308.85","440.27","264.78","377.45","264.41","376.92","394.00","561.65"
"2003","1","319.19","450.44","268.02","378.24","274.26","387.05","397.12","560.42"
"2003","2","314.52","442.25","263.04","369.86","265.43","373.23","414.06","582.21"
"2003","3","312.39","437.11","256.61","359.05","259.57","363.21","430.01","601.69"
"2003","4","315.77","441.76","269.22","376.63","269.08","376.44","403.86","565.00"
"2004","1","320.23","444.00","274.26","380.26","274.81","381.02","409.77","568.13"
"2004","2","309.45","422.99","256.83","351.06","273.71","374.14","414.93","567.18"
"2004","3","296.54","403.92","247.42","337.01","260.69","355.09","379.22","516.54"
"2004","4","297.28","402.52","252.48","341.86","263.90","357.32","351.49","475.92"
"2005","1","301.39","405.53","258.59","347.94","271.85","365.78","330.23","444.34"
"2005","2","306.68","407.21","258.06","342.65","269.34","357.63","349.71","464.34"
"2005","3","305.91","401.30","246.77","323.72","262.57","344.44","368.06","482.83"
"2005","4","314.76","410.83","261.73","341.60","315.29","411.52","397.89","519.32"
"2006","1","323.34","419.75","265.92","345.21","290.16","376.69","432.60","561.60"
"2006","2","341.58","436.06","281.43","359.27","313.09","399.69","421.26","537.78"
"2006","3","330.12","419.08","267.01","338.96","292.15","370.88","397.37","504.45"
"2006","4","318.16","407.37","261.19","334.43","288.93","369.94","363.55","465.48"
"2007","1","317.84","402.74","260.24","329.75","301.57","382.11","359.78","455.87"
"2007","2","325.39","404.66","265.23","329.84","309.11","384.41","373.69","464.73"
"2007","3","327.56","406.24","265.62","329.43","297.45","368.89","374.52","464.48"
"2007","4","329.77","406.10","274.45","337.97","304.07","374.45","362.26","446.10"
"2008","1","333.29","405.82","281.02","342.17","304.23","370.43","354.40","431.52"
"2008","2","346.99","413.43","289.90","345.40","310.28","369.69","386.52","460.51"
"2008","3","358.93","422.73","301.07","354.58","310.49","365.68","385.01","453.45"
"2008","4","345.42","418.66","293.36","355.56","293.27","355.45","351.69","426.26"
"2009","1","313.82","382.26","263.59","321.08","280.46","341.63","324.93","395.79"
"2009","2","301.82","363.79","254.22","306.41","278.53","335.71","321.62","387.65"
"2009","3","306.95","367.48","249.62","298.84","279.29","334.37","311.79","373.27"
"2009","4","319.85","382.15","268.74","321.09","296.97","354.81","312.98","373.94"
"2010","1","328.12","390.46","277.35","330.04","310.58","369.59","331.33","394.28"
"2010","2","340.72","403.54","289.25","342.58","319.28","378.15","353.42","418.59"
"2010","3","339.71","401.97","285.39","337.69","303.46","359.08","365.65","432.67"
"2010","4","334.78","394.97","284.49","335.64","300.89","354.99","342.58","404.18"
"2011","1","355.72","414.44","304.15","354.35","325.32","379.02","361.92","421.65"
"2011","2","369.68","423.32","334.31","382.81","343.73","393.60","384.76","440.59"
"2011","3","360.74","411.40","313.93","358.01","327.32","373.29","376.16","428.99"
"2011","4","368.39","420.76","321.95","367.72","343.14","391.93","363.21","414.85"
"2012","1","372.83","420.37","330.25","372.36","359.63","405.49","396.44","447.00"
"2012","2","384.67","432.93","335.29","377.36","370.35","416.82","416.01","468.20"
"2012","3","366.97","410.21","316.05","353.29","349.35","390.51","405.34","453.10"
