Average Domestic Air Fares  

Year,Quarter,U.S. Average (Current $),U.S. Average (Inflation-Adjusted $),Chicago O'Hare -  IL (Current $),Chicago O'Hare -  IL (Inflation-Adjusted $),Des Moines -  IA (Current $),Des Moines -  IA (Inflation-Adjusted $),Indianapolis -  IN (Current $),Indianapolis -  IN (Inflation-Adjusted $)
"1995","1","296.90","508.23","340.25","582.44","397.93","681.18","267.80","458.42"
"1995","2","296.80","503.61","346.03","587.15","387.25","657.09","275.62","467.67"
"1995","3","287.51","485.72","353.43","597.09","345.00","582.85","268.30","453.27"
"1995","4","287.78","483.85","351.12","590.35","327.52","550.68","262.98","442.16"
"1996","1","283.97","473.14","339.02","564.87","312.37","520.46","250.03","416.59"
"1996","2","275.78","454.99","337.89","557.46","312.41","515.43","252.27","416.20"
"1996","3","269.49","442.26","345.08","566.30","325.39","533.99","246.80","405.03"
"1996","4","278.33","453.50","350.57","571.20","331.80","540.63","250.43","408.04"
"1997","1","283.40","458.68","351.91","569.56","348.45","563.96","254.62","412.09"
"1997","2","289.44","466.59","371.70","599.20","355.26","572.70","263.81","425.28"
"1997","3","282.27","453.25","372.26","597.74","379.16","608.83","260.87","418.89"
"1997","4","293.51","469.45","376.60","602.35","404.19","646.48","272.51","435.85"
"1998","1","304.74","486.11","391.64","624.72","409.64","653.44","276.13","440.48"
"1998","2","300.97","477.54","379.03","601.39","401.83","637.57","277.08","439.64"
"1998","3","315.25","498.25","378.04","597.49","395.81","625.59","291.36","460.50"
"1998","4","316.18","498.00","372.94","587.40","377.09","593.94","288.15","453.85"
"1999","1","331.74","520.50","404.59","634.80","396.91","622.74","294.31","461.76"
"1999","2","329.34","511.75","411.16","638.90","406.01","630.88","299.42","465.26"
"1999","3","317.22","489.88","384.02","593.03","406.43","627.64","291.42","450.03"
"1999","4","317.93","487.96","373.79","573.69","404.24","620.42","295.44","453.44"
"2000","1","340.23","517.05","409.28","622.00","408.05","620.13","304.21","462.31"
"2000","2","339.16","510.04","406.74","611.66","431.55","648.97","309.52","465.46"
"2000","3","336.66","502.28","415.57","620.00","434.64","648.46","315.17","470.22"
"2000","4","340.08","504.65","405.81","602.20","395.46","586.84","309.22","458.87"
"2001","1","347.69","511.05","410.59","603.51","413.32","607.52","313.50","460.81"
"2001","2","328.67","478.11","388.41","565.01","397.46","578.18","304.53","443.00"
"2001","3","303.02","440.22","351.74","511.00","377.21","548.01","282.48","410.38"
"2001","4","299.81","436.78","336.71","490.54","351.39","511.92","268.32","390.91"
"2002","1","320.02","464.57","357.73","519.31","354.22","514.22","288.49","418.80"
"2002","2","317.93","456.57","345.36","495.96","353.31","507.38","295.46","424.30"
"2002","3","303.30","433.71","322.71","461.46","339.93","486.09","280.45","401.04"
"2002","4","308.85","440.27","328.58","468.39","330.05","470.48","280.57","399.96"
"2003","1","319.19","450.44","325.41","459.23","338.74","478.04","279.76","394.80"
"2003","2","314.52","442.25","331.05","465.49","331.42","466.01","275.35","387.17"
"2003","3","312.39","437.11","353.47","494.59","333.59","466.78","282.63","395.47"
"2003","4","315.77","441.76","351.83","492.20","342.68","479.40","291.19","407.37"
"2004","1","320.23","444.00","343.26","475.93","350.87","486.48","291.32","403.90"
"2004","2","309.45","422.99","324.37","443.38","343.52","469.56","287.92","393.56"
"2004","3","296.54","403.92","310.03","422.29","335.43","456.88","269.69","367.35"
"2004","4","297.28","402.52","306.83","415.44","337.37","456.80","259.64","351.55"
"2005","1","301.39","405.53","309.81","416.87","362.14","487.28","262.39","353.05"
"2005","2","306.68","407.21","310.97","412.90","381.02","505.91","278.14","369.31"
"2005","3","305.91","401.30","314.98","413.20","393.40","516.07","279.57","366.74"
"2005","4","314.76","410.83","318.70","415.97","396.24","517.16","287.60","375.37"
"2006","1","323.34","419.75","332.45","431.58","403.52","523.85","300.72","390.39"
"2006","2","341.58","436.06","342.94","437.79","415.30","530.17","317.23","404.98"
"2006","3","330.12","419.08","333.84","423.80","402.39","510.83","314.94","399.81"
"2006","4","318.16","407.37","314.00","402.04","382.80","490.14","300.47","384.73"
"2007","1","317.84","402.74","310.97","394.02","393.21","498.24","299.01","378.87"
"2007","2","325.39","404.66","324.45","403.49","396.45","493.04","305.90","380.42"
"2007","3","327.56","406.24","335.47","416.06","400.31","496.46","306.28","379.85"
"2007","4","329.77","406.10","334.32","411.70","389.49","479.63","309.70","381.38"
"2008","1","333.29","405.82","344.80","419.83","414.64","504.87","308.56","375.70"
"2008","2","346.99","413.43","359.17","427.93","428.45","510.48","313.89","373.99"
"2008","3","358.93","422.73","380.21","447.79","460.23","542.04","319.23","375.98"
"2008","4","345.42","418.66","363.64","440.74","421.72","511.14","314.42","381.08"
"2009","1","313.82","382.26","334.60","407.58","404.29","492.46","278.27","338.96"
"2009","2","301.82","363.79","316.39","381.35","355.63","428.64","278.76","336.00"
"2009","3","306.95","367.48","326.79","391.23","378.21","452.79","281.72","337.27"
"2009","4","319.85","382.15","338.23","404.11","390.46","466.51","294.83","352.26"
"2010","1","328.12","390.46","348.02","414.14","387.79","461.48","298.86","355.65"
"2010","2","340.72","403.54","356.07","421.72","396.53","469.64","316.68","375.07"
"2010","3","339.71","401.97","361.21","427.42","393.18","465.24","313.67","371.15"
"2010","4","334.78","394.97","357.13","421.34","387.51","457.18","307.93","363.30"
"2011","1","355.72","414.44","388.97","453.17","412.55","480.65","332.50","387.38"
"2011","2","369.68","423.32","382.13","437.58","428.18","490.31","367.63","420.98"
"2011","3","360.74","411.40","370.96","423.05","408.89","466.31","357.39","407.58"
"2011","4","368.39","420.76","373.97","427.14","422.05","482.05","370.56","423.24"
"2012","1","372.83","420.37","379.10","427.45","434.00","489.35","386.66","435.97"
"2012","2","384.67","432.93","392.22","441.42","424.68","477.96","390.58","439.58"
"2012","3","366.97","410.21","379.15","423.82","407.83","455.88","375.57","419.82"
