Average Domestic Air Fares  

Year,Quarter,U.S. Average (Current $),U.S. Average (Inflation-Adjusted $),Detroit -  MI (Current $),Detroit -  MI (Inflation-Adjusted $),Flint -  MI (Current $),Flint -  MI (Inflation-Adjusted $),Minneapolis/St  Paul -  MN (Current $),Minneapolis/St  Paul -  MN (Inflation-Adjusted $)
"1995","1","296.90","508.23","318.56","545.32","385.00","421.06","426.04","729.29"
"1995","2","296.80","503.61","313.37","531.74","0.00","0.00","445.46","755.86"
"1995","3","287.51","485.72","315.24","532.57","0.00","0.00","427.74","722.62"
"1995","4","287.78","483.85","308.41","518.55","0.00","0.00","397.28","667.97"
"1996","1","283.97","473.14","304.03","506.55","0.00","0.00","416.42","693.82"
"1996","2","275.78","454.99","296.09","488.50","0.00","0.00","428.33","706.68"
"1996","3","269.49","442.26","295.88","485.57","0.00","0.00","420.27","689.71"
"1996","4","278.33","453.50","318.50","518.95","0.00","0.00","416.38","678.43"
"1997","1","283.40","458.68","329.49","533.27","0.00","0.00","396.27","641.35"
"1997","2","289.44","466.59","315.52","508.64","0.00","0.00","425.16","685.39"
"1997","3","282.27","453.25","298.62","479.50","0.00","0.00","437.33","702.23"
"1997","4","293.51","469.45","305.73","488.99","0.00","0.00","444.11","710.32"
"1998","1","304.74","486.11","318.37","507.85","0.00","0.00","456.33","727.92"
"1998","2","300.97","477.54","301.26","477.99","0.00","0.00","450.15","714.24"
"1998","3","315.25","498.25","309.32","488.89","0.00","0.00","443.14","700.39"
"1998","4","316.18","498.00","301.64","475.09","0.00","0.00","420.79","662.76"
"1999","1","331.74","520.50","320.25","502.47","0.00","0.00","437.42","686.30"
"1999","2","329.34","511.75","321.39","499.40","0.00","0.00","451.11","700.96"
"1999","3","317.22","489.88","302.13","466.57","0.00","0.00","397.97","614.58"
"1999","4","317.93","487.96","304.58","467.47","0.00","0.00","385.18","591.17"
"2000","1","340.23","517.05","322.21","489.68","0.00","0.00","393.63","598.22"
"2000","2","339.16","510.04","328.98","494.73","0.00","0.00","396.08","595.63"
"2000","3","336.66","502.28","332.27","495.73","0.00","0.00","378.57","564.81"
"2000","4","340.08","504.65","342.23","507.85","0.00","0.00","391.32","580.69"
"2001","1","347.69","511.05","350.41","515.05","0.00","0.00","402.17","591.14"
"2001","2","328.67","478.11","340.04","494.65","0.00","0.00","393.55","572.48"
"2001","3","303.02","440.22","321.32","466.81","0.00","0.00","362.91","527.22"
"2001","4","299.81","436.78","316.91","461.70","0.00","0.00","365.95","533.14"
"2002","1","320.02","464.57","331.64","481.43","0.00","0.00","402.49","584.28"
"2002","2","317.93","456.57","335.58","481.93","0.00","0.00","406.26","583.43"
"2002","3","303.30","433.71","317.53","454.06","0.00","0.00","401.56","574.22"
"2002","4","308.85","440.27","324.94","463.21","0.00","0.00","396.11","564.66"
"2003","1","319.19","450.44","341.58","482.05","0.00","0.00","393.30","555.04"
"2003","2","314.52","442.25","345.60","485.95","0.00","0.00","407.62","573.15"
"2003","3","312.39","437.11","339.98","475.72","0.00","0.00","408.11","571.04"
"2003","4","315.77","441.76","335.93","469.96","0.00","0.00","388.10","542.94"
"2004","1","320.23","444.00","338.60","469.46","0.00","0.00","384.93","533.70"
"2004","2","309.45","422.99","324.36","443.37","0.00","0.00","384.37","525.40"
"2004","3","296.54","403.92","301.35","410.47","0.00","0.00","374.41","509.98"
"2004","4","297.28","402.52","301.47","408.19","0.00","0.00","369.54","500.36"
"2005","1","301.39","405.53","311.25","418.80","0.00","0.00","353.04","475.03"
"2005","2","306.68","407.21","311.19","413.19","0.00","0.00","348.01","462.08"
"2005","3","305.91","401.30","315.52","413.91","0.00","0.00","342.72","449.59"
"2005","4","314.76","410.83","328.17","428.32","0.00","0.00","353.66","461.59"
"2006","1","323.34","419.75","335.72","435.82","0.00","0.00","375.92","488.02"
"2006","2","341.58","436.06","335.96","428.88","0.00","0.00","379.66","484.67"
"2006","3","330.12","419.08","316.83","402.21","0.00","0.00","381.19","483.92"
"2006","4","318.16","407.37","302.29","387.05","0.00","0.00","361.01","462.23"
"2007","1","317.84","402.74","299.05","378.93","0.00","0.00","363.17","460.18"
"2007","2","325.39","404.66","308.02","383.06","0.00","0.00","360.79","448.69"
"2007","3","327.56","406.24","307.86","381.81","0.00","0.00","372.43","461.89"
"2007","4","329.77","406.10","314.94","387.84","0.00","0.00","362.85","446.83"
"2008","1","333.29","405.82","319.47","388.99","0.00","0.00","381.14","464.08"
"2008","2","346.99","413.43","333.86","397.78","0.00","0.00","424.30","505.53"
"2008","3","358.93","422.73","353.49","416.33","0.00","0.00","473.30","557.43"
"2008","4","345.42","418.66","334.11","404.95","0.00","0.00","435.62","527.99"
"2009","1","313.82","382.26","300.66","366.23","0.00","0.00","377.29","459.57"
