Average Domestic Air Fares  

Year,Quarter,U.S. Average (Current $),U.S. Average (Inflation-Adjusted $),Albuquerque -  NM (Current $),Albuquerque -  NM (Inflation-Adjusted $),Greensboro/High Point -  NC (Current $),Greensboro/High Point -  NC (Inflation-Adjusted $),Raleigh/Durham -  NC (Current $),Raleigh/Durham -  NC (Inflation-Adjusted $)
"1995","1","296.90","508.23","173.96","297.79","347.03","594.05","373.95","640.13"
"1995","2","296.80","503.61","187.88","318.79","381.98","648.15","351.18","595.89"
"1995","3","287.51","485.72","174.36","294.57","382.44","646.09","340.59","575.39"
"1995","4","287.78","483.85","183.88","309.17","361.12","607.17","337.70","567.79"
"1996","1","283.97","473.14","165.83","276.30","381.52","635.67","328.71","547.68"
"1996","2","275.78","454.99","166.45","274.61","377.73","623.19","332.34","548.30"
"1996","3","269.49","442.26","159.80","262.25","399.23","655.17","349.15","572.98"
"1996","4","278.33","453.50","159.13","259.29","406.05","661.60","348.52","567.86"
"1997","1","283.40","458.68","166.52","269.50","430.85","697.31","368.25","596.00"
"1997","2","289.44","466.59","179.22","288.92","406.02","654.53","371.70","599.21"
"1997","3","282.27","453.25","171.32","275.09","406.29","652.39","363.12","583.07"
"1997","4","293.51","469.45","174.74","279.48","409.92","655.63","371.21","593.73"
"1998","1","304.74","486.11","168.92","269.46","424.37","676.93","400.98","639.62"
"1998","2","300.97","477.54","191.46","303.78","350.55","556.20","384.51","610.09"
"1998","3","315.25","498.25","260.59","411.87","339.49","536.57","369.78","584.45"
"1998","4","316.18","498.00","264.78","417.04","352.40","555.05","360.56","567.89"
"1999","1","331.74","520.50","262.79","412.31","389.16","610.59","394.56","619.06"
"1999","2","329.34","511.75","266.25","413.71","382.22","593.92","341.88","531.24"
"1999","3","317.22","489.88","267.04","412.38","363.90","561.96","292.54","451.76"
"1999","4","317.93","487.96","260.63","400.01","355.79","546.06","282.90","434.19"
"2000","1","340.23","517.05","262.65","399.16","396.37","602.37","312.10","474.31"
"2000","2","339.16","510.04","274.50","412.79","372.14","559.63","303.58","456.52"
"2000","3","336.66","502.28","281.82","420.46","352.91","526.52","304.18","453.82"
"2000","4","340.08","504.65","270.28","401.08","348.21","516.72","299.88","445.00"
"2001","1","347.69","511.05","267.92","393.81","363.75","534.67","315.46","463.69"
"2001","2","328.67","478.11","267.79","389.55","347.40","505.35","283.93","413.03"
"2001","3","303.02","440.22","254.31","369.45","317.68","461.51","254.72","370.05"
"2001","4","299.81","436.78","240.74","350.73","313.96","457.40","257.64","375.35"
"2002","1","320.02","464.57","261.32","379.35","332.83","483.17","251.78","365.51"
"2002","2","317.93","456.57","290.31","416.90","323.24","464.20","259.72","372.99"
"2002","3","303.30","433.71","276.04","394.73","310.36","443.81","267.79","382.94"
"2002","4","308.85","440.27","278.51","397.02","312.65","445.68","280.75","400.21"
"2003","1","319.19","450.44","269.10","379.76","333.07","470.04","298.96","421.90"
"2003","2","314.52","442.25","276.17","388.32","329.75","463.66","296.83","417.38"
"2003","3","312.39","437.11","281.28","393.57","319.92","447.65","290.95","407.12"
"2003","4","315.77","441.76","286.18","400.36","322.89","451.72","296.68","415.05"
"2004","1","320.23","444.00","278.36","385.95","352.54","488.78","302.27","419.09"
"2004","2","309.45","422.99","282.02","385.50","342.23","467.79","294.42","402.45"
"2004","3","296.54","403.92","276.52","376.65","321.52","437.95","261.53","356.24"
"2004","4","297.28","402.52","284.06","384.61","316.80","428.94","264.05","357.53"
"2005","1","301.39","405.53","283.15","380.99","319.15","429.43","271.32","365.08"
"2005","2","306.68","407.21","292.97","389.00","339.10","450.26","280.23","372.09"
"2005","3","305.91","401.30","290.11","380.58","337.97","443.35","272.14","357.01"
"2005","4","314.76","410.83","295.62","385.84","366.26","478.04","290.30","378.90"
"2006","1","323.34","419.75","292.98","380.35","400.68","520.16","313.49","406.97"
"2006","2","341.58","436.06","322.21","411.33","426.80","544.85","343.88","439.00"
"2006","3","330.12","419.08","321.16","407.70","411.95","522.96","308.84","392.06"
"2006","4","318.16","407.37","311.29","398.57","386.44","494.79","293.01","375.16"
"2007","1","317.84","402.74","295.87","374.90","399.50","506.20","295.58","374.53"
"2007","2","325.39","404.66","313.07","389.34","387.35","481.72","309.12","384.44"
"2007","3","327.56","406.24","318.03","394.42","377.41","468.06","300.12","372.21"
"2007","4","329.77","406.10","313.04","385.50","389.24","479.32","305.05","375.66"
"2008","1","333.29","405.82","298.33","363.25","387.67","472.03","301.94","367.64"
"2008","2","346.99","413.43","318.11","379.01","392.68","467.86","316.75","377.39"
"2008","3","358.93","422.73","337.46","397.44","383.53","451.70","320.10","377.00"
"2008","4","345.42","418.66","331.40","401.66","371.99","450.87","308.78","374.25"
"2009","1","313.82","382.26","293.65","357.70","341.40","415.86","271.04","330.15"
"2009","2","301.82","363.79","288.72","348.00","332.71","401.02","272.49","328.44"
"2009","3","306.95","367.48","293.36","351.20","346.61","414.96","277.02","331.64"
"2009","4","319.85","382.15","303.06","362.09","363.98","434.87","287.13","343.05"
"2010","1","328.12","390.46","305.92","364.05","378.72","450.67","293.14","348.84"
"2010","2","340.72","403.54","323.00","382.56","401.36","475.36","314.33","372.28"
"2010","3","339.71","401.97","334.62","395.95","362.72","429.20","306.09","362.18"
"2010","4","334.78","394.97","321.75","379.59","346.83","409.19","305.55","360.48"
"2011","1","355.72","414.44","336.38","391.91","371.62","432.96","325.29","378.98"
"2011","2","369.68","423.32","352.35","403.48","390.39","447.04","344.58","394.57"
"2011","3","360.74","411.40","345.38","393.89","382.59","436.32","335.46","382.57"
"2011","4","368.39","420.76","349.11","398.75","401.24","458.29","346.69","395.98"
"2012","1","372.83","420.37","343.38","387.17","394.38","444.67","359.07","404.85"
"2012","2","384.67","432.93","369.03","415.33","430.30","484.29","371.81","418.46"
"2012","3","366.97","410.21","351.87","393.33","426.18","476.40","343.48","383.95"
