Average Domestic Air Fares  

Year,Quarter,U.S. Average (Current $),U.S. Average (Inflation-Adjusted $),Akron -  OH (Current $),Akron -  OH (Inflation-Adjusted $),Cleveland -  OH (Current $),Cleveland -  OH (Inflation-Adjusted $),Fargo -  ND (Current $),Fargo -  ND (Inflation-Adjusted $)
"2018","1","346.49","359.65","339.42","581.02","297.04","508.47","505.88","525.09"
"2020","1","336.13","336.13","376.43","638.72","298.52","506.54","403.40","403.40"
"1995","3","287.51","485.72","388.99","657.16","293.22","495.37","0.00","0.00"
"1995","4","287.78","483.85","367.07","617.18","299.65","503.82","0.00","0.00"
"1996","1","283.97","473.14","347.14","578.38","294.53","490.73","0.00","0.00"
"1996","2","275.78","454.99","343.65","566.97","287.40","474.16","0.00","0.00"
"1996","3","269.49","442.26","344.34","565.10","285.50","468.54","0.00","0.00"
"1996","4","278.33","453.50","349.05","568.72","307.22","500.57","0.00","0.00"
"1997","1","283.40","458.68","322.69","522.27","297.17","480.96","0.00","0.00"
"1997","2","289.44","466.59","261.12","420.94","299.54","482.88","0.00","0.00"
"1997","3","282.27","453.25","252.79","405.91","285.95","459.15","0.00","0.00"
"1997","4","293.51","469.45","277.04","443.11","295.29","472.30","0.00","0.00"
"1998","1","304.74","486.11","292.52","466.62","296.29","472.63","0.00","0.00"
"1998","2","300.97","477.54","274.69","435.84","288.99","458.53","0.00","0.00"
"1998","3","315.25","498.25","273.47","432.22","302.09","477.45","0.00","0.00"
"1998","4","316.18","498.00","276.59","435.64","308.16","485.36","0.00","0.00"
"1999","1","331.74","520.50","285.00","447.16","328.50","515.40","0.00","0.00"
"1999","2","329.34","511.75","278.88","433.34","330.69","513.85","0.00","0.00"
"1999","3","317.22","489.88","264.59","408.60","325.75","503.05","0.00","0.00"
"1999","4","317.93","487.96","273.48","419.73","319.76","490.77","0.00","0.00"
"2000","1","340.23","517.05","290.91","442.11","344.07","522.90","0.00","0.00"
"2000","2","339.16","510.04","276.29","415.49","340.95","512.72","0.00","0.00"
"2000","3","336.66","502.28","275.68","411.30","341.49","509.49","0.00","0.00"
"2000","4","340.08","504.65","290.54","431.14","349.10","518.05","0.00","0.00"
"2001","1","347.69","511.05","291.09","427.86","351.41","516.53","0.00","0.00"
"2001","2","328.67","478.11","287.21","417.80","333.74","485.48","0.00","0.00"
"2001","3","303.02","440.22","262.65","381.58","319.81","464.61","0.00","0.00"
"2001","4","299.81","436.78","256.80","374.12","307.81","448.43","0.00","0.00"
"2002","1","320.02","464.57","267.94","388.97","324.82","471.53","0.00","0.00"
"2002","2","317.93","456.57","256.67","368.60","340.99","489.69","0.00","0.00"
"2002","3","303.30","433.71","262.31","375.10","327.23","467.93","0.00","0.00"
"2002","4","308.85","440.27","266.81","380.34","327.73","467.18","0.00","0.00"
"2003","1","319.19","450.44","268.34","378.69","343.90","485.32","0.00","0.00"
"2003","2","314.52","442.25","259.38","364.71","335.79","472.16","0.00","0.00"
"2003","3","312.39","437.11","258.11","361.15","342.39","479.09","0.00","0.00"
"2003","4","315.77","441.76","259.78","363.44","338.24","473.19","0.00","0.00"
"2004","1","320.23","444.00","268.11","371.74","341.86","473.98","0.00","0.00"
"2004","2","309.45","422.99","255.44","349.16","328.42","448.92","0.00","0.00"
"2004","3","296.54","403.92","242.74","330.63","315.88","430.26","0.00","0.00"
"2004","4","297.28","402.52","245.32","332.17","313.53","424.52","0.00","0.00"
"2005","1","301.39","405.53","257.69","346.73","317.36","427.03","0.00","0.00"
"2005","2","306.68","407.21","269.20","357.44","306.34","406.75","0.00","0.00"
"2005","3","305.91","401.30","263.11","345.15","294.33","386.10","0.00","0.00"
"2005","4","314.76","410.83","268.41","350.32","301.24","393.18","0.00","0.00"
"2006","1","323.34","419.75","273.15","354.60","312.77","406.04","0.00","0.00"
"2006","2","341.58","436.06","285.19","364.08","331.36","423.01","0.00","0.00"
"2006","3","330.12","419.08","273.73","347.49","328.76","417.36","0.00","0.00"
"2006","4","318.16","407.37","262.73","336.39","318.31","407.57","0.00","0.00"
"2007","1","317.84","402.74","270.13","342.28","331.18","419.63","0.00","0.00"
"2007","2","325.39","404.66","279.90","348.09","334.70","416.24","0.00","0.00"
"2007","3","327.56","406.24","277.17","343.75","337.32","418.34","0.00","0.00"
"2007","4","329.77","406.10","271.81","334.72","343.41","422.90","0.00","0.00"
"2008","1","333.29","405.82","285.53","347.66","345.03","420.12","0.00","0.00"
"2008","2","346.99","413.43","291.62","347.45","364.72","434.54","0.00","0.00"
"2008","3","358.93","422.73","289.80","341.31","398.02","468.77","0.00","0.00"
"2008","4","345.42","418.66","284.86","345.26","378.38","458.61","0.00","0.00"
"2009","1","313.82","382.26","256.40","312.32","335.33","408.46","0.00","0.00"
"2009","2","301.82","363.79","257.50","310.37","324.82","391.51","0.00","0.00"
"2009","3","306.95","367.48","241.40","289.01","336.00","402.25","0.00","0.00"
"2009","4","319.85","382.15","270.00","322.60","352.12","420.71","0.00","0.00"
"2010","1","328.12","390.46","269.48","320.69","370.65","441.08","0.00","0.00"
"2010","2","340.72","403.54","286.19","338.95","389.58","461.41","0.00","0.00"
"2010","3","339.71","401.97","283.51","335.47","389.56","460.96","0.00","0.00"
"2010","4","334.78","394.97","279.12","329.30","372.96","440.02","0.00","0.00"
"2011","1","355.72","414.44","297.66","346.79","407.59","474.86","0.00","0.00"
"2011","2","369.68","423.32","329.67","377.50","428.26","490.40","0.00","0.00"
"2011","3","360.74","411.40","306.04","349.02","423.50","482.97","0.00","0.00"
"2011","4","368.39","420.76","307.16","350.83","431.43","492.76","0.00","0.00"
"2012","1","372.83","420.37","321.31","362.28","449.94","507.32","0.00","0.00"
"2012","2","384.67","432.93","326.41","367.36","454.88","511.95","0.00","0.00"
"2012","3","366.97","410.21","311.00","347.64","443.22","495.44","0.00","0.00"
