Average Domestic Air Fares  

Year,Quarter,U.S. Average (Current $),U.S. Average (Inflation-Adjusted $),Oklahoma City -  OK (Current $),Oklahoma City -  OK (Inflation-Adjusted $),Portland -  OR (Current $),Portland -  OR (Inflation-Adjusted $),Tulsa -  OK (Current $),Tulsa -  OK (Inflation-Adjusted $)
"1995","1","296.90","508.23","220.27","377.05","275.78","472.08","214.82","367.72"
"1995","2","296.80","503.61","223.78","379.72","282.28","478.97","221.47","375.80"
"1995","3","287.51","485.72","219.46","370.77","266.82","450.77","222.22","375.41"
"1995","4","287.78","483.85","210.66","354.19","245.58","412.91","217.96","366.46"
"1996","1","283.97","473.14","194.82","324.60","237.96","396.47","204.60","340.90"
"1996","2","275.78","454.99","196.90","324.85","238.30","393.15","199.01","328.33"
"1996","3","269.49","442.26","194.60","319.35","224.32","368.13","191.02","313.48"
"1996","4","278.33","453.50","195.47","318.49","242.81","395.63","192.04","312.90"
"1997","1","283.40","458.68","200.31","324.20","240.32","388.96","200.10","323.85"
"1997","2","289.44","466.59","215.81","347.90","264.31","426.10","221.84","357.63"
"1997","3","282.27","453.25","212.82","341.73","255.81","410.76","214.06","343.72"
"1997","4","293.51","469.45","212.03","339.12","262.94","420.56","216.08","345.61"
"1998","1","304.74","486.11","213.86","341.13","276.97","441.81","228.33","364.21"
"1998","2","300.97","477.54","225.28","357.44","276.53","438.76","228.41","362.40"
"1998","3","315.25","498.25","278.35","439.94","285.34","450.98","280.84","443.87"
"1998","4","316.18","498.00","277.81","437.56","287.96","453.55","278.44","438.55"
"1999","1","331.74","520.50","286.30","449.20","293.06","459.81","286.84","450.05"
"1999","2","329.34","511.75","291.84","453.49","294.65","457.85","288.56","448.38"
"1999","3","317.22","489.88","288.08","444.88","290.99","449.37","291.29","449.83"
"1999","4","317.93","487.96","286.38","439.54","285.48","438.15","280.83","431.02"
"2000","1","340.23","517.05","295.60","449.23","292.50","444.53","292.27","444.18"
"2000","2","339.16","510.04","310.39","466.76","305.37","459.22","304.07","457.26"
"2000","3","336.66","502.28","311.35","464.51","316.59","472.33","308.10","459.66"
"2000","4","340.08","504.65","305.89","453.92","315.50","468.18","302.25","448.52"
"2001","1","347.69","511.05","307.87","452.53","311.29","457.55","303.59","446.23"
"2001","2","328.67","478.11","304.36","442.75","300.66","437.36","297.81","433.21"
"2001","3","303.02","440.22","287.33","417.42","286.66","416.45","282.20","409.97"
"2001","4","299.81","436.78","270.54","394.14","279.17","406.72","267.53","389.76"
"2002","1","320.02","464.57","297.41","431.75","295.88","429.52","293.21","425.65"
"2002","2","317.93","456.57","316.96","455.18","303.45","435.78","307.75","441.96"
"2002","3","303.30","433.71","302.35","432.35","285.54","408.32","295.52","422.59"
"2002","4","308.85","440.27","297.80","424.52","292.71","417.27","294.19","419.37"
"2003","1","319.19","450.44","296.33","418.19","301.44","425.40","300.22","423.67"
"2003","2","314.52","442.25","301.03","423.28","298.30","419.44","301.94","424.56"
