Average Domestic Air Fares  

Year,Quarter,U.S. Average (Current $),U.S. Average (Inflation-Adjusted $),Harrisburg -  PA (Current $),Harrisburg -  PA (Inflation-Adjusted $),Philadelphia -  PA (Current $),Philadelphia -  PA (Inflation-Adjusted $),Pittsburgh -  PA (Current $),Pittsburgh -  PA (Inflation-Adjusted $)
"1995","1","296.90","508.23","403.71","691.07","376.21","644.01","398.37","681.94"
"1995","2","296.80","503.61","418.30","709.78","365.15","619.60","373.34","633.48"
"1995","3","287.51","485.72","436.75","737.85","376.27","635.67","372.05","628.54"
"1995","4","287.78","483.85","432.34","726.92","378.28","636.01","378.99","637.22"
"1996","1","283.97","473.14","407.43","678.84","368.15","613.40","377.38","628.78"
"1996","2","275.78","454.99","423.87","699.32","370.57","611.37","362.73","598.44"
"1996","3","269.49","442.26","438.82","720.15","371.59","609.82","366.34","601.20"
"1996","4","278.33","453.50","441.40","719.20","374.66","610.47","374.80","610.69"
"1997","1","283.40","458.68","374.28","605.76","382.77","619.51","396.77","642.16"
"1997","2","289.44","466.59","362.27","584.01","388.67","626.56","404.15","651.51"
"1997","3","282.27","453.25","359.83","577.79","389.32","625.14","408.70","656.26"
"1997","4","293.51","469.45","376.68","602.47","416.23","665.74","419.76","671.37"
"1998","1","304.74","486.11","403.29","643.30","443.75","707.85","434.26","692.71"
"1998","2","300.97","477.54","390.34","619.33","422.37","670.15","415.00","658.47"
"1998","3","315.25","498.25","387.94","613.14","411.75","650.77","404.75","639.72"
"1998","4","316.18","498.00","374.43","589.75","408.77","643.83","405.40","638.53"
"1999","1","331.74","520.50","396.87","622.68","432.29","678.25","421.83","661.85"
"1999","2","329.34","511.75","405.25","629.72","427.74","664.65","417.80","649.21"
"1999","3","317.22","489.88","405.34","625.95","415.67","641.91","403.82","623.62"
"1999","4","317.93","487.96","407.38","625.25","413.81","635.11","413.23","634.22"
"2000","1","340.23","517.05","447.67","680.34","441.97","671.69","443.39","673.84"
"2000","2","339.16","510.04","452.80","680.93","421.74","634.22","417.99","628.58"
"2000","3","336.66","502.28","460.42","686.92","421.22","628.44","430.42","642.16"
"2000","4","340.08","504.65","453.38","672.79","414.13","614.54","421.78","625.90"
"2001","1","347.69","511.05","462.22","679.40","435.94","640.77","401.44","590.05"
"2001","2","328.67","478.11","424.11","616.95","414.65","603.19","367.13","534.06"
"2001","3","303.02","440.22","414.55","602.25","379.26","550.97","330.53","480.19"
"2001","4","299.81","436.78","399.58","582.13","366.98","534.65","336.68","490.49"
"2002","1","320.02","464.57","402.08","583.70","380.32","552.10","360.68","523.59"
"2002","2","317.93","456.57","375.87","539.78","371.45","533.43","355.82","510.98"
"2002","3","303.30","433.71","350.82","501.67","362.60","518.51","364.25","520.87"
"2002","4","308.85","440.27","349.77","498.60","363.23","517.79","356.23","507.80"
"2003","1","319.19","450.44","365.75","516.15","390.74","551.43","372.67","525.93"
"2003","2","314.52","442.25","376.47","529.36","379.49","533.60","341.29","479.89"
"2003","3","312.39","437.11","384.76","538.37","375.48","525.39","338.76","474.01"
"2003","4","315.77","441.76","378.61","529.67","370.49","518.32","349.74","489.29"
"2004","1","320.23","444.00","386.30","535.60","379.84","526.64","365.24","506.39"
"2004","2","309.45","422.99","382.02","522.19","322.07","440.24","347.38","474.84"
"2004","3","296.54","403.92","374.34","509.89","284.05","386.91","338.39","460.92"
"2004","4","297.28","402.52","370.59","501.78","285.94","387.17","335.61","454.42"
"2005","1","301.39","405.53","382.38","514.50","285.24","383.80","336.05","452.17"
"2005","2","306.68","407.21","414.20","549.97","289.64","384.58","319.92","424.79"
"2005","3","305.91","401.30","440.09","577.32","289.33","379.55","310.09","406.79"
"2005","4","314.76","410.83","444.32","579.93","307.46","401.29","317.18","413.98"
"2006","1","323.34","419.75","460.23","597.47","310.07","402.53","321.62","417.53"
"2006","2","341.58","436.06","479.33","611.90","331.74","423.50","333.91","426.26"
"2006","3","330.12","419.08","475.68","603.87","314.83","399.66","303.93","385.83"
"2006","4","318.16","407.37","450.78","577.17","302.02","386.71","281.55","360.49"
"2007","1","317.84","402.74","419.31","531.30","302.04","382.72","280.85","355.86"
"2007","2","325.39","404.66","436.45","542.78","311.70","387.63","299.09","371.95"
"2007","3","327.56","406.24","443.77","550.36","311.70","386.57","298.14","369.75"
"2007","4","329.77","406.10","432.97","533.18","327.94","403.84","301.11","370.80"
"2008","1","333.29","405.82","434.30","528.80","338.68","412.38","303.24","369.23"
"2008","2","346.99","413.43","448.37","534.21","338.09","402.82","314.10","374.24"
"2008","3","358.93","422.73","455.15","536.06","348.07","409.94","327.72","385.97"
"2008","4","345.42","418.66","420.20","509.29","339.76","411.80","308.02","373.33"
"2009","1","313.82","382.26","366.16","446.01","301.63","367.42","271.17","330.31"
