Average Domestic Air Fares  

Year,Quarter,U.S. Average (Current $),U.S. Average (Inflation-Adjusted $),Memphis -  TN (Current $),Memphis -  TN (Inflation-Adjusted $),Nashville -  TN (Current $),Nashville -  TN (Inflation-Adjusted $),Sioux Falls -  SD (Current $),Sioux Falls -  SD (Inflation-Adjusted $)
"2017","1","349.44","370.74","362.45","620.44","292.14","500.09","384.94","408.41"
"2017","3","335.83","352.98","355.97","604.02","271.76","461.13","368.36","387.17"
"2018","1","346.49","359.65","348.98","589.57","264.84","447.43","419.24","435.17"
"2019","1","350.12","357.54","331.71","557.72","242.62","407.93","412.11","420.84"
"2020","1","336.13","336.13","332.41","553.85","246.92","411.41","381.18","381.18"
"1996","2","275.78","454.99","332.39","548.38","225.26","371.64","0.00","0.00"
"1996","3","269.49","442.26","354.20","581.28","213.86","350.97","0.00","0.00"
"1996","4","278.33","453.50","352.93","575.05","216.52","352.79","0.00","0.00"
"1997","1","283.40","458.68","366.33","592.89","228.89","370.46","0.00","0.00"
"1997","2","289.44","466.59","360.95","581.88","223.80","360.79","0.00","0.00"
"1997","3","282.27","453.25","353.93","568.32","217.96","349.99","0.00","0.00"
"1997","4","293.51","469.45","370.11","591.97","220.02","351.91","0.00","0.00"
"1998","1","304.74","486.11","386.76","616.93","234.81","374.56","0.00","0.00"
"1998","2","300.97","477.54","364.12","577.74","226.38","359.18","0.00","0.00"
"1998","3","315.25","498.25","365.20","577.21","280.90","443.97","0.00","0.00"
"1998","4","316.18","498.00","348.85","549.46","285.44","449.58","0.00","0.00"
"1999","1","331.74","520.50","374.53","587.64","298.75","468.74","0.00","0.00"
"1999","2","329.34","511.75","374.53","581.97","287.93","447.40","0.00","0.00"
"1999","3","317.22","489.88","359.11","554.57","282.62","436.44","0.00","0.00"
"1999","4","317.93","487.96","353.99","543.30","273.82","420.26","0.00","0.00"
"2000","1","340.23","517.05","385.14","585.31","297.35","451.90","0.00","0.00"
"2000","2","339.16","510.04","364.45","548.06","293.07","440.72","0.00","0.00"
"2000","3","336.66","502.28","361.61","539.49","291.64","435.11","0.00","0.00"
"2000","4","340.08","504.65","376.68","558.97","294.31","436.73","0.00","0.00"
"2001","1","347.69","511.05","394.58","579.98","299.62","440.40","0.00","0.00"
"2001","2","328.67","478.11","376.42","547.57","282.17","410.47","0.00","0.00"
"2001","3","303.02","440.22","352.32","511.84","259.34","376.76","0.00","0.00"
"2001","4","299.81","436.78","355.47","517.88","245.51","357.68","0.00","0.00"
"2002","1","320.02","464.57","371.87","539.83","277.21","402.42","0.00","0.00"
"2002","2","317.93","456.57","367.53","527.80","293.34","421.26","0.00","0.00"
"2002","3","303.30","433.71","362.40","518.22","274.56","392.61","0.00","0.00"
"2002","4","308.85","440.27","358.08","510.45","279.58","398.55","0.00","0.00"
"2003","1","319.19","450.44","382.18","539.34","289.11","408.00","0.00","0.00"
"2003","2","314.52","442.25","371.63","522.55","280.66","394.64","0.00","0.00"
"2003","3","312.39","437.11","373.19","522.19","278.57","389.79","0.00","0.00"
"2003","4","315.77","441.76","361.20","505.31","290.10","405.85","0.00","0.00"
"2004","1","320.23","444.00","393.11","545.04","293.49","406.91","0.00","0.00"
"2004","2","309.45","422.99","377.17","515.55","280.60","383.55","0.00","0.00"
"2004","3","296.54","403.92","377.69","514.45","271.78","370.19","0.00","0.00"
"2004","4","297.28","402.52","364.27","493.23","274.52","371.71","0.00","0.00"
"2005","1","301.39","405.53","368.71","496.12","281.38","378.60","0.00","0.00"
"2005","2","306.68","407.21","381.09","506.00","280.81","372.85","0.00","0.00"
"2005","3","305.91","401.30","381.23","500.11","273.64","358.97","0.00","0.00"
"2005","4","314.76","410.83","393.86","514.07","287.82","375.67","0.00","0.00"
"2006","1","323.34","419.75","410.35","532.71","298.37","387.34","0.00","0.00"
"2006","2","341.58","436.06","425.53","543.23","311.41","397.55","0.00","0.00"
"2006","3","330.12","419.08","418.70","531.53","292.74","371.63","0.00","0.00"
"2006","4","318.16","407.37","394.15","504.67","277.42","355.21","0.00","0.00"
"2007","1","317.84","402.74","414.23","524.87","282.04","357.37","0.00","0.00"
