Average Domestic Air Fares  

Year,Quarter,U.S. Average (Current $),U.S. Average (Inflation-Adjusted $),Bellingham -  WA (Current $),Bellingham -  WA (Inflation-Adjusted $),Madison -  WI (Current $),Madison -  WI (Inflation-Adjusted $),Milwaukee -  WI (Current $),Milwaukee -  WI (Inflation-Adjusted $)
"1995","1","296.90","508.23","316.19","541.25","374.19","640.55","309.17","529.24"
"1995","2","296.80","503.61","320.68","544.13","369.21","626.48","328.15","556.80"
"1995","3","287.51","485.72","283.71","479.30","378.45","639.36","345.37","583.47"
"1995","4","287.78","483.85","261.09","438.98","367.57","618.00","326.32","548.66"
"1996","1","283.97","473.14","269.37","448.82","357.05","594.90","304.77","507.80"
"1996","2","275.78","454.99","267.58","441.47","371.72","613.27","311.35","513.68"
"1996","3","269.49","442.26","254.18","417.14","390.06","640.13","333.66","547.57"
"1996","4","278.33","453.50","232.47","378.79","385.76","628.54","330.70","538.83"
"1997","1","283.40","458.68","260.49","421.60","365.79","592.01","326.30","528.11"
"1997","2","289.44","466.59","295.42","476.24","381.00","614.20","335.53","540.90"
"1997","3","282.27","453.25","307.16","493.22","392.96","630.99","346.43","556.28"
"1997","4","293.51","469.45","322.56","515.91","392.89","628.39","355.84","569.15"
"1998","1","304.74","486.11","345.95","551.84","388.66","619.97","359.74","573.83"
"1998","2","300.97","477.54","350.76","556.53","382.82","607.40","355.74","564.44"
"1998","3","315.25","498.25","320.62","506.74","382.36","604.32","362.35","572.70"
"1998","4","316.18","498.00","304.64","479.83","361.26","568.99","343.43","540.92"
"1999","1","331.74","520.50","334.23","524.40","375.27","588.79","358.75","562.87"
"1999","2","329.34","511.75","350.68","544.91","390.13","606.21","366.75","569.88"
"1999","3","317.22","489.88","355.68","549.26","403.95","623.81","348.41","538.04"
"1999","4","317.93","487.96","297.15","456.07","393.12","603.36","326.55","501.19"
"2000","1","340.23","517.05","314.78","478.38","405.71","616.57","347.78","528.53"
"2000","2","339.16","510.04","345.39","519.40","420.63","632.54","364.04","547.45"
"2000","3","336.66","502.28","379.28","565.87","423.05","631.16","366.02","546.08"
"2000","4","340.08","504.65","357.14","529.98","400.43","594.21","363.48","539.39"
"2001","1","347.69","511.05","351.77","517.05","401.04","589.48","382.51","562.23"
"2001","2","328.67","478.11","360.57","524.51","393.24","572.05","373.20","542.89"
