19-Apr,20-Jan,Location,State
398.58,360.86,New York City - NY,NY
429.92,388.19,New York JFK -  NY ,NY 
355.72,323.66,New York LaGuardia -  NY ,NY 
325.61,319.06,Buffalo -  NY ,NY 
394.16,374.11,Rochester -  NY ,NY 
243.12,213.87,Long Beach -  CA ,CA 
373.66,328.17,Los Angeles -  CA ,CA 
421.98,371.76,San Francisco -  CA ,CA 
338.85,308.99,Sacramento -  CA ,CA 
339.21,303.99,San Diego -  CA ,CA 
305.64,272.38,San Jose -  CA ,CA 
251.25,243.16,Ft  Lauderdale -  FL ,FL 
325.76,314.31,Miami -  FL ,FL 
308.12,290.46,Tampa -  FL ,FL 
372.07,364.3,Philadelphia -  PA ,PA 
361.54,342.28,Pittsburgh -  PA ,PA 
446.32,424.36,Birmingham -  AL ,AL 
415.8,397.42,Little Rock -  AR ,AR 
311.19,295.96,Denver -  CO ,CO 
347.55,321.07,Phoenix -  AZ ,AZ 
392.54,349.23,Tucson -  AZ ,AZ 
369.51,359.58,Atlanta -  GA ,GA 
387.43,356.73,Hartford -  CT ,CT 
369.95,379.69,Savannah -  GA ,GA 
347.04,332.05,Chicago O'Hare -  IL ,IL 
394.45,366.56,Des Moines -  IA ,IA 
364.89,333.39,Indianapolis -  IN ,IN 
380.18,369.67,Louisville -  KY ,KY 
397.67,382.82,Wichita -  KS ,KS 
325.48,308.59,Baltimore -  MD ,MD 
291.73,287.37,New Orleans -  LA ,LA 
370.22,348.39,Portland -  ME ,ME 
383.58,362.02,Detroit -  MI ,MI 
364.44,368.08,Minneapolis/St  Paul -  MN ,MN 
383.58,362.02,Detroit -  MI ,MI 
364.44,368.08,Minneapolis/St  Paul -  MN ,MN 
242.33,233.78,Las Vegas -  NV ,NV 
381.48,360.9,Omaha -  NE ,NE 
344.23,336.1,Reno -  NV ,NV 
0,0,Atlantic City -  NJ ,NJ 
391.23,372.19,Manchester -  NH ,NH 
413.69,369.92,Newark-Liberty -  NJ ,NJ 
370.82,343.84,Albuquerque -  NM ,NM 
416.3,396.7,Greensboro/High Point -  NC ,NC 
331.7,322.21,Raleigh/Durham -  NC ,NC 
392.81,373.83,Oklahoma City -  OK ,OK 
349.69,308.35,Portland -  OR ,OR 
409.34,391.95,Tulsa -  OK ,OK 
355.95,353.88,Charleston -  SC ,SC 
397.54,387.86,Greenville/Spartanburg -  SC ,SC 
339.05,322.52,Providence -  RI ,RI 
403.07,400.52,Dallas-Fort Worth -  TX ,TX 
408.18,394.33,Houston Bush -  TX ,TX 
365.53,359.31,San Antonio -  TX ,TX 
410.75,383.17,Norfolk/Virginia Beach -  VA ,VA 
392.79,394.16,Richmond -  VA ,VA 
376.76,364.52,Salt Lake City -  UT ,UT 
459.28,403.76,Madison -  WI ,WI 
354.88,339.95,Milwaukee -  WI ,WI 
