Domestic Freight Ton Miles  (January 2000 - April 2020)
Unit: (000)

Period,Total
"January 2000","171973"
"February 2000","188255"
"March 2000","221512"
"April 2000","213114"
"May 2000","221958"
"June 2000","226884"
"July 2000","211102"
"August 2000","206281"
"September 2000","203384"
"October 2000","233874"
"November 2000","215431"
"December 2000","182829"
"January 2001","381291"
"February 2001","365369"
"March 2001","439223"
"April 2001","382706"
"May 2001","425694"
"June 2001","422445"
"July 2001","386846"
"August 2001","433550"
"September 2001","321462"
"October 2001","411263"
"November 2001","391892"
"December 2001","400389"
"January 2002","356541"
"February 2002","344906"
"March 2002","427582"
"April 2002","411501"
"May 2002","443898"
"June 2002","450538"
"July 2002","471033"
"August 2002","483623"
"September 2002","453595"
"October 2002","1351321"
"November 2002","1189182"
"December 2002","1125068"
"January 2003","1034053"
"February 2003","949185"
"March 2003","1093421"
"April 2003","1069394"
"May 2003","1082420"
"June 2003","1060839"
"July 2003","1098786"
"August 2003","1127987"
"September 2003","1103337"
"October 2003","1268945"
"November 2003","1144313"
"December 2003","1194002"
"January 2004","1055586"
"February 2004","1068959"
"March 2004","1233416"
"April 2004","1174939"
"May 2004","1147202"
"June 2004","1167677"
"July 2004","1189313"
"August 2004","1180754"
"September 2004","1232472"
"October 2004","1303525"
"November 2004","1211041"
"December 2004","1286801"
"January 2005","1107684"
"February 2005","1090181"
"March 2005","1315722"
"April 2005","1224649"
"May 2005","1175205"
"June 2005","1270213"
"July 2005","1215666"
"August 2005","1271391"
"September 2005","1284773"
"October 2005","1300805"
"November 2005","1302618"
"December 2005","1346796"
"January 2006","1113875"
"February 2006","1048734"
"March 2006","1362207"
"April 2006","1225946"
"May 2006","1216322"
"June 2006","1294749"
"July 2006","1188736"
"August 2006","1330835"
"September 2006","1271456"
"October 2006","1300923"
"November 2006","1318996"
"December 2006","1339815"
"January 2007","1150958"
"February 2007","1085912"
"March 2007","1307471"
"April 2007","1179828"
"May 2007","1268771"
"June 2007","1258541"
"July 2007","1199935"
"August 2007","1310276"
"September 2007","1226085"
"October 2007","1308780"
"November 2007","1279041"
"December 2007","1248003"
"January 2008","1129628"
"February 2008","1071577"
"March 2008","1172538"
"April 2008","1203107"
"May 2008","1183369"
"June 2008","1090478"
"July 2008","1121976"
"August 2008","1105076"
"September 2008","1060348"
"October 2008","1141756"
"November 2008","984931"
"December 2008","1047849"
"January 2009","885322"
"February 2009","822247"
"March 2009","901724"
"April 2009","912405"
"May 2009","920706"
"June 2009","921253"
"July 2009","968152"
"August 2009","950764"
"September 2009","1001406"
"October 2009","1082832"
"November 2009","1016636"
"December 2009","1170233"
"January 2010","924389"
"February 2010","881816"
"March 2010","1040686"
"April 2010","1040072"
"May 2010","1025273"
"June 2010","1041500"
"July 2010","1034667"
"August 2010","1025984"
"September 2010","1036247"
"October 2010","1080190"
"November 2010","1024338"
"December 2010","1166688"
"January 2011","917449"
"February 2011","862380"
"March 2011","1090747"
"April 2011","997115"
"May 2011","961463"
"June 2011","1013061"
"July 2011","960153"
"August 2011","996468"
"September 2011","977369"
"October 2011","989903"
"November 2011","991189"
"December 2011","1113386"
"January 2012","870035"
"February 2012","911819"
"March 2012","1052254"
"April 2012","936974"
"May 2012","1011949"
"June 2012","996466"
"July 2012","944542"
"August 2012","1020163"
"September 2012","970214"
"October 2012","1011515"
"November 2012","1043731"
"December 2012","1098972"
"January 2013","975546"
"February 2013","871060"
"March 2013","1001425"
"April 2013","947289"
"May 2013","995551"
"June 2013","965395"
"July 2013","955799"
"August 2013","1024290"
"September 2013","936415"
"October 2013","1049793"
"November 2013","957847"
"December 2013","1122852"
"January 2014","966227"
"February 2014","850518"
"March 2014","1004736"
"April 2014","1008116"
"May 2014","1013348"
"June 2014","974911"
"July 2014","1031027"
"August 2014","1017030"
"September 2014","976276"
"October 2014","1084945"
"November 2014","1043042"
"December 2014","1189071"
"January 2015","979208"
"February 2015","957394"
"March 2015","1053137"
"April 2015","1024659"
"May 2015","1005101"
"June 2015","1007493"
"July 2015","1036702"
"August 2015","1001280"
"September 2015","1038775"
"October 2015","1103890"
"November 2015","1038910"
"December 2015","1256478"
"January 2016","980570"
"February 2016","907039"
"March 2016","1091886"
"April 2016","1058594"
"May 2016","1033430"
"June 2016","1092286"
"July 2016","1050553"
"August 2016","1107846"
"September 2016","1120260"
"October 2016","1137832"
"November 2016","1182722"
"December 2016","1321437"
"January 2017","1058955"
"February 2017","962565"
"March 2017","1200702"
"April 2017","1108177"
"May 2017","1163531"
"June 2017","1191922"
"July 2017","1142808"
"August 2017","1247760"
"September 2017","1196531"
"October 2017","1274659"
"November 2017","1347911"
"December 2017","1428683"
"January 2018","1184302"
"February 2018","1084832"
"March 2018","1267939"
"April 2018","1197566"
"May 2018","1289984"
"June 2018","1259312"
"July 2018","1237270"
"August 2018","1324687"
"September 2018","1265471"
"October 2018","1355128"
"November 2018","1342435"
"December 2018","1447244"
"January 2019","1249964"
"February 2019","1081225"
"March 2019","1291512"
"April 2019","1264516"
"May 2019","1326830"
"June 2019","1278614"
"July 2019","1293400"
"August 2019","1333814"
"September 2019","1237258"
"October 2019","1368241"
"November 2019","1349325"
"December 2019","1489985"
"January 2020","1258004"
"February 2020","1096447"
"March 2020","1381860"
"April 2020","1393026"


SOURCE: Bureau of Transportation Statistics, T-100 Market and Segment
