International Freight Ton Miles  (January 2000 - April 2020)
Unit: (000)

Period,Total
"January 2000","985514"
"February 2000","1071394"
"March 2000","1260874"
"April 2000","1160212"
"May 2000","1192193"
"June 2000","1223717"
"July 2000","1250703"
"August 2000","1245413"
"September 2000","1377155"
"October 2000","1427706"
"November 2000","1367362"
"December 2000","1267245"
"January 2001","1098142"
"February 2001","1172795"
"March 2001","1360400"
"April 2001","1186359"
"May 2001","1219213"
"June 2001","1237206"
"July 2001","1159192"
"August 2001","1165748"
"September 2001","1065535"
"October 2001","1224852"
"November 2001","1187268"
"December 2001","1140593"
"January 2002","1025566"
"February 2002","1058935"
"March 2002","1318538"
"April 2002","1228739"
"May 2002","1245406"
"June 2002","1302234"
"July 2002","1321966"
"August 2002","1268618"
"September 2002","1314653"
"October 2002","1817302"
"November 2002","1702716"
"December 2002","1452830"
"January 2003","1357400"
"February 2003","1335921"
"March 2003","1646020"
"April 2003","1470779"
"May 2003","1446808"
"June 2003","1431373"
"July 2003","1492448"
"August 2003","1482693"
"September 2003","1466533"
"October 2003","1620519"
"November 2003","1670888"
"December 2003","1532094"
"January 2004","1369209"
"February 2004","1575842"
"March 2004","1855697"
"April 2004","1724614"
"May 2004","1749239"
"June 2004","1735025"
"July 2004","1821138"
"August 2004","1762023"
"September 2004","1838684"
"October 2004","2017180"
"November 2004","2013414"
"December 2004","1915919"
"January 2005","1704045"
"February 2005","1590985"
"March 2005","1942787"
"April 2005","1928786"
"May 2005","1884857"
"June 2005","1933355"
"July 2005","1898609"
"August 2005","1891340"
"September 2005","1917511"
"October 2005","2083002"
"November 2005","2048234"
"December 2005","1914965"
"January 2006","1664438"
"February 2006","1602077"
"March 2006","2123350"
"April 2006","1920580"
"May 2006","1877678"
"June 2006","1961670"
"July 2006","1912534"
"August 2006","1946734"
"September 2006","2003317"
"October 2006","2091691"
"November 2006","2154461"
"December 2006","1981110"
"January 2007","1762817"
"February 2007","1715872"
"March 2007","2159418"
"April 2007","1962874"
"May 2007","1908909"
"June 2007","1924592"
"July 2007","1935762"
"August 2007","1956011"
"September 2007","1977173"
"October 2007","2123937"
"November 2007","2143465"
"December 2007","2039230"
"January 2008","1808514"
"February 2008","1742153"
"March 2008","2057230"
"April 2008","2079030"
"May 2008","1927247"
"June 2008","1883240"
"July 2008","1848201"
"August 2008","1814179"
"September 2008","1792139"
"October 2008","1865987"
"November 2008","1672969"
"December 2008","1423040"
"January 2009","1250347"
"February 2009","1259711"
"March 2009","1480028"
"April 2009","1455908"
"May 2009","1407346"
"June 2009","1589295"
"July 2009","1545900"
"August 2009","1559279"
"September 2009","1642375"
"October 2009","1849857"
"November 2009","1918863"
"December 2009","1804815"
"January 2010","1594678"
"February 2010","1586096"
"March 2010","1904299"
"April 2010","1844206"
"May 2010","1990100"
"June 2010","1939178"
"July 2010","1934216"
"August 2010","1931838"
"September 2010","1949882"
"October 2010","2121855"
"November 2010","2096834"
"December 2010","1993548"
"January 2011","1848626"
"February 2011","1703692"
"March 2011","2206357"
"April 2011","2071922"
"May 2011","2019222"
"June 2011","1961483"
"July 2011","2000318"
"August 2011","1968382"
"September 2011","1935836"
"October 2011","2080018"
"November 2011","2036615"
"December 2011","2009822"
"January 2012","1696205"
"February 2012","1802456"
"March 2012","2147977"
"April 2012","1957514"
"May 2012","2014668"
"June 2012","1998603"
"July 2012","1962199"
"August 2012","1899234"
"September 2012","1901104"
"October 2012","1893907"
"November 2012","1951695"
"December 2012","1842827"
"January 2013","1747027"
"February 2013","1600458"
"March 2013","1935872"
"April 2013","1883812"
"May 2013","1760250"
"June 2013","1811065"
"July 2013","1811590"
"August 2013","1771734"
"September 2013","1753250"
"October 2013","1931892"
"November 2013","1942349"
"December 2013","1808931"
"January 2014","1654864"
"February 2014","1490794"
"March 2014","1944935"
"April 2014","1823096"
"May 2014","1918342"
"June 2014","1874585"
"July 2014","1962340"
"August 2014","1857888"
"September 2014","1832197"
"October 2014","2018272"
"November 2014","2011249"
"December 2014","1923309"
"January 2015","1767107"
"February 2015","1708060"
"March 2015","1987887"
"April 2015","1924582"
"May 2015","1873395"
"June 2015","1851097"
"July 2015","1864949"
"August 2015","1791863"
"September 2015","1872058"
"October 2015","1999693"
"November 2015","1973324"
"December 2015","1893635"
"January 2016","1742342"
"February 2016","1572478"
"March 2016","1907698"
"April 2016","1908765"
"May 2016","1865699"
"June 2016","1872852"
"July 2016","1890714"
"August 2016","1889500"
"September 2016","1932818"
"October 2016","2130009"
"November 2016","2115716"
"December 2016","2006707"
"January 2017","1840010"
"February 2017","1661090"
"March 2017","2132861"
"April 2017","2043004"
"May 2017","2132429"
"June 2017","2150233"
"July 2017","2209396"
"August 2017","2181681"
"September 2017","2219539"
"October 2017","2344762"
"November 2017","2390008"
"December 2017","2237651"
"January 2018","2110437"
"February 2018","1907697"
"March 2018","2374118"
"April 2018","2249778"
"May 2018","2359784"
"June 2018","2342720"
"July 2018","2320392"
"August 2018","2246020"
"September 2018","2339770"
"October 2018","2490967"
"November 2018","2370336"
"December 2018","2260349"
"January 2019","2148523"
"February 2019","1840212"
"March 2019","2393661"
"April 2019","2252569"
"May 2019","2316592"
"June 2019","2219230"
"July 2019","2263220"
"August 2019","2234373"
"September 2019","2195828"
"October 2019","2354294"
"November 2019","2391157"
"December 2019","2047471"
"January 2020","2047453"
"February 2020","1763931"
"March 2020","2138532"
"April 2020","2016900"


SOURCE: Bureau of Transportation Statistics, T-100 Market and Segment
