Domestic Passenger - Freight Ton Miles  (January 2000 - April 2020)
Unit: (000)

Period,Total
"January 2000","136488"
"February 2000","154167"
"March 2000","177053"
"April 2000","167926"
"May 2000","175368"
"June 2000","173184"
"July 2000","160901"
"August 2000","161349"
"September 2000","157954"
"October 2000","175036"
"November 2000","158709"
"December 2000","133922"
"January 2001","137339"
"February 2001","135172"
"March 2001","154095"
"April 2001","138602"
"May 2001","155557"
"June 2001","144668"
"July 2001","136247"
"August 2001","149058"
"September 2001","105239"
"October 2001","130852"
"November 2001","125448"
"December 2001","124774"
"January 2002","122003"
"February 2002","124281"
"March 2002","148279"
"April 2002","146719"
"May 2002","161605"
"June 2002","160251"
"July 2002","155861"
"August 2002","154015"
"September 2002","149768"
"October 2002","184963"
"November 2002","161035"
"December 2002","145388"
"January 2003","137763"
"February 2003","140278"
"March 2003","160419"
"April 2003","154489"
"May 2003","155509"
"June 2003","152009"
"July 2003","147637"
"August 2003","150853"
"September 2003","147104"
"October 2003","160683"
"November 2003","149480"
"December 2003","145018"
"January 2004","133962"
"February 2004","144349"
"March 2004","169957"
"April 2004","159118"
"May 2004","166762"
"June 2004","167337"
"July 2004","159679"
"August 2004","160508"
"September 2004","155387"
"October 2004","172061"
"November 2004","160522"
"December 2004","144349"
"January 2005","133029"
"February 2005","138888"
"March 2005","162025"
"April 2005","144350"
"May 2005","147656"
"June 2005","147358"
"July 2005","136118"
"August 2005","138590"
"September 2005","140633"
"October 2005","145426"
"November 2005","144202"
"December 2005","135666"
"January 2006","121744"
"February 2006","120029"
"March 2006","143157"
"April 2006","138226"
"May 2006","136440"
"June 2006","136354"
"July 2006","124528"
"August 2006","130791"
"September 2006","124288"
"October 2006","132225"
"November 2006","129005"
"December 2006","120721"
"January 2007","106094"
"February 2007","104509"
"March 2007","118671"
"April 2007","114939"
"May 2007","124603"
"June 2007","120288"
"July 2007","118179"
"August 2007","120200"
"September 2007","115452"
"October 2007","122873"
"November 2007","120536"
"December 2007","111153"
"January 2008","104694"
"February 2008","105715"
"March 2008","115404"
"April 2008","111938"
"May 2008","114708"
"June 2008","105905"
"July 2008","103926"
"August 2008","102429"
"September 2008","96064"
"October 2008","100586"
"November 2008","88895"
"December 2008","83193"
"January 2009","78187"
"February 2009","72833"
"March 2009","82502"
"April 2009","86814"
"May 2009","93353"
"June 2009","88861"
"July 2009","91224"
"August 2009","91872"
"September 2009","93642"
"October 2009","99930"
"November 2009","97430"
"December 2009","96634"
"January 2010","92948"
"February 2010","88165"
"March 2010","105960"
"April 2010","102536"
"May 2010","107742"
"June 2010","104254"
"July 2010","99698"
"August 2010","98211"
"September 2010","97146"
"October 2010","102403"
"November 2010","96659"
"December 2010","92374"
"January 2011","82380"
"February 2011","80599"
"March 2011","96458"
"April 2011","90806"
"May 2011","92770"
"June 2011","91830"
"July 2011","87660"
"August 2011","88211"
"September 2011","87413"
"October 2011","89361"
"November 2011","85342"
"December 2011","85902"
"January 2012","81572"
"February 2012","84548"
"March 2012","101144"
"April 2012","90178"
"May 2012","97881"
"June 2012","96962"
"July 2012","90491"
"August 2012","91836"
"September 2012","87906"
"October 2012","91398"
"November 2012","90738"
"December 2012","88758"
"January 2013","80686"
"February 2013","78517"
"March 2013","90729"
"April 2013","86507"
"May 2013","94018"
"June 2013","92343"
"July 2013","89227"
"August 2013","90579"
"September 2013","86959"
"October 2013","89877"
"November 2013","86146"
"December 2013","88488"
"January 2014","80259"
"February 2014","76793"
"March 2014","91867"
"April 2014","86398"
"May 2014","91176"
"June 2014","91105"
"July 2014","90248"
"August 2014","88635"
"September 2014","85986"
"October 2014","91429"
"November 2014","86092"
"December 2014","86842"
"January 2015","78930"
"February 2015","85675"
"March 2015","92135"
"April 2015","84093"
"May 2015","86935"
"June 2015","89146"
"July 2015","84873"
"August 2015","84586"
"September 2015","80902"
"October 2015","84205"
"November 2015","82141"
"December 2015","84928"
"January 2016","66621"
"February 2016","71710"
"March 2016","74453"
"April 2016","86146"
"May 2016","87712"
"June 2016","92546"
"July 2016","89679"
"August 2016","91130"
"September 2016","88164"
"October 2016","95407"
"November 2016","89529"
"December 2016","90302"
"January 2017","87041"
"February 2017","81381"
"March 2017","98024"
"April 2017","93058"
"May 2017","98902"
"June 2017","104060"
"July 2017","97304"
"August 2017","102975"
"September 2017","94718"
"October 2017","100967"
"November 2017","95668"
"December 2017","95891"
"January 2018","83060"
"February 2018","85752"
"March 2018","90941"
"April 2018","90535"
"May 2018","100090"
"June 2018","97319"
"July 2018","93286"
"August 2018","95915"
"September 2018","87597"
"October 2018","99201"
"November 2018","93647"
"December 2018","88053"
"January 2019","85139"
"February 2019","83024"
"March 2019","92122"
"April 2019","86557"
"May 2019","89258"
"June 2019","89306"
"July 2019","87041"
"August 2019","87339"
"September 2019","84076"
"October 2019","89168"
"November 2019","88846"
"December 2019","86948"
"January 2020","81297"
"February 2020","83121"
"March 2020","71714"
"April 2020","39140"


SOURCE: Bureau of Transportation Statistics, T-100 Market and Segment
