International Passenger - Revenue Passenger Miles  (January 2000 - April 2020)
Unit: (000)

Period,Total
"January 2000","14111488"
"February 2000","13282332"
"March 2000","16530620"
"April 2000","16322844"
"May 2000","17355458"
"June 2000","19018771"
"July 2000","19989567"
"August 2000","19747971"
"September 2000","17498717"
"October 2000","16524976"
"November 2000","14854490"
"December 2000","15133036"
"January 2001","15416557"
"February 2001","13716979"
"March 2001","17330512"
"April 2001","16667615"
"May 2001","17048164"
"June 2001","18910405"
"July 2001","19728091"
"August 2001","19637604"
"September 2001","12309329"
"October 2001","10476611"
"November 2001","10821241"
"December 2001","12864793"
"January 2002","13166169"
"February 2002","11917145"
"March 2002","15347607"
"April 2002","13979759"
"May 2002","15129952"
"June 2002","16651444"
"July 2002","17196607"
"August 2002","17336126"
"September 2002","14751616"
"October 2002","14562865"
"November 2002","13390814"
"December 2002","14846151"
"January 2003","14554599"
"February 2003","12474711"
"March 2003","14491134"
"April 2003","11959281"
"May 2003","12962314"
"June 2003","15329868"
"July 2003","17181936"
"August 2003","17514927"
"September 2003","14864770"
"October 2003","14752228"
"November 2003","14318924"
"December 2003","15527296"
"January 2004","15356790"
"February 2004","14076576"
"March 2004","16885425"
"April 2004","15949576"
"May 2004","16741227"
"June 2004","18614540"
"July 2004","20082308"
"August 2004","19674293"
"September 2004","16846889"
"October 2004","16754211"
"November 2004","15528758"
"December 2004","17135881"
"January 2005","17645854"
"February 2005","15314283"
"March 2005","19306644"
"April 2005","17736550"
"May 2005","18917216"
"June 2005","20397126"
"July 2005","21721628"
"August 2005","20910650"
"September 2005","18200387"
"October 2005","17414376"
"November 2005","16106091"
"December 2005","17786357"
"January 2006","17819704"
"February 2006","15545196"
"March 2006","19802192"
"April 2006","19055753"
"May 2006","19827867"
"June 2006","21666716"
"July 2006","23066161"
"August 2006","21910238"
"September 2006","18969992"
"October 2006","18636690"
"November 2006","17300241"
"December 2006","18909096"
"January 2007","18942637"
"February 2007","16307181"
"March 2007","20899224"
"April 2007","19798511"
"May 2007","20682333"
"June 2007","22664909"
"July 2007","24196729"
"August 2007","23518797"
"September 2007","20391688"
"October 2007","20076820"
"November 2007","18748264"
"December 2007","20455292"
"January 2008","20190292"
"February 2008","17876975"
"March 2008","22334133"
"April 2008","20504902"
"May 2008","22256843"
"June 2008","23418251"
"July 2008","24874988"
"August 2008","24414610"
"September 2008","19957976"
"October 2008","19840725"
"November 2008","17718740"
"December 2008","19462623"
"January 2009","18839007"
"February 2009","15668607"
"March 2009","19282183"
"April 2009","19529887"
"May 2009","19686032"
"June 2009","21868618"
"July 2009","24222621"
"August 2009","23911179"
"September 2009","19542665"
"October 2009","19227149"
"November 2009","17196974"
"December 2009","19368514"
"January 2010","19123803"
"February 2010","16049475"
"March 2010","20443045"
"April 2010","19064630"
"May 2010","21687065"
"June 2010","23871296"
"July 2010","25980636"
"August 2010","25070113"
"September 2010","21401735"
"October 2010","21521998"
"November 2010","18704995"
"December 2010","20481179"
"January 2011","20207659"
"February 2011","16893701"
"March 2011","20877849"
"April 2011","20876096"
"May 2011","22466671"
"June 2011","24281915"
"July 2011","26751387"
"August 2011","25424379"
"September 2011","21498220"
"October 2011","20940151"
"November 2011","18427006"
"December 2011","20649028"
"January 2012","20046444"
"February 2012","17584332"
"March 2012","21744611"
"April 2012","21229609"
"May 2012","22647674"
"June 2012","24620563"
"July 2012","26101902"
"August 2012","25546551"
"September 2012","21900485"
"October 2012","20781948"
"November 2012","18677442"
"December 2012","20705457"
"January 2013","20245411"
"February 2013","17603021"
"March 2013","21991987"
"April 2013","20972206"
"May 2013","23303284"
"June 2013","25501353"
"July 2013","27081008"
"August 2013","26701233"
"September 2013","22343483"
"October 2013","21672261"
"November 2013","19004589"
"December 2013","21636388"
"January 2014","20972402"
"February 2014","17757862"
"March 2014","22158847"
"April 2014","21845645"
"May 2014","24033020"
"June 2014","25904454"
"July 2014","27402039"
"August 2014","27136240"
"September 2014","22503328"
"October 2014","21562498"
"November 2014","19107240"
"December 2014","21762536"
"January 2015","21229279"
"February 2015","17932036"
"March 2015","22178943"
"April 2015","21579269"
"May 2015","24079589"
"June 2015","26089624"
"July 2015","28387846"
"August 2015","27890123"
"September 2015","22972298"
"October 2015","22394974"
"November 2015","19360241"
"December 2015","22052620"
"January 2016","21541992"
"February 2016","18414618"
"March 2016","22262449"
"April 2016","21847175"
"May 2016","23971383"
"June 2016","26615375"
"July 2016","28791604"
"August 2016","27278584"
"September 2016","22873428"
"October 2016","22237634"
"November 2016","19138761"
"December 2016","22356136"
"January 2017","21557183"
"February 2017","18009097"
"March 2017","22315683"
"April 2017","23463686"
"May 2017","24762938"
"June 2017","27480643"
"July 2017","29470279"
"August 2017","28306912"
"September 2017","23014781"
"October 2017","22670593"
"November 2017","20011696"
"December 2017","22863970"
"January 2018","21923260"
"February 2018","19037548"
"March 2018","24195374"
"April 2018","23495826"
"May 2018","25784245"
"June 2018","28671501"
"July 2018","30141440"
"August 2018","28964949"
"September 2018","23852325"
"October 2018","23631334"
"November 2018","20922911"
"December 2018","23437800"
"January 2019","22814065"
"February 2019","19563608"
"March 2019","24881841"
"April 2019","24558888"
"May 2019","26998494"
"June 2019","29720962"
"July 2019","30874486"
"August 2019","30097999"
"September 2019","25373901"
"October 2019","24629251"
"November 2019","21599390"
"December 2019","24911387"
"January 2020","23698246"
"February 2020","18882143"
"March 2020","10514738"
"April 2020","487764"


SOURCE: Bureau of Transportation Statistics, T-100 Market and Segment
