Domestic Passenger - Available Seat Miles  (January 2000 - April 2020)
Unit: (000)

Period,Total
"January 2000","56316092"
"February 2000","54354846"
"March 2000","59927517"
"April 2000","57418335"
"May 2000","58913633"
"June 2000","58325629"
"July 2000","61336221"
"August 2000","61565807"
"September 2000","57957097"
"October 2000","60819617"
"November 2000","57811533"
"December 2000","57947008"
"January 2001","59844323"
"February 2001","54371155"
"March 2001","60530306"
"April 2001","59026085"
"May 2001","61018475"
"June 2001","60437986"
"July 2001","63671667"
"August 2001","64307854"
"September 2001","47158988"
"October 2001","51694704"
"November 2001","50025401"
"December 2001","52191798"
"January 2002","52631569"
"February 2002","48898074"
"March 2002","55720475"
"April 2002","54581493"
"May 2002","56330296"
"June 2002","57361487"
"July 2002","60070478"
"August 2002","60222319"
"September 2002","54576931"
"October 2002","58076955"
"November 2002","55060801"
"December 2002","57393693"
"January 2003","56865749"
"February 2003","50718832"
"March 2003","58286148"
"April 2003","55239973"
"May 2003","55907280"
"June 2003","57163710"
"July 2003","60230761"
"August 2003","60342689"
"September 2003","55669862"
"October 2003","58731500"
"November 2003","56521377"
"December 2003","59638237"
"January 2004","59072246"
"February 2004","56913494"
"March 2004","62701957"
"April 2004","60864078"
"May 2004","61545698"
"June 2004","62312322"
"July 2004","64832135"
"August 2004","65214596"
"September 2004","58373874"
"October 2004","62429669"
"November 2004","60024107"
"December 2004","62640292"
"January 2005","60205100"
"February 2005","56537903"
"March 2005","64534191"
"April 2005","61911568"
"May 2005","63710797"
"June 2005","63971184"
"July 2005","66444868"
"August 2005","65878156"
"September 2005","59215512"
"October 2005","60927242"
"November 2005","59335097"
"December 2005","61402694"
"January 2006","59534234"
"February 2006","54119758"
"March 2006","62745830"
"April 2006","60378251"
"May 2006","61629691"
"June 2006","62083974"
"July 2006","64509427"
"August 2006","64790395"
"September 2006","58880331"
"October 2006","61348390"
"November 2006","59411704"
"December 2006","61583880"
"January 2007","61084343"
"February 2007","54897506"
"March 2007","63661700"
"April 2007","61604048"
"May 2007","63207084"
"June 2007","63085069"
"July 2007","65963937"
"August 2007","66014668"
"September 2007","60373175"
"October 2007","63104280"
"November 2007","61284574"
"December 2007","62800549"
"January 2008","61125963"
"February 2008","57569507"
"March 2008","63707514"
"April 2008","60549735"
"May 2008","62210711"
"June 2008","62726024"
"July 2008","65274090"
"August 2008","63575494"
"September 2008","54330192"
"October 2008","56797128"
"November 2008","53868753"
"December 2008","55780640"
"January 2009","54376253"
"February 2009","50326056"
"March 2009","57762446"
"April 2009","55699866"
"May 2009","56934510"
"June 2009","58084535"
"July 2009","60944852"
"August 2009","59846694"
"September 2009","52930736"
"October 2009","54976497"
"November 2009","52956665"
"December 2009","55027157"
"January 2010","54231974"
"February 2010","48189837"
"March 2010","57563362"
"April 2010","55742439"
"May 2010","57350721"
"June 2010","58811035"
"July 2010","61535857"
"August 2010","60821462"
"September 2010","55183502"
"October 2010","57272454"
"November 2010","55148535"
"December 2010","56222660"
"January 2011","54286528"
"February 2011","49543139"
"March 2011","59803333"
"April 2011","57172576"
"May 2011","58457032"
"June 2011","60446759"
"July 2011","62920829"
"August 2011","60772036"
"September 2011","55021157"
"October 2011","56695821"
"November 2011","54191504"
"December 2011","56871846"
"January 2012","53882438"
"February 2012","51676736"
"March 2012","59356404"
"April 2012","56921449"
"May 2012","58476332"
"June 2012","60398969"
"July 2012","62815288"
"August 2012","61454635"
"September 2012","54898856"
"October 2012","55880661"
"November 2012","54964637"
"December 2012","56550395"
"January 2013","54501032"
"February 2013","50260091"
"March 2013","59881034"
"April 2013","57449050"
"May 2013","59369559"
"June 2013","61035249"
"July 2013","63618417"
"August 2013","62485029"
"September 2013","55630468"
"October 2013","58222416"
"November 2013","55805048"
"December 2013","58129723"
"January 2014","54415335"
"February 2014","49699120"
"March 2014","61070069"
"April 2014","58385529"
"May 2014","60047986"
"June 2014","62123102"
"July 2014","65054639"
"August 2014","63227531"
"September 2014","56823511"
"October 2014","59976145"
"November 2014","57299276"
"December 2014","60585339"
"January 2015","57332443"
"February 2015","51571087"
"March 2015","63194929"
"April 2015","61425958"
"May 2015","63741512"
"June 2015","65598575"
"July 2015","68844703"
"August 2015","67031387"
"September 2015","59869761"
"October 2015","62955593"
"November 2015","60815989"
"December 2015","63543808"
"January 2016","60020676"
"February 2016","57811421"
"March 2016","66819543"
"April 2016","64096501"
"May 2016","66834450"
"June 2016","69132012"
"July 2016","71800707"
"August 2016","70312972"
"September 2016","62913367"
"October 2016","65248336"
"November 2016","63306954"
"December 2016","66043128"
"January 2017","63525708"
"February 2017","57834126"
"March 2017","69188558"
"April 2017","66449589"
"May 2017","69176361"
"June 2017","72055296"
"July 2017","75137589"
"August 2017","73584280"
"September 2017","63581279"
"October 2017","68529628"
"November 2017","65640367"
"December 2017","68664941"
"January 2018","65965834"
"February 2018","60886453"
"March 2018","72152793"
"April 2018","70745003"
"May 2018","73676106"
"June 2018","75683356"
"July 2018","78751026"
"August 2018","77109260"
"September 2018","68891206"
"October 2018","72526591"
"November 2018","69617177"
"December 2018","72201895"
"January 2019","69116155"
"February 2019","63161807"
"March 2019","76061739"
"April 2019","72699892"
"May 2019","75725707"
"June 2019","76954590"
"July 2019","80416398"
"August 2019","79321871"
"September 2019","71092170"
"October 2019","75436333"
"November 2019","72641829"
"December 2019","76567702"
"January 2020","72874850"
"February 2020","68986791"
"March 2020","65277923"
"April 2020","19640093"


SOURCE: Bureau of Transportation Statistics, T-100 Market and Segment
