International Available Seat Miles  (January 2000 - April 2020)
Unit: (000)

Period,Total
"January 2000","20933627"
"February 2000","19604814"
"March 2000","21457740"
"April 2000","21659049"
"May 2000","22641340"
"June 2000","23130870"
"July 2000","24974349"
"August 2000","24420393"
"September 2000","22531907"
"October 2000","22374044"
"November 2000","21016445"
"December 2000","21704330"
"January 2001","22188837"
"February 2001","20264556"
"March 2001","22741850"
"April 2001","22871450"
"May 2001","23423897"
"June 2001","23277888"
"July 2001","24861556"
"August 2001","24332954"
"September 2001","18832785"
"October 2001","18442401"
"November 2001","17115621"
"December 2001","17958589"
"January 2002","18253569"
"February 2002","16542548"
"March 2002","18962638"
"April 2002","19052236"
"May 2002","20144540"
"June 2002","20514379"
"July 2002","21463565"
"August 2002","21483641"
"September 2002","19894002"
"October 2002","20207662"
"November 2002","19223858"
"December 2002","20115819"
"January 2003","20538397"
"February 2003","18250111"
"March 2003","20552676"
"April 2003","18128577"
"May 2003","17801325"
"June 2003","19155032"
"July 2003","21098648"
"August 2003","21401718"
"September 2003","19758563"
"October 2003","19665804"
"November 2003","19007873"
"December 2003","19988549"
"January 2004","20613486"
"February 2004","19656781"
"March 2004","21332789"
"April 2004","20812675"
"May 2004","21805282"
"June 2004","22588364"
"July 2004","24390478"
"August 2004","24391232"
"September 2004","21847934"
"October 2004","21941539"
"November 2004","21000164"
"December 2004","22711439"
"January 2005","23724905"
"February 2005","21337093"
"March 2005","24118763"
"April 2005","23288832"
"May 2005","24227224"
"June 2005","24639581"
"July 2005","26077357"
"August 2005","25856107"
"September 2005","23853584"
"October 2005","23214950"
"November 2005","21499433"
"December 2005","23334011"
"January 2006","23872132"
"February 2006","21440693"
"March 2006","24792942"
"April 2006","24276382"
"May 2006","25070619"
"June 2006","25838555"
"July 2006","27416384"
"August 2006","27241495"
"September 2006","24782042"
"October 2006","24629764"
"November 2006","22674149"
"December 2006","24490835"
"January 2007","25274484"
"February 2007","22565995"
"March 2007","25920564"
"April 2007","25344039"
"May 2007","26474586"
"June 2007","27251422"
"July 2007","28805723"
"August 2007","28751978"
"September 2007","26214875"
"October 2007","25726222"
"November 2007","24305024"
"December 2007","26387893"
"January 2008","26689207"
"February 2008","24685314"
"March 2008","27530135"
"April 2008","26768195"
"May 2008","28124195"
"June 2008","28462608"
"July 2008","30027247"
"August 2008","29836199"
"September 2008","25967569"
"October 2008","25764562"
"November 2008","24026286"
"December 2008","25438174"
"January 2009","25862888"
"February 2009","22914966"
"March 2009","25810452"
"April 2009","25614652"
"May 2009","26172639"
"June 2009","26986489"
"July 2009","28848526"
"August 2009","28523777"
"September 2009","24589284"
"October 2009","23809156"
"November 2009","22288908"
"December 2009","24016117"
"January 2010","24993240"
"February 2010","21745188"
"March 2010","25597429"
"April 2010","24309989"
"May 2010","26859186"
"June 2010","28153838"
"July 2010","30392216"
"August 2010","29684595"
"September 2010","25919088"
"October 2010","26384356"
"November 2010","24077040"
"December 2010","25740361"
"January 2011","26654524"
"February 2011","23868858"
"March 2011","27556326"
"April 2011","27151985"
"May 2011","27904563"
"June 2011","28927979"
"July 2011","31281075"
"August 2011","30036471"
"September 2011","26484229"
"October 2011","26438375"
"November 2011","23874837"
"December 2011","26233146"
"January 2012","26355697"
"February 2012","24719876"
"March 2012","27499741"
"April 2012","26838802"
"May 2012","28075417"
"June 2012","28823260"
"July 2012","30635119"
"August 2012","30000756"
"September 2012","26614645"
"October 2012","25837460"
"November 2012","23751718"
"December 2012","25830137"
"January 2013","25977124"
"February 2013","23530578"
"March 2013","26944863"
"April 2013","26889329"
"May 2013","28412016"
"June 2013","29644626"
"July 2013","31528460"
"August 2013","30953030"
"September 2013","27107338"
"October 2013","27063033"
"November 2013","24783807"
"December 2013","26394011"
"January 2014","26676237"
"February 2014","23890483"
"March 2014","28136741"
"April 2014","27535355"
"May 2014","29488588"
"June 2014","30990290"
"July 2014","32815551"
"August 2014","32034159"
"September 2014","27904639"
"October 2014","27371920"
"November 2014","25340651"
"December 2014","27211533"
"January 2015","27244730"
"February 2015","24074630"
"March 2015","28139170"
"April 2015","28304599"
"May 2015","30110911"
"June 2015","31220287"
"July 2015","33423189"
"August 2015","32731463"
"September 2015","28527699"
"October 2015","27787204"
"November 2015","25015862"
"December 2015","27675970"
"January 2016","27409535"
"February 2016","25217888"
"March 2016","28331006"
"April 2016","28608025"
"May 2016","30576616"
"June 2016","31848514"
"July 2016","33862509"
"August 2016","32829822"
"September 2016","28511866"
"October 2016","28075405"
"November 2016","24562304"
"December 2016","27803786"
"January 2017","27655803"
"February 2017","24513250"
"March 2017","28685575"
"April 2017","29392670"
"May 2017","31212384"
"June 2017","32674120"
"July 2017","34694068"
"August 2017","33355783"
"September 2017","28988847"
"October 2017","29189434"
"November 2017","25736560"
"December 2017","28551815"
"January 2018","28123684"
"February 2018","25350898"
"March 2018","29767205"
"April 2018","29844815"
"May 2018","31992696"
"June 2018","33352082"
"July 2018","34992017"
"August 2018","33870133"
"September 2018","30004887"
"October 2018","29754064"
"November 2018","26324324"
"December 2018","28916767"
"January 2019","28830584"
"February 2019","25663384"
"March 2019","30313311"
"April 2019","30129463"
"May 2019","32623915"
"June 2019","34163184"
"July 2019","35656675"
"August 2019","34650001"
"September 2019","31007227"
"October 2019","30273034"
"November 2019","26961682"
"December 2019","29677093"
"January 2020","29427102"
"February 2020","25058070"
"March 2020","18268938"
"April 2020","2010605"


SOURCE: Bureau of Transportation Statistics, T-100 Market and Segment
