Domestic Passenger - Total Revenue Ton Miles  (January 2000 - April 2020)
Unit: (000)

Period,Total
"January 2000","3778739"
"February 2000","3903013"
"March 2000","4725110"
"April 2000","4514532"
"May 2000","4636425"
"June 2000","4901829"
"July 2000","5032906"
"August 2000","4954528"
"September 2000","4138747"
"October 2000","4513341"
"November 2000","4390400"
"December 2000","4268513"
"January 2001","4015236"
"February 2001","3847554"
"March 2001","4725576"
"April 2001","4526524"
"May 2001","4559695"
"June 2001","4821235"
"July 2001","5087447"
"August 2001","5146571"
"September 2001","2788873"
"October 2001","3548832"
"November 2001","3605065"
"December 2001","3687973"
"January 2002","3512437"
"February 2002","3469295"
"March 2002","4391896"
"April 2002","4081821"
"May 2002","4236691"
"June 2002","4539572"
"July 2002","4765631"
"August 2002","4769298"
"September 2002","3631419"
"October 2002","4187094"
"November 2002","3897318"
"December 2002","4399761"
"January 2003","3877916"
"February 2003","3660800"
"March 2003","4455841"
"April 2003","4221962"
"May 2003","4366001"
"June 2003","4710404"
"July 2003","5095392"
"August 2003","4961370"
"September 2003","3929576"
"October 2003","4428384"
"November 2003","4196663"
"December 2003","4549039"
"January 2004","4069639"
"February 2004","4116946"
"March 2004","4942112"
"April 2004","4859251"
"May 2004","4804550"
"June 2004","5245956"
"July 2004","5540388"
"August 2004","5340373"
"September 2004","4309740"
"October 2004","4861194"
"November 2004","4619043"
"December 2004","4791983"
"January 2005","4412278"
"February 2005","4248429"
"March 2005","5351454"
"April 2005","4936659"
"May 2005","5129512"
"June 2005","5448592"
"July 2005","5751769"
"August 2005","5467754"
"September 2005","4567264"
"October 2005","4816691"
"November 2005","4741706"
"December 2005","4851914"
"January 2006","4506925"
"February 2006","4289785"
"March 2006","5297631"
"April 2006","5094425"
"May 2006","5135681"
"June 2006","5420691"
"July 2006","5631616"
"August 2006","5397958"
"September 2006","4496351"
"October 2006","4915014"
"November 2006","4791157"
"December 2006","4865002"
"January 2007","4551120"
"February 2007","4286455"
"March 2007","5337630"
"April 2007","5153812"
"May 2007","5275801"
"June 2007","5562874"
"July 2007","5814737"
"August 2007","5730574"
"September 2007","4698101"
"October 2007","5092547"
"November 2007","4903772"
"December 2007","4878842"
"January 2008","4588145"
"February 2008","4500545"
"March 2008","5374666"
"April 2008","4987068"
"May 2008","5198180"
"June 2008","5416768"
"July 2008","5624810"
"August 2008","5423044"
"September 2008","4252774"
"October 2008","4656054"
"November 2008","4202399"
"December 2008","4520283"
"January 2009","4066848"
"February 2009","3886800"
"March 2009","4784604"
"April 2009","4678010"
"May 2009","4735677"
"June 2009","5059402"
"July 2009","5409266"
"August 2009","5186828"
"September 2009","4309521"
"October 2009","4636489"
"November 2009","4308547"
"December 2009","4519952"
"January 2010","4178818"
"February 2010","3834011"
"March 2010","4921061"
"April 2010","4718959"
"May 2010","4848630"
"June 2010","5188150"
"July 2010","5455570"
"August 2010","5284934"
"September 2010","4515355"
"October 2010","4886099"
"November 2010","4587600"
"December 2010","4664074"
"January 2011","4257636"
"February 2011","3959512"
"March 2011","5056054"
"April 2011","4802576"
"May 2011","5044912"
"June 2011","5295880"
"July 2011","5579850"
"August 2011","5291965"
"September 2011","4596200"
"October 2011","4839729"
"November 2011","4619444"
"December 2011","4718718"
"January 2012","4302291"
"February 2012","4178813"
"March 2012","5124447"
"April 2012","4861614"
"May 2012","5049693"
"June 2012","5337877"
"July 2012","5557983"
"August 2012","5427002"
"September 2012","4526862"
"October 2012","4810943"
"November 2012","4655648"
"December 2012","4718997"
"January 2013","4400300"
"February 2013","4156754"
"March 2013","5198235"
"April 2013","4862580"
"May 2013","5149693"
"June 2013","5411141"
"July 2013","5605170"
"August 2013","5448203"
"September 2013","4600488"
"October 2013","4928296"
"November 2013","4579654"
"December 2013","5058549"
"January 2014","4491480"
"February 2014","4178279"
"March 2014","5332531"
"April 2014","5060937"
"May 2014","5290093"
"June 2014","5532612"
"July 2014","5820763"
"August 2014","5601571"
"September 2014","4768444"
"October 2014","5159594"
"November 2014","4774718"
"December 2014","5173312"
"January 2015","4648528"
"February 2015","4358952"
"March 2015","5538630"
"April 2015","5325405"
"May 2015","5567068"
"June 2015","5842541"
"July 2015","6181705"
"August 2015","5919429"
"September 2015","5122651"
"October 2015","5553964"
"November 2015","5227894"
"December 2015","5455226"
"January 2016","4929205"
"February 2016","4762767"
"March 2016","5786008"
"April 2016","5486066"
"May 2016","5838387"
"June 2016","6166196"
"July 2016","6372170"
"August 2016","6069398"
"September 2016","5409953"
"October 2016","5690639"
"November 2016","5477636"
"December 2016","5632850"
"January 2017","5159117"
"February 2017","4783023"
"March 2017","6038731"
"April 2017","5780464"
"May 2017","6056218"
"June 2017","6408593"
"July 2017","6655524"
"August 2017","6412432"
"September 2017","5340618"
"October 2017","5991126"
"November 2017","5749013"
"December 2017","5864319"
"January 2018","5314461"
"February 2018","5088713"
"March 2018","6325024"
"April 2018","6083261"
"May 2018","6415016"
"June 2018","6761405"
"July 2018","7056608"
"August 2018","6765782"
"September 2018","5686805"
"October 2018","6262192"
"November 2018","6034658"
"December 2018","6095793"
"January 2019","5579722"
"February 2019","5273874"
"March 2019","6688686"
"April 2019","6335977"
"May 2019","6721900"
"June 2019","6977631"
"July 2019","7259199"
"August 2019","6949709"
"September 2019","5957388"
"October 2019","6481928"
"November 2019","6064226"
"December 2019","6676211"
"January 2020","5901693"
"February 2020","5668816"
"March 2020","3366126"
"April 2020","312597"


SOURCE: Bureau of Transportation Statistics, T-100 Market and Segment
