International Passenger - Total Revenue Ton Miles  (January 2000 - April 2020)
Unit: (000)

Period,Total
"January 2000","1865954"
"February 2000","1834110"
"March 2000","2221637"
"April 2000","2166316"
"May 2000","2272133"
"June 2000","2451432"
"July 2000","2557067"
"August 2000","2509788"
"September 2000","2305637"
"October 2000","2254208"
"November 2000","2050659"
"December 2000","2061784"
"January 2001","2013997"
"February 2001","1871764"
"March 2001","2299377"
"April 2001","2174177"
"May 2001","2229763"
"June 2001","2398848"
"July 2001","2459610"
"August 2001","2445287"
"September 2001","1629645"
"October 2001","1505484"
"November 2001","1519796"
"December 2001","1704365"
"January 2002","1686467"
"February 2002","1590696"
"March 2002","2017088"
"April 2002","1859043"
"May 2002","1992161"
"June 2002","2159920"
"July 2002","2201176"
"August 2002","2193278"
"September 2002","1948233"
"October 2002","2012053"
"November 2002","1860475"
"December 2002","1948327"
"January 2003","1866858"
"February 2003","1693695"
"March 2003","1944817"
"April 2003","1603005"
"May 2003","1701290"
"June 2003","1944697"
"July 2003","2131241"
"August 2003","2155901"
"September 2003","1896591"
"October 2003","1927896"
"November 2003","1878504"
"December 2003","1972272"
"January 2004","1922729"
"February 2004","1853388"
"March 2004","2189307"
"April 2004","2057727"
"May 2004","2167517"
"June 2004","2348151"
"July 2004","2502388"
"August 2004","2455174"
"September 2004","2185091"
"October 2004","2230209"
"November 2004","2080588"
"December 2004","2233794"
"January 2005","2216520"
"February 2005","2009096"
"March 2005","2464686"
"April 2005","2264713"
"May 2005","2387192"
"June 2005","2540795"
"July 2005","2679458"
"August 2005","2582223"
"September 2005","2342938"
"October 2005","2306166"
"November 2005","2126075"
"December 2005","2302705"
"January 2006","2237297"
"February 2006","2018986"
"March 2006","2528457"
"April 2006","2411192"
"May 2006","2494816"
"June 2006","2698191"
"July 2006","2832136"
"August 2006","2696455"
"September 2006","2432888"
"October 2006","2434500"
"November 2006","2264003"
"December 2006","2420577"
"January 2007","2326553"
"February 2007","2081334"
"March 2007","2610806"
"April 2007","2463807"
"May 2007","2563376"
"June 2007","2762264"
"July 2007","2905984"
"August 2007","2828900"
"September 2007","2564242"
"October 2007","2548855"
"November 2007","2398840"
"December 2007","2560694"
"January 2008","2468599"
"February 2008","2271711"
"March 2008","2760221"
"April 2008","2570478"
"May 2008","2745848"
"June 2008","2861408"
"July 2008","3000095"
"August 2008","2934158"
"September 2008","2472207"
"October 2008","2484616"
"November 2008","2223231"
"December 2008","2333851"
"January 2009","2222512"
"February 2009","1908484"
"March 2009","2317838"
"April 2009","2327584"
"May 2009","2371278"
"June 2009","2596831"
"July 2009","2855092"
"August 2009","2823799"
"September 2009","2414913"
"October 2009","2436969"
"November 2009","2233604"
"December 2009","2438337"
"January 2010","2364996"
"February 2010","2075520"
"March 2010","2603152"
"April 2010","2405354"
"May 2010","2746486"
"June 2010","2945177"
"July 2010","3154163"
"August 2010","3042184"
"September 2010","2669312"
"October 2010","2743810"
"November 2010","2404687"
"December 2010","2582215"
"January 2011","2507169"
"February 2011","2182931"
"March 2011","2662027"
"April 2011","2617495"
"May 2011","2784183"
"June 2011","2938412"
"July 2011","3203026"
"August 2011","3032614"
"September 2011","2656226"
"October 2011","2635539"
"November 2011","2344368"
"December 2011","2579393"
"January 2012","2459872"
"February 2012","2240787"
"March 2012","2746747"
"April 2012","2637318"
"May 2012","2803415"
"June 2012","2987478"
"July 2012","3128617"
"August 2012","3059404"
"September 2012","2701366"
"October 2012","2589578"
"November 2012","2365091"
"December 2012","2580910"
"January 2013","2462866"
"February 2013","2211570"
"March 2013","2735285"
"April 2013","2583848"
"May 2013","2841172"
"June 2013","3064854"
"July 2013","3200692"
"August 2013","3161359"
"September 2013","2725846"
"October 2013","2721787"
"November 2013","2442866"
"December 2013","2668355"
"January 2014","2556034"
"February 2014","2234844"
"March 2014","2785286"
"April 2014","2700592"
"May 2014","2956591"
"June 2014","3145423"
"July 2014","3319635"
"August 2014","3265027"
"September 2014","2798663"
"October 2014","2750868"
"November 2014","2470034"
"December 2014","2717563"
"January 2015","2607307"
"February 2015","2309533"
"March 2015","2793282"
"April 2015","2683763"
"May 2015","2943432"
"June 2015","3148796"
"July 2015","3378998"
"August 2015","3315575"
"September 2015","2823315"
"October 2015","2813167"
"November 2015","2464557"
"December 2015","2726522"
"January 2016","2620721"
"February 2016","2312129"
"March 2016","2760634"
"April 2016","2718623"
"May 2016","2944567"
"June 2016","3202840"
"July 2016","3431405"
"August 2016","3254520"
"September 2016","2844694"
"October 2016","2850396"
"November 2016","2472211"
"December 2016","2797502"
"January 2017","2666586"
"February 2017","2314356"
"March 2017","2845504"
"April 2017","2945099"
"May 2017","3110369"
"June 2017","3387696"
"July 2017","3602474"
"August 2017","3461858"
"September 2017","2940028"
"October 2017","2963981"
"November 2017","2636351"
"December 2017","2930214"
"January 2018","2755005"
"February 2018","2477499"
"March 2018","3099386"
"April 2018","3007760"
"May 2018","3242227"
"June 2018","3535582"
"July 2018","3689234"
"August 2018","3550194"
"September 2018","3027762"
"October 2018","3060795"
"November 2018","2692560"
"December 2018","2951498"
"January 2019","2826158"
"February 2019","2490067"
"March 2019","3132308"
"April 2019","3036043"
"May 2019","3308941"
"June 2019","3572562"
"July 2019","3692100"
"August 2019","3592917"
"September 2019","3129246"
"October 2019","3089542"
"November 2019","2746575"
"December 2019","3068007"
"January 2020","2893454"
"February 2020","2381016"
"March 2020","1390602"
"April 2020","136398"


SOURCE: Bureau of Transportation Statistics, T-100 Market and Segment
