Average Domestic Air Fares  

Year,Quarter,U.S. Average (Current $),U.S. Average (Inflation-Adjusted $),Denver -  CO (Current $),Denver -  CO (Inflation-Adjusted $),Phoenix -  AZ (Current $),Phoenix -  AZ (Inflation-Adjusted $),Tucson -  AZ (Current $),Tucson -  AZ (Inflation-Adjusted $)
"1995","1","296.90","508.23","354.74","607.24","194.12","332.30","253.88","434.60"
"1995","2","296.80","503.61","372.47","632.01","206.54","350.46","269.01","456.46"
"1995","3","287.51","485.72","379.48","641.10","204.58","345.63","264.54","446.91"
"1995","4","287.78","483.85","344.39","579.04","187.78","315.72","244.43","410.98"
"1996","1","283.97","473.14","344.92","574.69","179.79","299.56","228.86","381.32"
"1996","2","275.78","454.99","354.50","584.87","190.23","313.84","237.54","391.90"
"1996","3","269.49","442.26","345.81","567.52","186.05","305.33","235.56","386.58"
"1996","4","278.33","453.50","323.45","527.01","181.68","296.02","239.68","390.53"
"1997","1","283.40","458.68","333.19","539.27","183.63","297.21","230.09","372.39"
"1997","2","289.44","466.59","356.24","574.28","208.03","335.35","258.79","417.19"
"1997","3","282.27","453.25","334.60","537.27","209.26","336.01","252.89","406.07"
"1997","4","293.51","469.45","327.09","523.16","207.46","331.81","247.40","395.70"
"1998","1","304.74","486.11","353.31","563.58","206.92","330.07","256.82","409.67"
"1998","2","300.97","477.54","370.44","587.77","219.42","348.14","261.56","415.00"
"1998","3","315.25","498.25","404.05","638.61","241.86","382.25","260.36","411.49"
"1998","4","316.18","498.00","399.96","629.95","252.60","397.86","274.81","432.84"
"1999","1","331.74","520.50","422.15","662.35","258.44","405.49","283.92","445.47"
"1999","2","329.34","511.75","421.41","654.83","258.16","401.15","290.49","451.38"
"1999","3","317.22","489.88","407.41","629.15","248.52","383.78","271.29","418.95"
"1999","4","317.93","487.96","405.24","621.96","249.20","382.48","280.53","430.56"
"2000","1","340.23","517.05","443.67","674.26","262.07","398.27","285.30","433.58"
"2000","2","339.16","510.04","442.37","665.25","270.27","406.43","295.10","443.78"
"2000","3","336.66","502.28","435.55","649.82","268.64","400.80","284.73","424.80"
"2000","4","340.08","504.65","418.53","621.08","268.66","398.68","286.92","425.77"
"2001","1","347.69","511.05","452.44","665.03","272.43","400.43","286.19","420.66"
"2001","2","328.67","478.11","414.21","602.54","257.02","373.88","276.64","402.42"
"2001","3","303.02","440.22","391.96","569.43","236.49","343.57","252.91","367.42"
"2001","4","299.81","436.78","389.81","567.90","238.58","347.58","260.80","379.96"
"2002","1","320.02","464.57","405.86","589.18","253.97","368.69","276.20","400.96"
"2002","2","317.93","456.57","366.02","525.63","251.19","360.74","289.62","415.91"
"2002","3","303.30","433.71","353.41","505.36","235.02","336.07","270.63","387.00"
