Average Domestic Air Fares  

Year,Quarter,U.S. Average (Current $),U.S. Average (Inflation-Adjusted $),Long Beach -  CA (Current $),Long Beach -  CA (Inflation-Adjusted $),Los Angeles -  CA (Current $),Los Angeles -  CA (Inflation-Adjusted $),San Francisco -  CA (Current $),San Francisco -  CA (Inflation-Adjusted $)
"1995","1","296.90","508.23","192.05","328.76","298.17","510.42","358.01","612.84"
"1995","2","296.80","503.61","194.93","330.75","312.50","530.26","366.31","621.55"
"1995","3","287.51","485.72","187.81","317.28","305.25","515.70","355.90","601.25"
"1995","4","287.78","483.85","228.79","384.67","308.46","518.63","352.65","592.93"
"1996","1","283.97","473.14","234.28","390.34","292.84","487.92","349.00","581.49"
"1996","2","275.78","454.99","188.50","311.00","287.99","475.13","355.43","586.40"
"1996","3","269.49","442.26","181.21","297.38","282.94","464.33","341.92","561.13"
"1996","4","278.33","453.50","187.88","306.12","293.49","478.21","352.92","575.03"
"1997","1","283.40","458.68","180.41","291.98","284.19","459.95","346.06","560.09"
"1997","2","289.44","466.59","209.55","337.81","311.58","502.29","375.70","605.65"
"1997","3","282.27","453.25","212.43","341.11","292.69","469.97","362.98","582.84"
"1997","4","293.51","469.45","232.65","372.10","314.93","503.71","380.98","609.35"
"1998","1","304.74","486.11","272.64","434.91","312.37","498.28","396.64","632.71"
"1998","2","300.97","477.54","287.59","456.30","317.34","503.51","385.06","610.96"
"1998","3","315.25","498.25","290.50","459.13","323.31","510.99","382.49","604.52"
"1998","4","316.18","498.00","278.79","439.11","330.90","521.18","394.31","621.05"
"1999","1","331.74","520.50","296.50","465.21","336.95","528.66","419.31","657.89"
"1999","2","329.34","511.75","333.98","518.96","341.93","531.32","418.96","651.01"
"1999","3","317.22","489.88","344.54","532.07","328.60","507.45","396.58","612.43"
"1999","4","317.93","487.96","325.13","499.01","332.39","510.15","415.69","638.00"
"2000","1","340.23","517.05","344.28","523.22","344.04","522.85","453.19","688.72"
"2000","2","339.16","510.04","327.04","491.81","355.78","535.03","451.79","679.41"
"2000","3","336.66","502.28","316.05","471.52","352.39","525.75","446.50","666.15"
"2000","4","340.08","504.65","300.44","445.83","358.15","531.48","455.95","676.60"
"2001","1","347.69","511.05","320.90","471.68","354.69","521.34","465.68","684.48"
"2001","2","328.67","478.11","315.75","459.32","343.55","499.76","441.07","641.62"
"2001","3","303.02","440.22","306.60","445.42","323.60","470.12","399.47","580.34"
"2001","4","299.81","436.78","306.80","446.97","324.59","472.89","431.14","628.12"
"2002","1","320.02","464.57","324.82","471.53","347.08","503.84","447.90","650.22"
"2002","2","317.93","456.57","315.62","453.26","355.44","510.43","423.60","608.32"
"2002","3","303.30","433.71","283.29","405.09","330.03","471.94","390.89","558.97"
"2002","4","308.85","440.27","238.52","340.01","340.02","484.70","419.69","598.27"
"2003","1","319.19","450.44","228.01","321.78","342.03","482.69","438.06","618.20"
"2003","2","314.52","442.25","235.72","331.45","336.93","473.76","425.70","598.58"
"2003","3","312.39","437.11","249.96","349.76","335.45","469.38","426.87","597.29"
"2003","4","315.77","441.76","241.64","338.06","339.03","474.30","426.32","596.42"
"2004","1","320.23","444.00","226.79","314.45","321.49","445.73","414.41","574.57"
"2004","2","309.45","422.99","242.18","331.04","320.26","437.77","398.88","545.23"
"2004","3","296.54","403.92","233.23","317.69","317.95","433.09","383.08","521.79"
"2004","4","297.28","402.52","235.57","318.97","319.73","432.91","391.99","530.76"
"2005","1","301.39","405.53","223.02","300.08","325.64","438.16","412.02","554.39"
"2005","2","306.68","407.21","256.02","339.93","339.67","451.01","416.50","553.02"
"2005","3","305.91","401.30","262.08","343.80","344.78","452.29","417.70","547.95"
"2005","4","314.76","410.83","251.73","328.55","343.62","448.49","414.11","540.50"
"2006","1","323.34","419.75","229.38","297.78","338.28","439.15","428.81","556.68"
"2006","2","341.58","436.06","280.35","357.89","374.44","478.01","457.14","583.58"
"2006","3","330.12","419.08","277.96","352.86","364.86","463.19","435.83","553.27"
"2006","4","318.16","407.37","265.48","339.91","359.16","459.86","438.16","561.02"
