Average Domestic Air Fares  

Year,Quarter,U.S. Average (Current $),U.S. Average (Inflation-Adjusted $),Sacramento -  CA (Current $),Sacramento -  CA (Inflation-Adjusted $),San Diego -  CA (Current $),San Diego -  CA (Inflation-Adjusted $),San Jose -  CA (Current $),San Jose -  CA (Inflation-Adjusted $)
"1995","1","296.90","508.23","205.31","351.44","240.91","412.40","242.77","415.58"
"1995","2","296.80","503.61","216.08","366.65","256.62","435.43","244.56","414.98"
"1995","3","287.51","485.72","213.34","360.42","249.54","421.57","234.91","396.86"
"1995","4","287.78","483.85","202.33","340.19","246.98","415.27","234.51","394.30"
"1996","1","283.97","473.14","213.45","355.65","234.38","390.52","230.84","384.61"
"1996","2","275.78","454.99","201.39","332.27","231.67","382.21","228.17","376.45"
"1996","3","269.49","442.26","198.14","325.16","223.14","366.19","218.32","358.29"
"1996","4","278.33","453.50","211.35","344.36","238.31","388.29","225.23","366.98"
"1997","1","283.40","458.68","199.89","323.52","227.91","368.86","219.58","355.38"
"1997","2","289.44","466.59","213.66","344.43","236.50","381.25","235.02","378.88"
"1997","3","282.27","453.25","213.35","342.57","221.39","355.49","209.43","336.30"
"1997","4","293.51","469.45","218.80","349.96","238.11","380.84","241.24","385.84"
"1998","1","304.74","486.11","223.02","355.76","247.87","395.39","246.91","393.86"
"1998","2","300.97","477.54","215.66","342.18","269.56","427.69","245.09","388.88"
"1998","3","315.25","498.25","237.88","375.97","270.61","427.71","254.47","402.20"
"1998","4","316.18","498.00","240.12","378.20","277.14","436.50","260.26","409.92"
"1999","1","331.74","520.50","241.17","378.40","276.68","434.10","263.71","413.76"
"1999","2","329.34","511.75","253.01","393.15","287.72","447.09","270.53","420.37"
"1999","3","317.22","489.88","248.62","383.94","280.39","433.00","267.12","412.50"
"1999","4","317.93","487.96","246.40","378.17","280.92","431.16","270.11","414.57"
"2000","1","340.23","517.05","252.86","384.29","286.26","435.04","288.96","439.15"
"2000","2","339.16","510.04","268.29","403.45","301.11","452.81","306.85","461.45"
"2000","3","336.66","502.28","272.41","406.42","304.25","453.92","311.71","465.06"
"2000","4","340.08","504.65","266.62","395.65","305.32","453.08","314.72","467.03"
"2001","1","347.69","511.05","253.59","372.74","301.00","442.42","301.21","442.74"
"2001","2","328.67","478.11","256.26","372.77","296.71","431.61","280.67","408.29"
