Average Domestic Air Fares  

Year,Quarter,U.S. Average (Current $),U.S. Average (Inflation-Adjusted $),Atlanta -  GA (Current $),Atlanta -  GA (Inflation-Adjusted $),Hartford -  CT (Current $),Hartford -  CT (Inflation-Adjusted $),Savannah -  GA (Current $),Savannah -  GA (Inflation-Adjusted $)
"1995","1","296.90","508.23","349.73","598.67","385.29","659.55","361.80","619.34"
"1995","2","296.80","503.61","338.46","574.31","394.31","669.07","357.28","606.24"
"1995","3","287.51","485.72","324.84","548.79","399.31","674.60","344.92","582.71"
"1995","4","287.78","483.85","311.69","524.06","379.72","638.43","329.16","553.43"
"1996","1","283.97","473.14","290.35","483.76","361.87","602.93","312.38","520.47"
"1996","2","275.78","454.99","284.26","468.98","376.16","620.60","302.53","499.13"
"1996","3","269.49","442.26","300.67","493.44","394.25","647.00","313.92","515.17"
"1996","4","278.33","453.50","312.97","509.94","395.97","645.18","308.88","503.28"
"1997","1","283.40","458.68","346.51","560.82","384.26","621.91","320.10","518.07"
"1997","2","289.44","466.59","317.00","511.03","394.89","636.59","339.72","547.65"
"1997","3","282.27","453.25","318.56","511.51","405.74","651.51","332.94","534.62"
"1997","4","293.51","469.45","333.49","533.39","413.79","661.83","335.75","537.01"
"1998","1","304.74","486.11","347.60","554.47","421.97","673.10","354.62","565.68"
"1998","2","300.97","477.54","324.59","515.02","410.35","651.09","328.81","521.71"
"1998","3","315.25","498.25","318.32","503.11","393.54","621.99","322.50","509.72"
"1998","4","316.18","498.00","316.78","498.94","369.11","581.36","326.06","513.56"
"1999","1","331.74","520.50","347.90","545.84","369.98","580.49","355.12","557.18"
"1999","2","329.34","511.75","332.52","516.69","376.28","584.70","355.03","551.67"
"1999","3","317.22","489.88","316.79","489.22","366.72","566.31","321.46","496.42"
"1999","4","317.93","487.96","317.93","487.96","323.39","496.34","319.02","489.63"
"2000","1","340.23","517.05","352.06","535.04","330.93","502.93","346.47","526.55"
"2000","2","339.16","510.04","327.24","492.11","334.65","503.26","324.53","488.03"
"2000","3","336.66","502.28","327.55","488.69","337.11","502.95","310.47","463.21"
"2000","4","340.08","504.65","354.28","525.72","339.54","503.86","323.77","480.45"
"2001","1","347.69","511.05","369.44","543.03","338.97","498.24","360.92","530.51"
"2001","2","328.67","478.11","349.23","508.02","331.21","481.80","334.81","487.05"
"2001","3","303.02","440.22","298.02","432.95","306.05","444.62","289.89","421.14"
"2001","4","299.81","436.78","293.28","427.27","299.22","435.92","297.75","433.79"
"2002","1","320.02","464.57","314.73","456.89","315.06","457.36","318.79","462.78"
"2002","2","317.93","456.57","302.07","433.80","325.67","467.69","314.76","452.02"
"2002","3","303.30","433.71","299.66","428.51","313.20","447.87","294.69","421.41"
"2002","4","308.85","440.27","307.66","438.58","318.63","454.22","308.45","439.70"
"2003","1","319.19","450.44","332.16","468.75","336.84","475.36","329.20","464.57"
"2003","2","314.52","442.25","305.43","429.47","337.61","474.71","327.10","459.94"
"2003","3","312.39","437.11","296.49","414.86","333.82","467.09","317.88","444.79"
"2003","4","315.77","441.76","290.01","405.72","335.99","470.05","316.46","442.73"
"2004","1","320.23","444.00","318.71","441.88","337.60","468.08","340.37","471.91"
"2004","2","309.45","422.99","299.74","409.72","328.37","448.86","339.89","464.60"
"2004","3","296.54","403.92","279.27","380.39","306.79","417.88","307.34","418.63"
"2004","4","297.28","402.52","284.08","384.65","302.59","409.71","307.23","415.99"
"2005","1","301.39","405.53","303.17","407.93","292.42","393.47","301.51","405.70"
"2005","2","306.68","407.21","312.81","415.34","298.94","396.93","313.97","416.89"
"2005","3","305.91","401.30","310.14","406.85","290.72","381.37","311.92","409.18"
"2005","4","314.76","410.83","323.36","422.05","310.45","405.20","350.13","456.98"
"2006","1","323.34","419.75","352.09","457.08","325.58","422.66","378.26","491.05"
"2006","2","341.58","436.06","367.06","468.58","350.75","447.76","429.57","548.38"
"2006","3","330.12","419.08","348.07","441.87","341.05","432.95","370.71","470.61"
"2006","4","318.16","407.37","334.87","428.76","349.27","447.20","370.10","473.87"
"2007","1","317.84","402.74","376.86","477.52","356.75","452.03","383.27","485.65"
"2007","2","325.39","404.66","357.30","444.35","368.78","458.63","385.30","479.17"
"2007","3","327.56","406.24","358.35","444.43","363.17","450.40","372.27","461.69"
"2007","4","329.77","406.10","340.77","419.64","374.55","461.24","372.32","458.49"
"2008","1","333.29","405.82","355.07","432.33","376.62","458.57","395.36","481.39"
"2008","2","346.99","413.43","366.44","436.60","385.18","458.92","393.00","468.24"
"2008","3","358.93","422.73","350.56","412.87","396.21","466.64","388.97","458.11"
"2008","4","345.42","418.66","331.26","401.50","381.26","462.10","408.20","494.75"
"2009","1","313.82","382.26","332.66","405.21","330.97","403.15","404.74","493.01"
"2009","2","301.82","363.79","302.89","365.07","335.07","403.86","400.47","482.69"
"2009","3","306.95","367.48","298.62","357.50","348.76","417.53","395.73","473.76"
"2009","4","319.85","382.15","329.60","393.79","370.55","442.72","423.20","505.63"
"2010","1","328.12","390.46","355.65","423.23","372.89","443.75","435.27","517.98"
"2010","2","340.72","403.54","341.77","404.79","385.08","456.08","420.72","498.29"
"2010","3","339.71","401.97","327.87","387.96","378.08","447.38","411.33","486.72"
"2010","4","334.78","394.97","318.28","375.50","362.25","427.38","415.51","490.22"
"2011","1","355.72","414.44","360.27","419.74","364.70","424.90","459.32","535.13"
"2011","2","369.68","423.32","375.80","430.33","390.47","447.12","464.13","531.47"
"2011","3","360.74","411.40","360.22","410.81","378.20","431.31","464.96","530.26"
"2011","4","368.39","420.76","378.08","431.83","388.91","444.20","482.97","551.64"
"2012","1","372.83","420.37","392.29","442.32","397.94","448.68","487.62","549.80"
"2012","2","384.67","432.93","366.54","412.53","422.04","474.99","499.70","562.40"
"2012","3","366.97","410.21","347.95","388.95","401.54","448.85","466.46","521.42"
"2012","4","374.23","419.51","360.77","404.42","402.06","450.70","473.42","530.70"
"2013","1","378.33","421.62","378.75","422.09","403.04","449.16","493.18","549.61"
"2013","2","378.46","419.49","383.05","424.58","413.70","458.56","493.14","546.61"
"2013","3","391.64","432.47","431.81","476.83","413.23","456.31","495.01","546.61"
"2013","4","388.13","429.79","399.10","441.94","381.76","422.74","480.54","532.12"
"2014","1","387.37","425.71","404.58","444.63","376.61","413.89","471.88","518.58"
"2014","2","402.22","436.87","435.34","472.84","399.23","433.62","434.32","471.74"
"2014","3","399.25","433.15","439.32","476.61","401.42","435.50","445.06","482.84"
"2014","4","395.36","432.40","418.75","457.98","395.51","432.56","440.63","481.91"
"2015","1","390.13","429.01","425.27","467.65","389.07","427.84","464.46","510.75"
"2015","2","388.78","422.43","399.67","434.27","407.65","442.94","455.39","494.81"
"2015","3","374.11","405.43","381.72","413.68","400.01","433.50","428.01","463.84"
"2015","4","365.39","397.77","362.85","395.00","393.23","428.07","430.11","468.22"
"2016","1","359.47","391.07","373.26","406.07","387.54","421.61","448.78","488.24"
"2016","2","351.57","378.04","350.74","377.15","390.98","420.42","396.45","426.30"
"2016","3","344.86","369.60","344.71","369.44","384.06","411.62","376.82","403.85"
"2016","4","346.72","370.77","339.43","362.97","377.96","404.18","404.64","432.70"
"2017","1","349.44","370.74","356.50","378.24","370.88","393.49","419.09","444.64"
"2017","2","355.91","375.57","355.13","374.74","389.46","410.97","409.96","432.60"
"2017","3","335.83","352.98","338.94","356.25","362.69","381.21","372.83","391.87"
"2017","4","347.33","363.72","353.90","370.60","371.10","388.60","404.90","424.00"
"2018","1","346.49","359.65","361.16","374.88","358.13","371.74","408.85","424.38"
"2018","2","349.17","358.58","357.62","367.27","385.22","395.60","382.60","392.91"
"2018","3","343.28","351.53","357.92","366.51","369.56","378.44","358.63","367.24"
"2018","4","359.30","368.14","366.94","375.97","379.96","389.31","370.21","379.32"
"2019","1","350.12","357.54","378.36","386.37","363.98","371.69","390.39","398.66"
"2019","2","357.10","360.35","374.83","378.24","382.73","386.21","369.90","373.27"
"2019","3","345.09","347.28","362.13","364.43","377.49","379.88","338.78","340.93"
"2019","4","356.51","358.01","367.97","369.51","385.81","387.43","368.40","369.95"
"2020","1","336.13","336.13","359.58","359.58","356.73","356.73","379.69","379.69"

NOTE: Inflation-Adjusted air fares are calculated using dollars for the year of the most recent fare release.
SOURCE: Bureau of Transportation Statistics
