Average Domestic Air Fares  

Year,Quarter,U.S. Average (Current $),U.S. Average (Inflation-Adjusted $),Ft  Lauderdale -  FL (Current $),Ft  Lauderdale -  FL (Inflation-Adjusted $),Miami -  FL (Current $),Miami -  FL (Inflation-Adjusted $),Tampa -  FL (Current $),Tampa -  FL (Inflation-Adjusted $)
"1995","1","296.90","508.23","291.09","498.29","340.64","583.11","317.96","544.28"
"1995","2","296.80","503.61","296.91","503.80","287.90","488.51","315.20","534.84"
"1995","3","287.51","485.72","288.87","488.02","275.05","464.67","304.27","514.04"
"1995","4","287.78","483.85","286.17","481.15","283.22","476.20","289.15","486.16"
"1996","1","283.97","473.14","259.54","432.43","316.62","527.54","257.11","428.39"
"1996","2","275.78","454.99","237.90","392.50","275.16","453.96","240.31","396.48"
"1996","3","269.49","442.26","229.34","376.37","271.36","445.32","232.41","381.41"
"1996","4","278.33","453.50","229.59","374.09","273.51","445.64","236.13","384.74"
"1997","1","283.40","458.68","228.54","369.88","290.33","469.89","253.88","410.89"
"1997","2","289.44","466.59","227.30","366.43","296.57","478.09","240.00","386.90"
"1997","3","282.27","453.25","226.49","363.68","299.83","481.44","237.79","381.82"
"1997","4","293.51","469.45","241.58","386.38","329.46","526.95","249.33","398.79"
"1998","1","304.74","486.11","243.60","388.58","357.92","570.94","262.20","418.24"
"1998","2","300.97","477.54","238.13","377.83","352.11","558.67","248.31","393.98"
"1998","3","315.25","498.25","247.69","391.47","319.23","504.54","262.32","414.61"
"1998","4","316.18","498.00","253.93","399.95","314.98","496.11","267.51","421.34"
"1999","1","331.74","520.50","269.54","422.90","342.18","536.88","296.03","464.46"
"1999","2","329.34","511.75","254.25","395.08","336.51","522.89","278.25","432.36"
"1999","3","317.22","489.88","241.70","373.25","317.41","490.17","260.98","403.03"
"1999","4","317.93","487.96","250.18","383.98","338.33","519.26","266.45","408.94"
"2000","1","340.23","517.05","275.77","419.10","372.93","566.75","298.49","453.63"
"2000","2","339.16","510.04","259.84","390.74","366.44","551.06","280.54","421.88"
"2000","3","336.66","502.28","243.31","363.01","363.34","542.08","266.36","397.40"
"2000","4","340.08","504.65","253.74","376.53","365.04","541.70","275.82","409.30"
"2001","1","347.69","511.05","266.58","391.83","395.47","581.28","301.28","442.84"
"2001","2","328.67","478.11","246.10","357.99","373.99","544.03","276.11","401.66"
"2001","3","303.02","440.22","221.93","322.41","329.75","479.05","242.14","351.78"
"2001","4","299.81","436.78","229.85","334.86","317.17","462.07","240.74","350.73"
"2002","1","320.02","464.57","252.73","366.89","355.60","516.21","269.83","391.71"
"2002","2","317.93","456.57","245.07","351.94","345.78","496.57","263.61","378.57"
"2002","3","303.30","433.71","233.56","333.98","327.67","468.57","246.41","352.36"
"2002","4","308.85","440.27","244.84","349.03","331.36","472.35","261.47","372.73"
"2003","1","319.19","450.44","260.21","367.21","368.38","519.87","282.51","398.69"
"2003","2","314.52","442.25","242.89","341.53","347.21","488.21","263.25","370.16"
"2003","3","312.39","437.11","231.36","323.73","325.35","455.25","246.17","344.45"
"2003","4","315.77","441.76","235.54","329.52","317.63","444.36","256.41","358.72"
"2004","1","320.23","444.00","241.95","335.46","338.48","469.29","270.52","375.07"
"2004","2","309.45","422.99","223.61","305.66","323.25","441.85","247.90","338.86"
"2004","3","296.54","403.92","218.04","296.99","309.70","421.84","233.41","317.92"
"2004","4","297.28","402.52","215.74","292.11","298.44","404.09","239.60","324.42"
"2005","1","301.39","405.53","231.51","311.51","310.04","417.17","249.55","335.78"
"2005","2","306.68","407.21","224.82","298.52","306.76","407.31","249.90","331.81"
"2005","3","305.91","401.30","222.37","291.72","295.76","387.98","242.43","318.03"
"2005","4","314.76","410.83","239.00","311.95","300.54","392.26","257.99","336.73"
"2006","1","323.34","419.75","249.92","324.45","313.12","406.49","274.87","356.84"
"2006","2","341.58","436.06","264.83","338.08","331.51","423.20","289.37","369.41"
"2006","3","330.12","419.08","251.39","319.13","312.31","396.47","268.84","341.29"
"2006","4","318.16","407.37","255.35","326.95","312.29","399.86","264.51","338.67"
