Average Domestic Air Fares  

Year,Quarter,U.S. Average (Current $),U.S. Average (Inflation-Adjusted $),Lexington -  KY (Current $),Lexington -  KY (Inflation-Adjusted $),Louisville -  KY (Current $),Louisville -  KY (Inflation-Adjusted $),Wichita -  KS (Current $),Wichita -  KS (Inflation-Adjusted $)
"1995","1","296.90","508.23","404.01","439.82","233.18","399.15","378.53","647.96"
"1995","2","296.80","503.61","427.20","464.76","238.57","404.81","346.85","588.54"
"1995","3","287.51","485.72","402.62","432.94","235.91","398.55","316.20","534.19"
"1995","4","287.78","483.85","394.94","423.28","239.71","403.03","296.97","499.30"
"1996","1","283.97","473.14","395.33","422.75","230.47","384.00","296.36","493.79"
"1996","2","275.78","454.99","418.02","443.50","224.03","369.62","306.20","505.19"
"1996","3","269.49","442.26","433.13","457.06","220.81","362.37","298.07","489.17"
"1996","4","278.33","453.50","418.67","440.04","219.73","358.01","275.71","449.24"
"1997","1","283.40","458.68","432.99","453.42","227.89","368.83","307.56","497.78"
"1997","2","289.44","466.59","431.45","447.84","227.93","367.43","322.46","519.84"
"1997","3","282.27","453.25","424.23","435.66","220.52","354.09","356.99","573.23"
"1997","4","293.51","469.45","421.37","431.49","233.52","373.50","370.43","592.48"
"1998","1","304.74","486.11","436.00","446.73","250.82","400.09","397.86","634.65"
"1998","2","300.97","477.54","419.18","428.06","239.05","379.29","401.42","636.91"
"1998","3","315.25","498.25","0.00","0.00","270.64","427.75","388.05","613.31"
"1998","4","316.18","498.00","0.00","0.00","275.42","433.79","377.70","594.89"
"1999","1","331.74","520.50","0.00","0.00","285.90","448.57","405.90","636.85"
"1999","2","329.34","511.75","0.00","0.00","279.58","434.44","407.97","633.93"
"1999","3","317.22","489.88","0.00","0.00","275.52","425.49","407.36","629.07"
"1999","4","317.93","487.96","0.00","0.00","274.79","421.75","400.23","614.26"
"2000","1","340.23","517.05","0.00","0.00","293.44","445.95","427.49","649.67"
"2000","2","339.16","510.04","0.00","0.00","290.12","436.28","430.10","646.79"
