Average Domestic Air Fares  

Year,Quarter,U.S. Average (Current $),U.S. Average (Inflation-Adjusted $),Las Vegas -  NV (Current $),Las Vegas -  NV (Inflation-Adjusted $),Omaha -  NE (Current $),Omaha -  NE (Inflation-Adjusted $),Reno -  NV (Current $),Reno -  NV (Inflation-Adjusted $)
"1995","1","296.90","508.23","133.93","229.27","283.29","484.94","151.55","259.43"
"1995","2","296.80","503.61","140.73","238.79","249.33","423.06","163.17","276.86"
"1995","3","287.51","485.72","138.38","233.79","245.96","415.54","153.04","258.55"
"1995","4","287.78","483.85","136.18","228.96","228.65","384.44","153.87","258.70"
"1996","1","283.97","473.14","135.99","226.58","209.97","349.84","148.99","248.25"
"1996","2","275.78","454.99","130.25","214.90","236.42","390.05","157.94","260.58"
"1996","3","269.49","442.26","131.50","215.81","220.44","361.76","150.42","246.85"
"1996","4","278.33","453.50","129.12","210.39","225.65","367.67","146.62","238.89"
"1997","1","283.40","458.68","127.76","206.77","244.23","395.28","135.11","218.67"
"1997","2","289.44","466.59","133.24","214.79","250.50","403.82","155.21","250.21"
"1997","3","282.27","453.25","134.15","215.41","254.66","408.92","154.27","247.71"
"1997","4","293.51","469.45","131.27","209.96","265.22","424.21","153.12","244.90"
"1998","1","304.74","486.11","126.58","201.91","268.87","428.88","146.02","232.92"
"1998","2","300.97","477.54","147.74","234.41","265.97","422.00","159.30","252.76"
"1998","3","315.25","498.25","203.77","322.07","280.23","442.91","199.21","314.85"
"1998","4","316.18","498.00","211.38","332.93","282.36","444.73","199.84","314.76"
"1999","1","331.74","520.50","211.22","331.40","291.99","458.12","197.22","309.43"
"1999","2","329.34","511.75","215.96","335.57","295.40","459.02","201.95","313.80"
"1999","3","317.22","489.88","197.31","304.70","288.42","445.40","207.39","320.27"
"1999","4","317.93","487.96","200.01","306.97","286.91","440.35","200.20","307.27"
"2000","1","340.23","517.05","215.51","327.52","298.62","453.83","208.89","317.46"
"2000","2","339.16","510.04","225.29","338.79","305.81","459.88","223.59","336.24"
"2000","3","336.66","502.28","223.19","332.98","301.74","450.18","232.43","346.77"
"2000","4","340.08","504.65","225.91","335.23","308.65","458.01","220.92","327.83"
"2001","1","347.69","511.05","225.63","331.64","306.80","450.96","222.77","327.44"
"2001","2","328.67","478.11","222.56","323.75","298.56","434.31","223.72","325.44"
"2001","3","303.02","440.22","214.75","311.98","273.76","397.71","217.94","316.62"
"2001","4","299.81","436.78","206.33","300.59","253.82","369.78","205.40","299.24"
"2002","1","320.02","464.57","219.28","318.33","285.91","415.05","219.61","318.81"
"2002","2","317.93","456.57","227.39","326.54","301.07","432.36","229.63","329.77"
"2002","3","303.30","433.71","213.48","305.27","284.36","406.62","223.36","319.39"
"2002","4","308.85","440.27","225.13","320.93","289.33","412.45","227.24","323.94"
"2003","1","319.19","450.44","230.03","324.62","294.54","415.66","230.31","325.03"
"2003","2","314.52","442.25","231.53","325.55","287.21","403.85","237.53","334.00"
"2003","3","312.39","437.11","224.56","314.21","286.49","400.87","235.34","329.30"
"2003","4","315.77","441.76","228.90","320.23","303.77","424.97","236.25","330.51"
"2004","1","320.23","444.00","225.24","312.28","310.91","431.07","238.29","330.38"
"2004","2","309.45","422.99","223.99","306.17","300.38","410.60","242.80","331.88"
"2004","3","296.54","403.92","217.67","296.49","292.03","397.77","234.86","319.90"
"2004","4","297.28","402.52","224.78","304.36","303.21","410.55","233.86","316.65"
"2005","1","301.39","405.53","228.62","307.61","303.69","408.63","241.08","324.38"
"2005","2","306.68","407.21","237.48","315.33","302.84","402.10","245.47","325.94"
"2005","3","305.91","401.30","231.27","303.39","293.82","385.44","245.01","321.42"
"2005","4","314.76","410.83","236.39","308.54","304.50","397.43","244.50","319.12"
