Average Domestic Air Fares  

Year,Quarter,U.S. Average (Current $),U.S. Average (Inflation-Adjusted $),Atlantic City -  NJ (Current $),Atlantic City -  NJ (Inflation-Adjusted $),Manchester -  NH (Current $),Manchester -  NH (Inflation-Adjusted $),Newark-Liberty -  NJ (Current $),Newark-Liberty -  NJ (Inflation-Adjusted $)
"1995","1","296.90","508.23","131.06","224.34","433.11","741.40","366.89","628.05"
"1995","2","296.80","503.61","161.46","273.96","444.46","754.16","377.50","640.55"
"1995","3","287.51","485.72","159.58","269.59","461.59","779.82","379.86","641.73"
"1995","4","287.78","483.85","148.89","250.33","427.05","718.02","380.40","639.58"
"1996","1","283.97","473.14","104.86","174.71","392.66","654.24","358.62","597.52"
"1996","2","275.78","454.99","117.50","193.86","412.06","679.83","356.77","588.61"
"1996","3","269.49","442.26","125.64","206.19","431.37","707.92","350.32","574.91"
"1996","4","278.33","453.50","212.81","346.75","413.74","674.13","388.69","633.31"
"1997","1","283.40","458.68","212.99","344.72","392.71","635.60","382.70","619.39"
"1997","2","289.44","466.59","177.29","285.81","396.40","639.03","392.09","632.08"
"1997","3","282.27","453.25","179.97","288.99","434.47","697.64","386.00","619.81"
"1997","4","293.51","469.45","133.55","213.61","424.64","679.18","418.05","668.64"
"1998","1","304.74","486.11","197.99","315.83","436.86","696.86","395.32","630.60"
"1998","2","300.97","477.54","193.78","307.46","361.11","572.96","413.87","656.67"
"1998","3","315.25","498.25","169.33","267.63","295.95","467.76","388.68","614.31"
"1998","4","316.18","498.00","202.74","319.33","297.97","469.31","395.43","622.82"
"1999","1","331.74","520.50","205.81","322.91","297.93","467.45","434.80","682.20"
"1999","2","329.34","511.75","210.90","327.71","295.21","458.71","426.87","663.30"
"1999","3","317.22","489.88","190.42","294.06","306.77","473.73","403.43","623.01"
"1999","4","317.93","487.96","221.18","339.47","295.36","453.32","414.00","635.41"
"2000","1","340.23","517.05","212.28","322.61","309.31","470.07","450.67","684.91"
"2000","2","339.16","510.04","223.75","336.48","313.64","471.65","449.78","676.38"
"2000","3","336.66","502.28","188.21","280.80","322.66","481.39","440.30","656.91"
"2000","4","340.08","504.65","227.32","337.32","322.91","479.18","457.60","679.05"
"2001","1","347.69","511.05","214.75","315.65","316.93","465.85","465.22","683.80"
"2001","2","328.67","478.11","224.27","326.24","301.49","438.58","429.56","624.88"
"2001","3","303.02","440.22","203.47","295.60","289.86","421.11","386.29","561.19"
"2001","4","299.81","436.78","230.03","335.13","283.11","412.45","392.19","571.37"
"2002","1","320.02","464.57","227.85","330.77","298.36","433.12","416.09","604.03"
"2002","2","317.93","456.57","209.20","300.43","312.26","448.43","397.07","570.22"
"2002","3","303.30","433.71","200.85","287.21","307.02","439.03","384.09","549.25"
"2002","4","308.85","440.27","240.89","343.39","304.23","433.68","399.65","569.70"
"2003","1","319.19","450.44","243.18","343.19","312.93","441.61","425.59","600.60"
"2003","2","314.52","442.25","243.15","341.90","310.56","436.67","405.94","570.79"
"2003","3","312.39","437.11","209.67","293.38","301.62","422.04","398.11","557.05"
"2003","4","315.77","441.76","200.26","280.16","306.12","428.27","401.87","562.21"
"2004","1","320.23","444.00","207.87","288.20","306.89","425.49","410.51","569.16"
"2004","2","309.45","422.99","205.70","281.18","294.56","402.64","400.94","548.05"
"2004","3","296.54","403.92","195.63","266.47","272.99","371.84","373.12","508.23"
"2004","4","297.28","402.52","189.03","255.95","268.47","363.50","374.43","506.99"
"2005","1","301.39","405.53","215.84","290.42","267.78","360.32","388.34","522.52"
"2005","2","306.68","407.21","222.33","295.20","269.83","358.27","397.73","528.10"
"2005","3","305.91","401.30","223.34","292.99","262.00","343.70","391.60","513.71"
"2005","4","314.76","410.83","236.61","308.82","275.52","359.60","367.37","479.49"
"2006","1","323.34","419.75","216.42","280.96","286.20","371.54","372.55","483.65"
"2006","2","341.58","436.06","246.67","314.89","310.22","396.03","399.03","509.39"
"2006","3","330.12","419.08","215.80","273.96","310.68","394.40","382.01","484.96"
"2006","4","318.16","407.37","229.77","294.19","299.19","383.07","363.93","465.98"
"2007","1","317.84","402.74","211.53","268.03","294.30","372.91","370.59","469.57"
"2007","2","325.39","404.66","226.82","282.08","302.95","376.76","375.05","466.43"
"2007","3","327.56","406.24","208.36","258.41","291.96","362.10","386.48","479.32"
"2007","4","329.77","406.10","218.80","269.45","297.66","366.55","389.40","479.52"
"2008","1","333.29","405.82","225.63","274.73","302.85","368.75","401.17","488.47"
"2008","2","346.99","413.43","186.90","222.68","319.41","380.56","435.01","518.29"
"2008","3","358.93","422.73","165.77","195.24","331.68","390.64","450.50","530.57"
"2008","4","345.42","418.66","184.47","223.58","315.36","382.23","428.20","519.00"
"2009","1","313.82","382.26","162.96","198.51","279.80","340.83","379.93","462.79"
"2009","2","301.82","363.79","185.34","223.39","285.22","343.78","374.93","451.91"
"2009","3","306.95","367.48","165.04","197.59","283.39","339.27","379.91","454.82"
