Average Domestic Air Fares  

Year,Quarter,U.S. Average (Current $),U.S. Average (Inflation-Adjusted $),New York City - Greater (Current $),New York City - Greater (Inflation-Adjusted $),New York JFK -  NY (Current $),New York JFK -  NY (Inflation-Adjusted $),New York LaGuardia -  NY (Current $),New York LaGuardia -  NY (Inflation-Adjusted $)
"1995","1","296.90","508.23","352.78","603.90","363.81","622.77","332.82","569.72"
"1995","2","296.80","503.61","360.15","611.11","370.24","628.23","336.06","570.22"
"1995","3","287.51","485.72","364.99","616.62","363.02","613.28","349.47","590.39"
"1995","4","287.78","483.85","373.83","628.54","369.83","621.82","371.21","624.13"
"1996","1","283.97","473.14","359.39","598.80","363.22","605.19","362.50","603.99"
"1996","2","275.78","454.99","356.92","588.87","371.67","613.19","345.60","570.18"
"1996","3","269.49","442.26","350.09","574.53","355.90","584.07","340.31","558.48"
"1996","4","278.33","453.50","375.68","612.12","370.07","602.97","360.59","587.53"
"1997","1","283.40","458.68","371.53","601.32","361.38","584.88","363.87","588.92"
"1997","2","289.44","466.59","377.71","608.90","366.75","591.23","365.28","588.85"
"1997","3","282.27","453.25","376.33","604.29","368.59","591.85","367.45","590.02"
"1997","4","293.51","469.45","403.00","644.57","411.63","658.38","379.35","606.74"
"1998","1","304.74","486.11","400.85","639.42","437.39","697.70","384.68","613.62"
"1998","2","300.97","477.54","400.04","634.73","416.59","660.98","376.55","597.46"
"1998","3","315.25","498.25","381.46","602.90","400.91","633.65","359.00","567.41"
"1998","4","316.18","498.00","386.74","609.14","419.96","661.46","360.36","567.59"
"1999","1","331.74","520.50","406.64","638.01","420.00","658.97","373.13","585.43"
"1999","2","329.34","511.75","395.42","614.43","410.94","638.55","362.91","563.91"
"1999","3","317.22","489.88","375.48","579.85","384.06","593.10","348.06","537.51"
"1999","4","317.93","487.96","388.91","596.90","425.89","653.65","355.08","544.97"
"2000","1","340.23","517.05","423.26","643.24","492.44","748.39","380.82","578.75"
"2000","2","339.16","510.04","412.53","620.36","460.03","691.80","366.18","550.66"
"2000","3","336.66","502.28","398.21","594.10","433.11","646.17","351.03","523.72"
"2000","4","340.08","504.65","406.74","603.58","442.75","657.01","350.09","519.51"
"2001","1","347.69","511.05","415.15","610.21","443.94","652.53","357.35","525.26"
"2001","2","328.67","478.11","383.87","558.40","400.02","581.90","336.85","490.01"
"2001","3","303.02","440.22","342.06","496.94","347.37","504.65","300.94","437.20"
"2001","4","299.81","436.78","349.07","508.55","337.06","491.05","317.73","462.89"
"2002","1","320.02","464.57","368.27","534.61","361.89","525.35","328.72","477.20"
"2002","2","317.93","456.57","352.02","505.53","344.51","494.74","313.50","450.21"
"2002","3","303.30","433.71","333.17","476.43","309.77","442.96","303.87","434.53"
"2002","4","308.85","440.27","347.73","495.69","329.11","469.15","312.55","445.54"
"2003","1","319.19","450.44","356.88","503.64","316.56","446.74","327.12","461.65"
"2003","2","314.52","442.25","343.56","483.08","303.80","427.18","317.14","445.93"
"2003","3","312.39","437.11","333.27","466.33","295.09","412.91","305.91","428.05"
"2003","4","315.77","441.76","338.23","473.19","296.99","415.49","312.67","437.43"
"2004","1","320.23","444.00","341.29","473.19","292.81","405.98","322.38","446.97"
"2004","2","309.45","422.99","331.94","453.73","284.61","389.04","312.76","427.51"
"2004","3","296.54","403.92","306.74","417.81","265.74","361.97","288.51","392.98"
"2004","4","297.28","402.52","309.82","419.50","273.15","369.85","287.87","389.77"
"2005","1","301.39","405.53","311.44","419.06","279.97","376.71","279.67","376.31"
"2005","2","306.68","407.21","322.29","427.93","292.06","387.79","292.13","387.89"
"2005","3","305.91","401.30","320.10","419.91","292.12","383.21","293.57","385.12"
"2005","4","314.76","410.83","327.29","427.18","302.66","395.03","315.00","411.13"
"2006","1","323.34","419.75","329.87","428.23","307.69","399.44","312.62","405.84"
"2006","2","341.58","436.06","353.75","451.59","341.80","436.34","328.41","419.25"
"2006","3","330.12","419.08","336.58","427.29","324.75","412.27","313.54","398.04"
"2006","4","318.16","407.37","334.46","428.24","333.09","426.49","313.54","401.46"
"2007","1","317.84","402.74","336.53","426.42","332.72","421.59","319.76","405.17"
"2007","2","325.39","404.66","335.25","416.92","335.56","417.31","315.80","392.74"
"2007","3","327.56","406.24","339.71","421.31","345.97","429.08","315.52","391.31"
"2007","4","329.77","406.10","349.56","430.47","352.59","434.19","330.74","407.29"
"2008","1","333.29","405.82","361.68","440.39","366.99","446.85","344.59","419.57"
"2008","2","346.99","413.43","375.60","447.50","363.81","433.46","353.87","421.62"
"2008","3","358.93","422.73","381.95","449.85","368.08","433.51","353.32","416.12"
"2008","4","345.42","418.66","368.75","446.93","354.13","429.22","340.03","412.13"
"2009","1","313.82","382.26","334.73","407.73","325.86","396.93","315.83","384.71"
"2009","2","301.82","363.79","323.24","389.60","309.66","373.24","299.23","360.67"
"2009","3","306.95","367.48","323.16","386.88","317.81","380.48","290.85","348.20"
"2009","4","319.85","382.15","345.72","413.06","336.46","401.99","312.53","373.40"
"2010","1","328.12","390.46","355.64","423.21","343.94","409.29","318.09","378.53"
"2010","2","340.72","403.54","366.37","433.93","356.51","422.24","321.77","381.10"
"2010","3","339.71","401.97","368.12","435.59","359.22","425.05","316.60","374.62"
"2010","4","334.78","394.97","373.12","440.20","362.75","427.97","326.74","385.49"
"2011","1","355.72","414.44","391.79","456.46","383.18","446.43","348.99","406.59"
"2011","2","369.68","423.32","400.41","458.51","396.85","454.43","354.67","406.13"
"2011","3","360.74","411.40","388.33","442.86","387.20","441.58","340.59","388.42"
"2011","4","368.39","420.76","402.07","459.24","396.23","452.57","361.30","412.66"
"2012","1","372.83","420.37","403.40","454.84","394.00","444.24","367.13","413.95"
"2012","2","384.67","432.93","409.33","460.68","405.45","456.32","365.74","411.62"
"2012","3","366.97","410.21","387.10","432.71","388.28","434.02","333.49","372.78"
"2012","4","374.23","419.51","406.81","456.03","405.02","454.03","354.11","396.96"
"2013","1","378.33","421.62","413.94","461.30","418.40","466.27","359.24","400.34"
"2013","2","378.46","419.49","404.96","448.87","398.29","441.48","362.47","401.77"
"2013","3","391.64","432.47","418.61","462.25","417.14","460.63","371.16","409.86"
"2013","4","388.13","429.79","433.80","480.36","434.60","481.25","389.62","431.44"
"2014","1","387.37","425.71","425.30","467.39","430.55","473.16","383.06","420.98"
"2014","2","402.22","436.87","427.37","464.19","416.11","451.96","398.17","432.47"
"2014","3","399.25","433.15","441.07","478.52","441.71","479.21","398.08","431.88"
"2014","4","395.36","432.40","440.66","481.94","447.32","489.23","402.16","439.84"
"2015","1","390.13","429.01","429.82","472.65","439.30","483.08","387.34","425.94"
"2015","2","388.78","422.43","428.56","465.66","436.00","473.74","385.38","418.74"
"2015","3","374.11","405.43","415.97","450.79","430.84","466.91","357.10","386.99"
"2015","4","365.39","397.77","405.65","441.60","416.59","453.51","351.66","382.82"
"2016","1","359.47","391.07","394.28","428.94","402.53","437.92","336.43","366.01"
"2016","2","351.57","378.04","380.07","408.69","388.65","417.92","330.94","355.87"
"2016","3","344.86","369.60","377.86","404.97","394.96","423.29","320.41","343.39"
"2016","4","346.72","370.77","382.32","408.84","399.02","426.70","330.26","353.17"
"2017","1","349.44","370.74","364.43","386.65","383.59","406.98","312.21","331.25"
"2017","2","355.91","375.57","379.95","400.93","399.94","422.03","325.97","343.97"
"2017","3","335.83","352.98","358.16","376.45","384.01","403.62","298.25","313.48"
"2017","4","347.33","363.72","380.49","398.44","406.93","426.13","329.88","345.45"
"2018","1","346.49","359.65","374.96","389.20","397.54","412.64","320.45","332.63"
"2018","2","349.17","358.58","365.91","375.77","379.43","389.66","324.81","333.57"
"2018","3","343.28","351.53","362.46","371.16","375.59","384.62","320.03","327.71"
"2018","4","359.30","368.14","393.27","402.95","409.99","420.08","350.85","359.49"
"2019","1","350.12","357.54","373.13","381.03","384.65","392.80","327.80","334.74"
"2019","2","357.10","360.35","386.81","390.33","402.09","405.75","334.81","337.85"
"2019","3","345.09","347.28","368.76","371.09","394.62","397.12","320.83","322.86"
"2019","4","356.51","358.01","396.91","398.58","428.12","429.92","354.23","355.72"
"2020","1","336.13","336.13","360.86","360.86","388.19","388.19","323.66","323.66"

NOTE: Inflation-Adjusted air fares are calculated using dollars for the year of the most recent fare release.
SOURCE: Bureau of Transportation Statistics
