Average Domestic Air Fares  

Year,Quarter,U.S. Average (Current $),U.S. Average (Inflation-Adjusted $),Albany -  NY (Current $),Albany -  NY (Inflation-Adjusted $),Buffalo -  NY (Current $),Buffalo -  NY (Inflation-Adjusted $),Rochester -  NY (Current $),Rochester -  NY (Inflation-Adjusted $)
"1995","1","296.90","508.23","376.33","644.20","343.01","587.16","419.08","717.39"
"1995","2","296.80","503.61","382.37","648.82","355.52","603.24","439.03","744.95"
"1995","3","287.51","485.72","407.49","688.41","357.39","603.78","444.86","751.55"
"1995","4","287.78","483.85","382.47","643.07","334.71","562.77","438.92","737.98"
"1996","1","283.97","473.14","392.90","654.64","344.05","573.24","439.70","732.61"
"1996","2","275.78","454.99","401.55","662.49","342.14","564.48","434.88","717.48"
"1996","3","269.49","442.26","424.51","696.67","354.21","581.30","435.60","714.87"
"1996","4","278.33","453.50","421.32","686.49","359.10","585.11","443.11","722.00"
"1997","1","283.40","458.68","399.00","645.78","356.94","577.70","443.08","717.11"
"1997","2","289.44","466.59","406.17","654.78","367.80","592.92","431.29","695.27"
"1997","3","282.27","453.25","412.70","662.69","358.81","576.15","429.09","689.01"
"1997","4","293.51","469.45","403.51","645.38","356.22","569.75","446.55","714.22"
"1998","1","304.74","486.11","410.02","654.04","372.13","593.61","471.29","751.78"
"1998","2","300.97","477.54","403.70","640.53","330.89","525.01","420.47","667.15"
"1998","3","315.25","498.25","409.08","646.55","328.11","518.58","402.68","636.44"
"1998","4","316.18","498.00","380.46","599.23","323.52","509.56","396.82","625.00"
"1999","1","331.74","520.50","384.08","602.61","331.23","519.70","442.80","694.75"
"1999","2","329.34","511.75","402.21","624.99","336.66","523.14","439.43","682.82"
"1999","3","317.22","489.88","410.11","633.33","313.34","483.88","428.28","661.39"
"1999","4","317.93","487.96","397.76","610.48","304.98","468.09","442.00","678.38"
"2000","1","340.23","517.05","416.44","632.88","320.88","487.66","495.32","752.76"
"2000","2","339.16","510.04","347.20","522.13","297.36","447.18","479.72","721.41"
"2000","3","336.66","502.28","315.51","470.73","293.40","437.74","458.24","683.67"
"2000","4","340.08","504.65","322.38","478.39","259.34","384.85","459.64","682.08"
"2001","1","347.69","511.05","314.68","462.54","258.89","380.53","494.17","726.36"
"2001","2","328.67","478.11","313.09","455.45","258.22","375.63","456.93","664.68"
"2001","3","303.02","440.22","296.04","430.08","239.45","347.86","438.06","636.41"
"2001","4","299.81","436.78","284.51","414.49","228.80","333.33","435.05","633.81"
"2002","1","320.02","464.57","299.93","435.40","247.46","359.23","456.71","663.00"
"2002","2","317.93","456.57","319.04","458.16","258.31","370.96","426.04","611.83"
"2002","3","303.30","433.71","311.35","445.22","253.70","362.78","392.85","561.77"
"2002","4","308.85","440.27","309.21","440.78","253.89","361.93","387.92","552.98"
"2003","1","319.19","450.44","320.30","452.01","264.23","372.88","409.91","578.48"
"2003","2","314.52","442.25","325.24","457.33","261.52","367.72","422.53","594.12"
"2003","3","312.39","437.11","326.14","456.35","254.91","356.69","420.07","587.78"
"2003","4","315.77","441.76","328.39","459.42","262.88","367.76","411.04","575.05"
"2004","1","320.23","444.00","329.06","456.24","271.33","376.19","449.67","623.46"
"2004","2","309.45","422.99","315.15","430.78","265.84","363.39","435.27","594.98"
"2004","3","296.54","403.92","304.87","415.26","248.47","338.44","415.10","565.40"
"2004","4","297.28","402.52","304.15","411.83","240.03","325.00","395.15","535.04"
"2005","1","301.39","405.53","299.33","402.76","252.16","339.29","391.00","526.11"
"2005","2","306.68","407.21","306.73","407.28","254.13","337.43","388.63","516.02"
"2005","3","305.91","401.30","301.83","395.95","249.03","326.68","365.58","479.57"
"2005","4","314.76","410.83","311.47","406.53","252.53","329.60","370.57","483.67"
"2006","1","323.34","419.75","322.62","418.83","262.04","340.18","400.20","519.54"
"2006","2","341.58","436.06","348.01","444.26","276.16","352.55","378.89","483.69"
"2006","3","330.12","419.08","344.73","437.63","263.23","334.17","371.73","471.90"
"2006","4","318.16","407.37","333.11","426.51","254.21","325.49","341.51","437.27"
"2007","1","317.84","402.74","324.93","411.71","254.90","322.98","349.53","442.89"
"2007","2","325.39","404.66","339.45","422.15","260.38","323.81","361.79","449.93"
"2007","3","327.56","406.24","344.20","426.88","261.39","324.18","348.35","432.02"
"2007","4","329.77","406.10","342.27","421.48","267.22","329.07","349.51","430.41"
"2008","1","333.29","405.82","348.41","424.23","282.02","343.38","362.39","441.25"
"2008","2","346.99","413.43","361.20","430.35","281.14","334.96","379.43","452.08"
"2008","3","358.93","422.73","378.39","445.65","286.96","337.97","367.75","433.11"
"2008","4","345.42","418.66","355.27","430.60","274.30","332.47","332.41","402.89"
"2009","1","313.82","382.26","315.35","384.12","254.97","310.58","303.79","370.05"
"2009","2","301.82","363.79","318.36","383.72","239.81","289.05","310.63","374.41"
"2009","3","306.95","367.48","336.25","402.56","236.70","283.37","310.33","371.53"
"2009","4","319.85","382.15","350.74","419.06","258.30","308.61","323.71","386.76"
"2010","1","328.12","390.46","361.35","430.01","271.42","322.99","326.35","388.36"
"2010","2","340.72","403.54","377.71","447.35","279.06","330.52","346.07","409.87"
"2010","3","339.71","401.97","384.15","454.55","281.22","332.76","339.68","401.94"
"2010","4","334.78","394.97","373.71","440.91","276.52","326.23","340.22","401.38"
"2011","1","355.72","414.44","401.09","467.29","309.97","361.14","377.99","440.38"
"2011","2","369.68","423.32","422.70","484.03","324.24","371.29","405.58","464.42"
"2011","3","360.74","411.40","415.85","474.25","313.14","357.12","391.09","446.02"
"2011","4","368.39","420.76","403.03","460.33","320.13","365.65","399.31","456.08"
"2012","1","372.83","420.37","415.00","467.92","341.59","385.15","410.08","462.37"
"2012","2","384.67","432.93","431.57","485.72","328.77","370.02","423.87","477.05"
"2012","3","366.97","410.21","414.28","463.09","304.34","340.20","401.34","448.62"
"2012","4","374.23","419.51","411.73","461.55","312.97","350.84","412.65","462.58"
"2013","1","378.33","421.62","430.19","479.41","336.14","374.60","412.49","459.68"
"2013","2","378.46","419.49","421.98","467.73","312.96","346.89","417.95","463.26"
"2013","3","391.64","432.47","450.70","497.68","321.93","355.49","428.97","473.69"
"2013","4","388.13","429.79","432.91","479.38","327.25","362.37","420.39","465.51"
"2014","1","387.37","425.71","427.05","469.31","336.99","370.35","406.09","446.28"
"2014","2","402.22","436.87","448.38","487.01","328.83","357.16","425.57","462.23"
"2014","3","399.25","433.15","455.99","494.71","339.48","368.30","436.78","473.86"
"2014","4","395.36","432.40","444.68","486.34","339.07","370.84","436.00","476.85"
"2015","1","390.13","429.01","431.63","474.64","339.07","370.84","417.70","459.33"
"2015","2","388.78","422.43","439.74","477.80","347.65","382.29","438.66","476.64"
"2015","2","388.78","422.43","443.05","480.14","325.64","353.82","438.66","476.64"
"2015","3","374.11","405.43","412.01","448.52","329.26","356.82","425.43","461.05"
"2015","4","365.39","397.77","393.22","427.78","319.21","347.49","422.46","459.90"
"2016","1","359.47","391.07","400.56","430.73","336.76","366.37","425.02","462.38"
"2016","2","351.57","378.04","405.06","434.12","310.05","333.40","422.78","454.62"
"2016","3","344.86","369.60","391.43","418.58","317.85","340.65","409.55","438.93"
"2016","4","346.72","370.77","381.80","405.08","310.38","331.91","414.22","442.95"
"2017","1","349.44","370.74","400.06","422.16","320.51","340.05","417.76","443.23"
"2017","2","355.91","375.57","407.32","428.12","319.82","337.48","446.19","470.83"
"2017","3","335.83","352.98","402.53","421.52","311.42","327.33","415.05","436.25"
"2017","4","347.33","363.72","398.01","413.13","312.39","327.13","419.09","438.87"
"2018","1","346.49","359.65","397.17","407.87","316.75","328.78","416.10","431.90"
"2018","2","349.17","358.58","409.21","419.04","302.42","310.57","412.23","423.34"
"2018","3","343.28","351.53","392.85","402.52","302.44","309.71","390.69","400.07"
"2018","4","359.30","368.14","371.89","379.77","305.37","312.88","392.95","402.62"
"2019","1","350.12","357.54","388.96","392.50","307.78","314.30","384.09","392.23"
"2019","2","357.10","360.35","391.20","393.68","319.17","322.08","406.88","410.58"
"2019","3","345.09","347.28","392.43","394.07","313.31","315.30","390.32","392.79"
"2019","4","356.51","358.01","367.26","367.26","324.25","325.61","392.52","394.16"
"2020","1","336.13","336.13","0.00","0.00","319.06","319.06","374.11","374.11"

NOTE: Inflation-Adjusted air fares are calculated using dollars for the year of the most recent fare release.
SOURCE: Bureau of Transportation Statistics
