Average Domestic Air Fares  

Year,Quarter,U.S. Average (Current $),U.S. Average (Inflation-Adjusted $),Charleston -  SC (Current $),Charleston -  SC (Inflation-Adjusted $),Greenville/Spartanburg -  SC (Current $),Greenville/Spartanburg -  SC (Inflation-Adjusted $),Providence -  RI (Current $),Providence -  RI (Inflation-Adjusted $)
"1995","1","296.90","508.23","364.95","624.73","412.78","706.61","377.88","646.85"
"1995","2","296.80","503.61","384.42","652.29","425.80","722.50","399.71","678.23"
"1995","3","287.51","485.72","400.16","676.03","456.26","770.81","420.92","711.10"
"1995","4","287.78","483.85","386.98","650.65","404.76","680.54","394.28","662.92"
"1996","1","283.97","473.14","384.15","640.05","425.52","708.99","367.18","611.79"
"1996","2","275.78","454.99","345.91","570.70","405.63","669.22","398.05","656.71"
"1996","3","269.49","442.26","335.75","551.00","371.70","610.00","398.22","653.51"
"1996","4","278.33","453.50","332.18","541.25","380.10","619.32","265.75","433.01"
"1997","1","283.40","458.68","367.71","595.14","423.93","686.12","247.68","400.86"
"1997","2","289.44","466.59","343.93","554.45","401.81","647.74","255.72","412.24"
"1997","3","282.27","453.25","394.22","633.01","447.61","718.73","254.70","408.98"
"1997","4","293.51","469.45","406.18","649.66","446.09","713.49","257.18","411.35"
"1998","1","304.74","486.11","449.50","717.02","506.16","807.40","268.58","428.42"
"1998","2","300.97","477.54","438.30","695.43","475.07","753.77","261.89","415.53"
"1998","3","315.25","498.25","409.71","647.54","471.03","744.47","287.53","454.44"
"1998","4","316.18","498.00","405.11","638.07","442.17","696.43","288.29","454.07"
"1999","1","331.74","520.50","466.11","731.32","516.56","810.47","294.22","461.62"
"1999","2","329.34","511.75","458.66","712.70","495.52","769.97","290.09","450.77"
"1999","3","317.22","489.88","438.49","677.15","456.63","705.17","292.51","451.72"
"1999","4","317.93","487.96","427.52","656.15","456.92","701.28","288.23","442.38"
"2000","1","340.23","517.05","482.19","732.80","517.24","786.07","301.72","458.54"
"2000","2","339.16","510.04","453.96","682.67","499.18","750.67","304.13","457.35"
"2000","3","336.66","502.28","446.68","666.43","470.70","702.26","304.40","454.15"
"2000","4","340.08","504.65","431.23","639.92","480.99","713.75","307.51","456.32"
"2001","1","347.69","511.05","490.50","720.97","541.05","795.27","304.89","448.14"
"2001","2","328.67","478.11","446.92","650.13","475.03","691.02","293.43","426.84"
"2001","3","303.02","440.22","426.02","618.91","464.34","674.59","269.97","392.21"
"2001","4","299.81","436.78","412.48","600.92","456.11","664.49","266.60","388.40"
"2002","1","320.02","464.57","466.38","677.04","494.54","717.92","289.32","420.00"
"2002","2","317.93","456.57","440.12","632.04","464.53","667.09","302.13","433.88"
"2002","3","303.30","433.71","421.54","602.80","455.29","651.05","292.44","418.18"
"2002","4","308.85","440.27","413.25","589.09","443.71","632.52","295.74","421.58"
"2003","1","319.19","450.44","445.38","628.54","477.76","674.23","305.63","431.32"
"2003","2","314.52","442.25","465.76","654.90","477.69","671.69","304.84","428.64"
"2003","3","312.39","437.11","447.27","625.84","482.87","675.65","294.61","412.24"
"2003","4","315.77","441.76","430.17","601.81","453.46","634.38","302.29","422.91"
"2004","1","320.23","444.00","498.44","691.08","503.08","697.52","305.82","424.01"
"2004","2","309.45","422.99","457.37","625.18","471.67","644.73","286.38","391.46"
"2004","3","296.54","403.92","398.08","542.22","404.56","551.05","262.41","357.43"
"2004","4","297.28","402.52","372.50","504.37","370.20","501.26","254.62","344.76"
"2005","1","301.39","405.53","350.20","471.21","352.15","473.83","262.30","352.93"
"2005","2","306.68","407.21","363.87","483.14","379.07","503.33","267.38","355.03"
"2005","3","305.91","401.30","370.65","486.23","377.58","495.32","255.63","335.34"
"2005","4","314.76","410.83","408.69","533.43","411.51","537.10","275.21","359.20"
"2006","1","323.34","419.75","470.45","610.74","455.76","591.67","279.24","362.51"
"2006","2","341.58","436.06","509.06","649.86","490.65","626.36","303.97","388.05"
"2006","3","330.12","419.08","475.10","603.13","478.09","606.92","303.51","385.31"
"2006","4","318.16","407.37","460.31","589.38","449.10","575.02","299.70","383.73"
"2007","1","317.84","402.74","493.43","625.22","470.84","596.61","290.60","368.22"
"2007","2","325.39","404.66","433.31","538.87","469.35","583.70","304.97","379.27"
"2007","3","327.56","406.24","367.08","455.25","464.95","576.64","294.34","365.05"
"2007","4","329.77","406.10","375.72","462.67","441.36","543.52","306.66","377.63"
"2008","1","333.29","405.82","402.92","490.59","465.89","567.27","311.30","379.04"
"2008","2","346.99","413.43","416.80","496.59","501.73","597.79","329.30","392.35"
"2008","3","358.93","422.73","401.20","472.51","483.01","568.87","328.94","387.41"
"2008","4","345.42","418.66","391.41","474.41","439.32","532.47","320.52","388.49"
"2009","1","313.82","382.26","382.11","465.45","430.63","524.55","282.90","344.60"
"2009","2","301.82","363.79","371.30","447.53","380.02","458.05","286.64","345.50"
"2009","3","306.95","367.48","354.13","423.97","392.23","469.57","285.43","341.71"
"2009","4","319.85","382.15","383.35","458.02","422.19","504.42","310.50","370.98"
"2010","1","328.12","390.46","443.45","527.71","437.38","520.49","322.79","384.12"
"2010","2","340.72","403.54","461.47","546.56","439.74","520.81","339.75","402.40"
"2010","3","339.71","401.97","450.55","533.12","414.51","490.48","325.18","384.78"
"2010","4","334.78","394.97","447.93","528.46","409.77","483.45","315.03","371.67"
"2011","1","355.72","414.44","459.56","535.42","406.79","473.93","330.78","385.38"
"2011","2","369.68","423.32","428.24","490.37","376.97","431.67","346.12","396.34"
"2011","3","360.74","411.40","404.97","461.84","374.34","426.91","325.34","371.03"
"2011","4","368.39","420.76","410.86","469.27","380.25","434.31","333.14","380.51"
"2012","1","372.83","420.37","423.69","477.72","393.03","443.15","349.55","394.12"
"2012","2","384.67","432.93","456.50","513.77","401.16","451.49","378.43","425.91"
"2012","3","366.97","410.21","428.33","478.79","396.13","442.81","355.32","397.18"
"2012","4","374.23","419.51","418.81","469.49","394.05","441.72","358.49","401.86"
"2013","1","378.33","421.62","417.57","465.34","411.83","458.95","338.06","376.74"
"2013","2","378.46","419.49","394.79","437.60","407.31","451.47","342.25","379.36"
"2013","3","391.64","432.47","398.21","439.72","414.44","457.64","335.75","370.75"
"2013","4","388.13","429.79","396.91","439.51","371.99","411.91","339.20","375.61"
"2014","1","387.37","425.71","395.22","434.33","400.78","440.44","340.61","374.33"
"2014","2","402.22","436.87","412.22","447.73","415.36","451.14","370.29","402.19"
"2014","3","399.25","433.15","399.53","433.45","424.24","460.26","362.84","393.64"
"2014","4","395.36","432.40","390.86","427.47","401.99","439.65","362.63","396.61"
"2015","1","390.13","429.01","397.42","437.03","428.96","471.71","350.00","384.88"
"2015","2","388.78","422.43","404.28","439.27","424.32","461.05","378.97","411.78"
"2015","3","374.11","405.43","384.04","416.19","416.81","451.70","362.87","393.25"
"2015","4","365.39","397.77","373.76","406.88","395.86","430.94","356.77","388.39"
"2016","1","359.47","391.07","381.38","414.91","433.87","472.01","349.68","380.42"
"2016","2","351.57","378.04","370.78","398.70","421.18","452.89","361.89","389.14"
"2016","3","344.86","369.60","359.26","385.04","406.63","435.80","350.85","376.02"
"2016","4","346.72","370.77","368.98","394.57","406.35","434.53","347.33","371.42"
"2017","1","349.44","370.74","373.80","396.59","428.42","454.54","347.41","368.59"
"2017","2","355.91","375.57","383.07","404.23","428.13","451.78","359.95","379.84"
"2017","3","335.83","352.98","360.87","379.30","408.04","428.87","331.75","348.69"
"2017","4","347.33","363.72","369.16","386.57","402.07","421.04","318.09","333.09"
"2018","1","346.49","359.65","378.50","392.88","427.10","443.33","308.86","320.59"
"2018","2","349.17","358.58","360.58","370.30","441.20","453.09","325.71","334.49"
"2018","3","343.28","351.53","340.39","348.56","413.53","423.46","315.63","323.21"
"2018","4","359.30","368.14","350.04","358.65","401.47","411.35","338.29","346.62"
"2019","1","350.12","357.54","362.93","370.62","405.61","414.20","331.22","338.24"
"2019","2","357.10","360.35","361.20","364.48","407.90","411.61","347.20","350.36"
"2019","3","345.09","347.28","336.98","339.11","405.86","408.43","333.66","335.77"
"2019","4","356.51","358.01","354.46","355.95","395.88","397.54","337.63","339.05"
"2020","1","336.13","336.13","353.88","353.88","387.86","387.86","322.52","322.52"

NOTE: Inflation-Adjusted air fares are calculated using dollars for the year of the most recent fare release.
SOURCE: Bureau of Transportation Statistics
