Average Domestic Air Fares  

Year,Quarter,U.S. Average (Current $),U.S. Average (Inflation-Adjusted $),Dallas-Fort Worth -  TX (Current $),Dallas-Fort Worth -  TX (Inflation-Adjusted $),Houston Bush -  TX (Current $),Houston Bush -  TX (Inflation-Adjusted $),San Antonio -  TX (Current $),San Antonio -  TX (Inflation-Adjusted $)
"1995","1","296.90","508.23","399.79","684.36","350.40","599.82","202.49","346.62"
"1995","2","296.80","503.61","398.08","675.47","364.00","617.64","211.13","358.25"
"1995","3","287.51","485.72","380.04","642.05","352.26","595.11","217.46","367.38"
"1995","4","287.78","483.85","370.78","623.41","350.40","589.15","207.65","349.13"
"1996","1","283.97","473.14","381.10","634.97","336.75","561.09","199.72","332.77"
"1996","2","275.78","454.99","377.25","622.41","345.36","569.79","183.63","302.96"
"1996","3","269.49","442.26","393.26","645.38","341.60","560.60","179.67","294.86"
"1996","4","278.33","453.50","394.72","643.14","343.17","559.14","178.87","291.44"
"1997","1","283.40","458.68","409.09","662.10","325.52","526.84","187.00","302.65"
"1997","2","289.44","466.59","415.18","669.30","369.15","595.10","194.78","314.00"
"1997","3","282.27","453.25","393.43","631.75","361.28","580.12","197.00","316.33"
"1997","4","293.51","469.45","396.34","633.92","361.28","577.84","205.57","328.79"
"1998","1","304.74","486.11","422.48","673.91","314.18","501.16","197.91","315.70"
"1998","2","300.97","477.54","409.14","649.16","366.57","581.61","204.69","324.77"
"1998","3","315.25","498.25","407.65","644.30","373.32","590.03","270.95","428.24"
"1998","4","316.18","498.00","396.87","625.09","365.04","574.96","274.17","431.83"
"1999","1","331.74","520.50","434.32","681.44","391.28","613.92","280.81","440.59"
"1999","2","329.34","511.75","429.36","667.17","386.86","601.14","285.09","442.99"
"1999","3","317.22","489.88","407.21","628.85","379.72","586.39","283.54","437.86"
"1999","4","317.93","487.96","407.71","625.75","369.74","567.47","280.98","431.24"
"2000","1","340.23","517.05","441.69","671.25","410.82","624.34","291.92","443.64"
"2000","2","339.16","510.04","438.47","659.38","412.47","620.27","300.54","451.96"
"2000","3","336.66","502.28","440.67","657.45","412.47","615.37","301.07","449.18"
"2000","4","340.08","504.65","447.03","663.36","404.89","600.83","304.26","451.51"
"2001","1","347.69","511.05","469.38","689.93","422.76","621.39","308.07","452.82"
"2001","2","328.67","478.11","427.69","622.16","390.39","567.89","292.68","425.75"
"2001","3","303.02","440.22","378.27","549.54","366.21","532.02","278.28","404.27"
"2001","4","299.81","436.78","372.51","542.71","358.67","522.54","262.94","383.07"
"2002","1","320.02","464.57","401.63","583.04","389.75","565.79","293.26","425.72"
"2002","2","317.93","456.57","389.72","559.67","394.26","566.19","315.73","453.41"
"2002","3","303.30","433.71","374.03","534.86","361.71","517.23","303.23","433.62"
"2002","4","308.85","440.27","381.51","543.85","362.65","516.97","304.84","434.55"
"2003","1","319.19","450.44","406.42","573.55","377.69","533.01","306.54","432.60"
"2003","2","314.52","442.25","397.87","559.45","370.55","521.03","311.09","437.43"
"2003","3","312.39","437.11","390.44","546.32","370.54","518.48","310.98","435.15"
"2003","4","315.77","441.76","381.81","534.15","372.59","521.25","323.48","452.55"
"2004","1","320.23","444.00","397.75","551.48","389.74","540.37","321.43","445.65"
"2004","2","309.45","422.99","376.02","513.98","373.17","510.09","314.55","429.96"
"2004","3","296.54","403.92","355.61","484.38","365.24","497.49","307.97","419.48"
"2004","4","297.28","402.52","354.14","479.51","362.75","491.17","316.03","427.91"
"2005","1","301.39","405.53","355.80","478.75","355.96","478.96","316.08","425.29"
"2005","2","306.68","407.21","371.13","492.78","361.12","479.50","320.54","425.61"
"2005","3","305.91","401.30","372.64","488.83","349.01","457.84","305.29","400.49"
"2005","4","314.76","410.83","374.08","488.25","345.75","451.27","309.18","403.54"
"2006","1","323.34","419.75","394.41","512.02","362.00","469.95","315.05","409.00"
"2006","2","341.58","436.06","406.48","518.91","380.57","485.83","334.80","427.40"
"2006","3","330.12","419.08","395.39","501.94","373.71","474.42","329.78","418.65"
"2006","4","318.16","407.37","360.79","461.95","341.87","437.73","323.05","413.63"
"2007","1","317.84","402.74","358.19","453.86","353.46","447.87","326.08","413.18"
"2007","2","325.39","404.66","368.93","458.81","376.38","468.08","332.74","413.80"
