Average Domestic Air Fares  

Year,Quarter,U.S. Average (Current $),U.S. Average (Inflation-Adjusted $),Norfolk/Virginia Beach -  VA (Current $),Norfolk/Virginia Beach -  VA (Inflation-Adjusted $),Richmond -  VA (Current $),Richmond -  VA (Inflation-Adjusted $),Salt Lake City -  UT (Current $),Salt Lake City -  UT (Inflation-Adjusted $)
"1995","1","296.90","508.23","348.12","595.92","419.08","717.39","260.66","446.20"
"1995","2","296.80","503.61","366.07","621.15","439.03","744.95","257.09","436.23"
"1995","3","287.51","485.72","366.58","619.31","444.86","751.55","212.58","359.13"
"1995","4","287.78","483.85","336.01","564.95","438.92","737.98","213.87","359.59"
"1996","1","283.97","473.14","345.30","575.33","439.70","732.61","191.49","319.06"
"1996","2","275.78","454.99","347.82","573.84","434.88","717.48","193.70","319.57"
"1996","3","269.49","442.26","333.09","546.63","435.60","714.87","178.48","292.90"
"1996","4","278.33","453.50","331.68","540.43","443.11","722.00","190.51","310.40"
"1997","1","283.40","458.68","353.15","571.57","443.08","717.11","196.30","317.71"
"1997","2","289.44","466.59","343.46","553.68","431.29","695.27","229.89","370.60"
"1997","3","282.27","453.25","352.58","566.15","429.09","689.01","217.47","349.20"
"1997","4","293.51","469.45","360.88","577.20","446.55","714.22","223.93","358.15"
"1998","1","304.74","486.11","387.40","617.96","471.29","751.78","225.98","360.47"
"1998","2","300.97","477.54","377.22","598.51","420.47","667.15","232.75","369.29"
"1998","3","315.25","498.25","368.92","583.08","402.68","636.44","268.49","424.35"
"1998","4","316.18","498.00","357.38","562.89","396.82","625.00","273.73","431.14"
"1999","1","331.74","520.50","389.57","611.23","442.80","694.75","288.44","452.56"
"1999","2","329.34","511.75","381.58","592.93","439.43","682.82","280.73","436.22"
"1999","3","317.22","489.88","361.25","557.87","428.28","661.39","279.45","431.55"
"1999","4","317.93","487.96","360.36","553.08","442.00","678.38","274.26","420.93"
"2000","1","340.23","517.05","392.79","596.93","495.32","752.76","297.78","452.55"
"2000","2","339.16","510.04","381.95","574.38","479.72","721.41","292.91","440.48"
"2000","3","336.66","502.28","381.25","568.80","458.24","683.67","296.08","441.73"
"2000","4","340.08","504.65","386.81","574.00","459.64","682.08","290.60","431.23"
"2001","1","347.69","511.05","405.75","596.40","494.17","726.36","300.16","441.19"
"2001","2","328.67","478.11","383.03","557.19","456.93","664.68","279.29","406.28"
"2001","3","303.02","440.22","362.88","527.18","438.06","636.41","270.23","392.59"
"2001","4","299.81","436.78","297.88","433.97","435.05","633.81","269.90","393.21"
"2002","1","320.02","464.57","305.34","443.26","456.71","663.00","295.86","429.50"
"2002","2","317.93","456.57","315.10","452.51","426.04","611.83","301.12","432.43"
"2002","3","303.30","433.71","309.89","443.14","392.85","561.77","291.01","416.14"
"2002","4","308.85","440.27","311.58","444.15","387.92","552.98","291.06","414.91"
"2003","1","319.19","450.44","323.92","457.12","409.91","578.48","301.72","425.79"
"2003","2","314.52","442.25","313.01","440.13","422.53","594.12","288.06","405.05"
"2003","3","312.39","437.11","314.46","440.01","420.07","587.78","287.39","402.14"
"2003","4","315.77","441.76","323.53","452.62","411.04","575.05","293.29","410.31"
"2004","1","320.23","444.00","327.75","454.42","449.67","623.46","306.74","425.29"
"2004","2","309.45","422.99","325.40","444.79","435.27","594.98","289.36","395.53"
"2004","3","296.54","403.92","302.56","412.11","415.10","565.40","284.06","386.92"
"2004","4","297.28","402.52","308.89","418.25","395.15","535.04","287.70","389.55"
"2005","1","301.39","405.53","304.20","409.31","391.00","526.11","289.18","389.10"
"2005","2","306.68","407.21","311.61","413.75","388.63","516.02","290.97","386.35"
"2005","3","305.91","401.30","313.87","411.74","365.58","479.57","288.26","378.15"
