International Passenger - Departures Performed (Flights)  (July 2010 - July 2020)
Unit: (000)

Period,Total
"July 2010","81903"
"August 2010","78229"
"September 2010","64405"
"October 2010","66413"
"November 2010","64579"
"December 2010","70151"
"January 2011","72818"
"February 2011","65799"
"March 2011","76512"
"April 2011","73048"
"May 2011","72032"
"June 2011","74332"
"July 2011","82044"
"August 2011","77158"
"September 2011","65991"
"October 2011","66934"
"November 2011","65100"
"December 2011","72753"
"January 2012","72668"
"February 2012","69091"
"March 2012","78247"
"April 2012","73550"
"May 2012","74200"
"June 2012","76852"
"July 2012","81410"
"August 2012","79669"
"September 2012","66517"
"October 2012","66692"
"November 2012","65451"
"December 2012","71981"
"January 2013","72580"
"February 2013","66586"
"March 2013","77799"
"April 2013","72941"
"May 2013","74535"
"June 2013","76699"
"July 2013","81626"
"August 2013","78954"
"September 2013","65201"
"October 2013","68029"
"November 2013","66805"
"December 2013","72863"
"January 2014","72622"
"February 2014","67083"
"March 2014","79898"
"April 2014","75047"
"May 2014","76569"
"June 2014","80204"
"July 2014","85109"
"August 2014","80666"
"September 2014","65666"
"October 2014","66720"
"November 2014","67696"
"December 2014","74395"
"January 2015","73576"
"February 2015","65931"
"March 2015","76396"
"April 2015","74193"
"May 2015","74859"
"June 2015","77388"
"July 2015","82901"
"August 2015","79592"
"September 2015","65306"
"October 2015","66594"
"November 2015","66144"
"December 2015","74241"
"January 2016","73874"
"February 2016","68838"
"March 2016","77364"
"April 2016","74377"
"May 2016","75425"
"June 2016","78250"
"July 2016","83163"
"August 2016","78605"
"September 2016","65461"
"October 2016","66030"
"November 2016","63654"
"December 2016","74618"
"January 2017","73884"
"February 2017","66114"
"March 2017","76266"
"April 2017","74802"
"May 2017","75464"
"June 2017","79172"
"July 2017","84922"
"August 2017","78921"
"September 2017","62442"
"October 2017","66848"
"November 2017","64826"
"December 2017","73801"
"January 2018","72617"
"February 2018","66115"
"March 2018","77572"
"April 2018","75160"
"May 2018","76327"
"June 2018","80629"
"July 2018","84978"
"August 2018","79064"
"September 2018","66517"
"October 2018","68392"
"November 2018","67185"
"December 2018","74868"
"January 2019","74581"
"February 2019","67140"
"March 2019","79741"
"April 2019","75511"
"May 2019","77263"
"June 2019","81912"
"July 2019","85285"
"August 2019","80925"
"September 2019","66285"
"October 2019","67806"
"November 2019","66770"
"December 2019","74909"
"January 2020","73377"
"February 2020","67801"
"March 2020","53870"
"April 2020","6059"


SOURCE: Bureau of Transportation Statistics, T-100 Market and Segment
