2010 - 1,2010 - 2,2010 - 3,2010 - 4,2011 - 1,2011 - 2,2011 - 3,2011 - 4,2012 - 1,2012 - 2,2012 - 3,2012 - 4,2013 - 1,2013 - 2,2013 - 3,2013 - 4,2014 - 1,2014 - 2,2014 - 3,2014 - 4,2015 - 1,2015 - 2,2015 - 2,2015 - 3,2015 - 4,2016 - 1,2016 - 2,2016 - 3,2016 - 4,2017 - 1,2017 - 2,2017 - 3,2017 - 4,2018 - 1,2018 - 2,2018 - 3,2018 - 4,2019 - 1,2019 - 2,2019 - 3,2019 - 4,2020 - 1,Location
423.21,433.93,435.59,440.2,456.46,458.51,442.86,459.24,454.84,460.68,432.71,456.03,461.3,448.87,462.25,480.36,467.39,464.19,478.52,481.94,472.65,465.66,465.66,450.79,441.6,428.94,408.69,404.97,408.84,386.65,400.93,376.45,398.44,389.2,375.77,371.16,402.95,381.03,390.33,371.09,398.58,360.86,New York City - NY 
409.29,422.24,425.05,427.97,446.43,454.43,441.58,452.57,444.24,456.32,434.02,454.03,466.27,441.48,460.63,481.25,473.16,451.96,479.21,489.23,483.08,473.74,473.74,466.91,453.51,437.92,417.92,423.29,426.7,406.98,422.03,403.62,426.13,412.64,389.66,384.62,420.08,392.8,405.75,397.12,429.92,388.19,New York JFK -  NY 
378.53,381.1,374.62,385.49,406.59,406.13,388.42,412.66,413.95,411.62,372.78,396.96,400.34,401.77,409.86,431.44,420.98,432.47,431.88,439.84,425.94,418.74,418.74,386.99,382.82,366.01,355.87,343.39,353.17,331.25,343.97,313.48,345.45,332.63,333.57,327.71,359.49,334.74,337.85,322.86,355.72,323.66,New York LaGuardia -  NY 
430.01,447.35,454.55,440.91,467.29,484.03,474.25,460.33,467.92,485.72,463.09,461.55,479.41,467.73,497.68,479.38,469.31,487.01,494.71,486.34,474.64,477.8,480.14,448.52,427.78,430.73,434.12,418.58,405.08,422.16,428.12,421.52,413.13,407.87,419.04,402.52,379.77,392.5,393.68,394.07,367.26,0.0,Albany -  NY 
322.99,330.52,332.76,326.23,361.14,371.29,357.12,365.65,385.15,370.02,340.2,350.84,374.6,346.89,355.49,362.37,370.35,357.16,368.3,370.84,370.84,382.29,353.82,356.82,347.49,366.37,333.4,340.65,331.91,340.05,337.48,327.33,327.13,328.78,310.57,309.71,312.88,314.3,322.08,315.3,325.61,319.06,Buffalo -  NY 
388.36,409.87,401.94,401.38,440.38,464.42,446.02,456.08,462.37,477.05,448.62,462.58,459.68,463.26,473.69,465.51,446.28,462.23,473.86,476.85,459.33,476.64,476.64,461.05,459.9,462.38,454.62,438.93,442.95,443.23,470.83,436.25,438.87,431.9,423.34,400.07,402.62,392.23,410.58,392.79,394.16,374.11,Rochester -  NY 
247.91,285.78,281.6,276.13,251.91,282.31,273.81,261.91,236.36,274.2,257.43,262.12,245.28,262.49,275.82,275.32,258.23,271.98,283.5,282.47,264.95,279.38,279.38,275.56,263.18,247.12,246.86,237.53,222.87,199.21,223.57,216.58,205.64,189.59,213.8,233.15,249.86,220.43,232.71,236.82,243.12,213.87,Long Beach -  CA 
412.12,443.88,449.9,437.13,441.04,457.08,446.28,465.15,425.43,470.39,445.01,459.38,444.19,452.95,466.64,459.41,435.26,467.77,460.52,475.66,449.16,452.99,452.99,421.69,417.46,393.66,384.35,372.57,383.59,363.31,385.76,358.94,376.07,349.73,362.73,357.14,379.21,342.67,367.1,353.86,373.66,328.17,Los Angeles -  CA 
403.23,451.78,449.03,444.51,450.08,476.23,456.9,478.26,426.07,479.02,447.2,475.07,461.25,475.93,476.21,480.23,446.22,478.56,474.44,497.94,465.42,480.05,480.05,459.3,455.93,432.58,433.77,408.86,429.18,413.91,428.37,380.0,402.34,378.87,387.74,375.63,416.83,387.68,407.99,384.32,421.98,371.76,San Francisco -  CA 
2010 - 1,2010 - 2,2010 - 3,2010 - 4,2011 - 1,2011 - 2,2011 - 3,2011 - 4,2012 - 1,2012 - 2,2012 - 3,2012 - 4,2013 - 1,2013 - 2,2013 - 3,2013 - 4,2014 - 1,2014 - 2,2014 - 3,2014 - 4,2015 - 1,2015 - 2,2015 - 2,2015 - 3,2015 - 4,2016 - 1,2016 - 2,2016 - 3,2016 - 4,2017 - 1,2017 - 2,2017 - 3,2017 - 4,2018 - 1,2018 - 2,2018 - 3,2018 - 4,2019 - 1,2019 - 2,2019 - 3,2019 - 4,2020 - 1,Period
